symptom,n.  症状；征兆
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
portray,vt. 描绘；扮演
depict,vt. 描述；描画
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
exhibition,n. 展览，显示；展览会；展览品
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artist,n. 艺术家；美术家（尤指画家）；大师
artistic,adj. 艺术的；风雅的；有美感的
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
painter,n. 画家；油漆匠
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
portrait,n. 肖像；描写；半身雕塑像
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composition,n. 作文，作曲，作品； 构成；合成物；成分
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
version,n. 版本；译文；倒转术
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
orchestra,n. 管弦乐队；乐队演奏处
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musician,n. 音乐家
rhythm,n. 节奏；韵律
melody,n. 旋律；歌曲；美妙的音乐
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
symphony,n. 交响乐；谐声，和声
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
opera,n. 歌剧；歌剧院；歌剧团
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
album,n. 相簿；唱片集；集邮簿；签名纪念册
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
comedy,n. 喜剧；喜剧性；有趣的事情
tragedy,n. 悲剧；灾难；惨案
backdrop,n. 背景；背景幕；交流声
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
scene,n. 场面；情景；景象；事件
episode,n. 插曲；一段情节；插话；有趣的事件
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
movie,"n. 电影；电影院；电影业
adj. 电影的"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
scenario,n. 方案；情节；剧本；设想
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
scenery,n. 风景；景色；舞台布景
arena,n. 舞台；竞技场
studio,n. 工作室； 演播室；画室；电影制片厂
theater,n. 电影院，戏院，剧场；戏剧；手术室
actor,n. 男演员；行动者；作用物
actress,n. 女演员
role,n. 角色；任务
spectator,n. 观众；旁观者
audience,n. 观众；听众；读者；接见；正式会见；拜会
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
literature,n. 文学；文献；文艺；著作
literary,adj. 文学的；书面的；精通文学的
literacy,n. 读写能力；精通文学
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
compile,vt. 编译；编制；编辑； 汇编
masterpiece,n. 杰作；绝无仅有的人
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
writer,n. 作家；作者
author,"n. 作者；作家；创始人
vt. 创作出版"
describe,vt. 描述，形容；描绘
description,n. 描述，描写；类型；说明书
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
topic,n. 主题（等于theme）；题目；一般规则；总论
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
passage,n. 一段（文章）；走廊；通路
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
interpret,"vi. 解释；翻译
vt. 说明；口译"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
fabricate,vt. 制造；伪造；装配
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
installment,n. 安装；分期付款；部分；就职
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
context,n. 环境；上下文；来龙去脉
delete,vt. 删除
omit,vt. 省略；遗漏；删除；疏忽
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
signature,n. 署名；签名；信号
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
thesis,n. 论文；论点
fiction,n. 小说；虚构，编造；谎言
novel,"adj. 新奇的；异常的
n. 小说"
biography,n. 传记；档案；个人简介
critic,n. 批评家，评论家；爱挑剔的人
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticism,n. 批评；考证；苛求
poem,n. 诗
poetry,n. 诗；诗意，诗情；诗歌艺术
poet,n. 诗人
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
tale,n. 故事；传说；叙述；流言蜚语
legend,n. 传奇；说明；图例；刻印文字
pamphlet,n. 小册子
text,"n.  文本；课文；主题
vt. 发短信"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
translation,n. 翻译；译文；转化；调任
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
linguistic,adj. 语言的；语言学的
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
conjunction,n. 结合； 连接词；同时发生
complement,"n. 补语；余角；补足物
vt. 补足，补助"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
vowel,"n. 元音；母音
adj. 元音的"
vocabulary,n. 词汇；词表；词汇量
dictionary,n. 字典；词典
speech,n. 演讲；讲话； 语音；演说
idiom,n. 成语，习语；土话
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
slogan,n. 标语；呐喊声
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
pronoun,n. 代词
adjective,"n. 形容词
adj. 形容词的；从属的"
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
symbol,n. 象征；符号；标志
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exemplify,vt. 例证；例示
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
sarcastic,adj. 挖苦的；尖刻的，辛辣的
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
explicit,adj. 明确的；清楚的；直率的；详述的
implicit,adj. 含蓄的；暗示的；盲从的
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
satire,n. 讽刺；讽刺文学，讽刺作品
metaphor,n. 暗喻，隐喻；比喻说法
analogy,n. 类比；类推；类似
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparable,adj. 可比较的；比得上的
comparison,n. 比较；对照；比喻；比较关系
academy,n. 学院；研究院；学会；专科院校
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
faculty,n. 科，系；能力；全体教员
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
tuition,n. 学费；讲授
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
scholar,n. 学者；奖学金获得者
scholarship,n. 奖学金；学识，学问
college,n. 大学；学院；学会
university,n. 大学；综合性大学；大学校舍
campus,n. （大学）校园；大学，大学生活；校园内的草地
canteen,n. 食堂，小卖部；水壶
library,n. 图书馆，藏书室；文库
librarian,n. 图书馆员；图书管理员
semester,n. 学期；半年
exam,n. 考试；测验
examination,n. 考试；检查；查问
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
enlighten,vt. 启发，启蒙；教导，开导；照耀
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
cultivate,vt. 培养；陶冶；耕作
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
guidance,n. 指导，引导；领导
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
seminar,n. 讨论会，研讨班
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
obtain,"vi. 获得；流行
vt. 获得"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
curriculum,"n. 课程
总课程"
humanity,n. 人类；人道；仁慈；人文学科
statistics,n. 统计；统计学； 统计资料
talent,n. 才能；天才；天资
genius,n. 天才，天赋；精神
expertise,n. 专门知识；专门技术；专家的意见
proficiency,n. 精通，熟练
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
philosophy,n. 哲学；哲理；人生观
philosopher,n. 哲学家；哲人
sociology,n. 社会学；群体生态学
ecology,n. 生态学；社会生态学
biology,n. （一个地区全部的）生物；生物学
psychology,n. 心理学；心理状态
psychiatry,n. 精神病学；精神病治疗法
physiology,n. 生理学；生理机能
physics,n. 物理学；物理现象
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physicist,n. 物理学家；唯物论者
geography,n. 地理；地形
geology,n. 地质学；地质情况
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
maths,n. 数学（等于mathematics）
mathematical,adj. 数学的，数学上的；精确的
arithmetic,n. 算术，算法
geometry,"n. 几何学
几何结构"
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
pupil,n. 学生； 瞳孔；未成年人
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
credential,n. 证书；凭据；国书
archaeology,"n. 考古学
考古学的"
anthropology,"n. 人类学
人类学家"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
devote,vt. 致力于；奉献
dedicate,vt. 致力；献身；题献
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
journal,n. 日报，杂志；日记；分类账
journalist,n. 新闻工作者；报人；记日志者
correspondent,n. 通讯记者；客户；通信者；代理商行
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
reporter,n. 记者
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
messenger,n. 报信者，送信者；先驱
envelope,n. 信封，封皮；包膜； 包层；包迹
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
propaganda,n. 宣传；传道总会
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
anecdote,n. 轶事；奇闻；秘史
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
abound,vi. 富于；充满
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
available,adj. 可获得的；可购得的；可找到的；有空的
accumulate,"vt. 积攒
vi. 累积；积聚"
complicated,adj. 难懂的，复杂的
intricate,adj. 复杂的；错综的，缠结的
alter,"vt. 改变，更改
vi. 改变；修改"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
publication,n. 出版；出版物；发表
edition,"n. 版本
版次
集"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
concise,adj. 简明的，简洁的
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
magazine,n. 杂志；弹药库；胶卷盒
brochure,n. 手册，小册子
manual,"adj. 手工的；体力的
n. 手册，指南"
bulletin,"n. 公告，公报
vt. 公布，公告"
column,n. 纵队，列；专栏；圆柱，柱形物
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
editorial,"n. 社论
adj. 编辑的；社论的"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
censorship,n. 审查制度；审查机构
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
foresee,vt. 预见；预知
celebrity,n. 名人；名声
personality,n. 个性；品格；名人
prevail,vi. 盛行，流行；战胜，获胜
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
prestige,n. 威望，声望；声誉
reputation,n. 名声，名誉；声望
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
scandal,n. 丑闻；流言蜚语；诽谤；公愤
pop,abbr. 卖点广告（Point of Purchase）
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tendency,n. 倾向，趋势；癖好
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honorable,adj. 光荣的；可敬的；高贵的
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
glorious,adj. 光荣的；辉煌的；极好的
famous,adj. 著名的；极好的，非常令人满意的
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
proud,adj. 自豪的；得意的；自负的
notorious,adj. 声名狼藉的，臭名昭著的
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
capacity,n. 能力；容量；资格，地位；生产力
adequate,adj. 充足的；适当的；胜任的
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
era,n. 时代；年代；纪元
epoch,n.  世；新纪元；新时代；时间上的一点
ideology,n. 意识形态；思想意识；观念学
diverse,adj. 不同的；多种多样的；变化多的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
history,n. 历史，历史学；历史记录；来历
historical,adj. 历史的；史学的；基于史实的
historic,adj. 有历史意义的；历史上著名的
historian,n. 历史学家
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
renaissance,n. 文艺复兴（欧洲14至17世纪）
nostalgic,adj. 怀旧的；乡愁的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
commemorate,vt. 庆祝，纪念；成为…的纪念
tradition,n. 惯例，传统；传说
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
doctrine,n. 主义；学说；教义；信条
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
sacred,adj. 神的；神圣的；宗教的；庄严的
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
bless,vt. 祝福；保佑；赞美
destiny,n. 命运，定数，天命
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
superstition,n. 迷信
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
cathedral,n. 大教堂
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
clergy,n. 神职人员；牧师；僧侣
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
fate,"n. 命运
vt. 注定"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
heaven,n. 天堂；天空；极乐
paradise,"n. 天堂
至福境地"
