potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
debt,n. 债务；借款；罪过
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
make allowance for,"na. 体谅；留有余地；斟酌；扣除
 考虑到；原谅；考虑到某事物"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
impostor,n. 骗子；冒充者
unforgiving,adj. 不原谅人的；不宽恕人的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
ambulance,n.  救护车；战时流动医院
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
construction,n. 建设；建筑物；解释；造句
dozen,"n. 十二个，一打
adj. 一打的"
dozens of,"adj. 许多
 几十；几十个；很多"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
cigarette,n. 香烟；纸烟
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
investigate,v. 调查；研究
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
journalist,n. 新闻工作者；报人；记日志者
priority,n. 优先；优先权； 优先次序；优先考虑的事
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
factual,adj. 事实的；真实的
instance,"n. 实例；情况；建议
vt. 举...为例"
for instance,"na. 例如
 比如；举例说；举例来说"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
conclusion,n. 结论；结局；推论
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
bring sth. to light,"na. 暴露；揭露
 发现；揭示；揭发"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
sum up,"na. 概括；总结
 总计；归纳；总括"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
accurate,adj. 精确的
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
be committed to,"un. 投入；承担；致力于；完全旨在
 忠于某一立场；委身于；被交给"
discrimination,n. 歧视；区别，辨别；识别力
curiosity,n. 好奇，好奇心；珍品，古董，古玩
journalism,n. 新闻业，新闻工作；报章杂志
commitment,n. 承诺，保证；委托；承担义务；献身
citizen,n. 公民；市民；老百姓
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
politics,n. 政治，政治学；政治活动；政纲
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
mount up,"na. 同“mount”
 增加；上马飞驰；增长"
elevation,n. 高地；海拔；提高；崇高；正面图
profession,n. 职业，专业；声明，宣布，表白
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
scholarship,n. 奖学金；学识，学问
category,n. 种类，分类； 范畴
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
edition,"n. 版本
版次
集"
platform,n. 平台；月台，站台；坛；讲台
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
interaction,"n. 相互作用； 交互作用
n. 互动"
membership,n. 资格；成员资格；会员身份
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
persuasion,n. 说服；说服力；信念；派别
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
advertisement,n. 广告，宣传
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
psychology,n. 心理学；心理状态
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
memorable,adj. 显著的，难忘的；值得纪念的
slogan,n. 标语；呐喊声
teapot,"n. 茶壶
小题大做"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
ambassador,n. 大使；代表；使节
placement,n. 布置；定位球；人员配置
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
brighten up,"na. 同“brighten ”
 发亮；照亮；变得明亮起来"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
estate,n. 房地产；财产；身份
housing estate,"n. （统建的）住宅区
 居住小区；住宅小区；屋苑"
amuse,vt. 娱乐；消遣；使发笑；使愉快
solidarity,n. 团结，团结一致
BCE,找不到解释
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
compete,vi. 竞争；比赛；对抗
racial,adj. 种族的；人种的
diverse,adj. 不同的；多种多样的；变化多的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
motivate,vt. 刺激；使有动机；激发…的积极性
motto,n. 座右铭，格言；箴言
boundary,n. 边界；范围；分界线
demonstrate,"vt. 证明；展示；论证
vi. 示威"
afterwards,adv. 后来；然后
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
track and field,"n. 田径运动
 田径赛；田径场；田径类"
consistent,adj. 始终如一的，一致的；坚持的
call on sb. to do sth.,找不到解释
humanity,n. 人类；人道；仁慈；人文学科
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
election,n. 选举；当选；选择权；上帝的选拔
advent,n. 到来；出现；基督降临；基督降临节
faith,n. 信仰；信念；信任；忠实
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
chest,n. 胸，胸部；衣柜；箱子；金库
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
half-marathon,半程马拉松
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
ankle,n. 踝关节，踝
gradually,adv. 逐步地；渐渐地
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
limit,"n. 限制；限度；界线
vt. 限制；限定"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
chairman,n. 主席，会长；董事长
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
walk on air,"na. 扬扬得意；(因成功)高兴得飘飘然
 美颠颠的；高兴地飘飘然；得意洋洋"
keep sth. in perspective,找不到解释
celebrity,n. 名人；名声
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
humility,n. 谦卑，谦逊
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
dignity,n. 尊严；高贵
bobsleigh,"n. 长橇，雪橇
vi. 乘大雪橇；滑大雪橇比赛"
unselfish,adj. 无私的，慷慨的
idiom,n. 成语，习语；土话
find one's way into,"na. 进入…；进入…的境遇
 设法赶到；来到；设法进入"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
opposing,"adj. 反对的；相对的；对面的
v. 反对（oppose的ing形式）"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
move the goalposts, 有失公平地在过程中改变条件（或程序规则）
insurance,n. 保险；保险费；保险契约；赔偿金
salesman,n. 推销员；售货员
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
score an own goal, 误中本队球门
unintentionally,adv. 无意地；非故意地；非存心地
council,n. 委员会；会议；理事会；地方议会；顾问班子
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
ballpark,"n. （美）棒球场；活动领域；可变通范围
adj. 大约的"
in the ballpark,"na. 大致正确；有竞争实力的
 落点只在球场以内；大致正确的；八九不离十的"
a ballpark estimate,找不到解释
venue,n. 审判地；犯罪地点；发生地点；集合地点
curveball,曲线球
throw sb. a curveball,找不到解释
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
three strikes and you are out,找不到解释
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
waist,n. 腰，腰部
below the belt,"un. 腰带以下部位
 暗箭伤人；拳击手腰带以下部位；出言不逊"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
throw in the towel,"na. 承认打败；投降
 认输；放弃；不认输"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
surgeon,n. 外科医生
physician,n.  医师；内科医师
chemist,n. 化学家；化学工作者；药剂师；炼金术士
dentist,"n. 牙科医生
牙医诊所"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
gene,n.  基因，遗传因子
game-changing, 改变比赛规则；改变世界格局；改变行业面貌
genome,n. 基因组；染色体组
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
lifespan,n. 寿命；预期生命期限；预期使用期限
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
virus,n.  病毒；恶毒；毒害
cancer, 巨蟹座
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
delete,vt. 删除
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
ultimately,adv. 最后；根本；基本上
abnormal,adj. 反常的，不规则的；变态的
weapon,n. 武器，兵器
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
arise,vi. 出现；上升；起立
restrict,vt. 限制；约束；限定
prohibit,vt. 阻止，禁止
prohibit sb. from doing sth.,找不到解释
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
flu,n. 流感
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
wrestle with,与…角力，与…搏斗；全力对付，设法解决；与(良心、感情等)展开斗争；深思，斟酌
put sth. in place,找不到解释
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
without doubt,"na. 无疑
 毫无疑问；毫无疑问地；无疑地"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
a ripe old age, 高龄；成熟的高龄
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
equip,vt. 装备，配备
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
grateful,adj. 感谢的；令人愉快的，宜人的
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
disability,n. 残疾；无能；无资格；不利条件
conventional,adj. 符合习俗的，传统的；常见的；惯例的
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
sensory,adj. 感觉的；知觉的；传递感觉的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
head-on,"adj. 正面的；直接的；头朝前的
adv. 迎头；头朝前地；正面针对地"
go to great lengths to do sth.,找不到解释
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
centimetre,n. 厘米；公分
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
millimetre,n. 毫米；公厘
clinic,n. 临床；诊所
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
organ,n.  器官；机构；风琴；管风琴；嗓音
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
alcohol,n. 酒精，乙醇
tobacco,n. 烟草，烟叶；烟草制品；抽烟
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
phenomenon,n. 现象；奇迹；杰出的人才
substance,n. 物质；实质；资产；主旨
symbol,n. 象征；符号；标志
widespread,adj. 普遍的，广泛的；分布广的
bandage,"n. 绷带
vt. 用绷带包扎"
infection,n. 感染；传染；影响；传染病
department,n. 部；部门；系；科；局
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
castles in the air,"un. 空中楼阁
 空想；空中城堡；云中城堡"
build castles in the air, 做白日梦，筑空中楼阁
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
capacity,n. 能力；容量；资格，地位；生产力
analyse,vt. 分析；分解；细察
massive,adj. 大量的；巨大的，厚重的；魁伟的
network,n. 网络；广播网；网状物
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
breakthrough,n. 突破；突破性进展
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
to name but a few,"adj. 略举数例
 就不一一列举了；简单地列举几个；还有很多"
autonomous,adj. 自治的；自主的；自发的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
apparently,adv. 显然地；似乎，表面上
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
victim,n. 受害人；牺牲品；牺牲者
fall victim to,"v. 受害于
 成为…的牺牲品；成为……的受害者；成为牺牲品"
greedy,adj. 贪婪的；贪吃的；渴望的
recognition,n. 识别；承认，认出；重视；赞誉；公认
database,n. 数据库，资料库
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
theft,n. 盗窃；偷；赃物
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
fail-safe,"adj. 自动防故障装置的
n. 自动防故障装置"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
distribution,n. 分布；分配
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
quantity,n. 量，数量；大量；总量
in large quantities,"un. 不少；浓密的；大量
 大量地；大量的；数量众多"
airline,"n. 航空公司；航线
adj. 航线的"
threat,n. 威胁，恐吓；凶兆
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
spy on,"v. 探听
 暗中监视；侦查；窥探"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
stadium,n. 体育场；露天大型运动场
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
bury,vt. 埋葬；隐藏
fountain,n. 喷泉，泉水；源泉
fountain pen,"n. 自来水笔
 钢笔；金笔；墨水笔"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
wheat,n. 小麦；小麦色
muscular,adj. 肌肉的；肌肉发达的；强健的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
superiority,n. 优越，优势；优越性
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
at the forefront of, 处于最前列，进入重要地位（或主要地位） (at/in/to the forefront (of something) )
definition,n. 定义； 清晰度；解说
headset,n. 耳机；头戴式受话器
sensor,n. 传感器
practical,adj. 实际的；实用性的
a host of,"det. 很多
 大量；许多；一大群"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
immersive,adj. 拟真的；沉浸式的；沉浸感的；增加沉浸感的
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
boil down to,"na. (被)归结起来是…；(审判等到最后)表明
 归结为；简化为，归结为；归根到底"
fine-tune,vt. 调整；使有规则；对进行微调
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
optimistic,adj. 乐观的；乐观主义的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
like weeds, 像杂草
state-of-the-art,adj. 最先进的；已经发展的；达到最高水准的
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
satellite,n. 卫星；人造卫星；随从；卫星国家
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
pub,n. 酒馆；客栈
blooming,"v.  开花（bloom的ing形式）
adj. 盛开的；妙龄的"
unfold,"vi. 展开；显露
vt. 打开；呈现"
ethnically,adv. 人种上；民族上
distinct,adj. 明显的；独特的；清楚的；有区别的
territory,n. 领土，领域；范围；地域；版图
valley,n. 山谷；流域；溪谷
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
glacier,n. 冰河，冰川
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
urban,adj. 城市的；住在都市的
ancestor,n. 始祖，祖先；被继承人
indigenous,adj. 本土的；土著的；国产的；固有的
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
cuisine,n. 烹饪，烹调法
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
off the beaten track,"na. 不墨守成规
 不落俗套；打破常规的；人迹罕至的，罕见的"
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
Celtic,"n. 凯尔特语（等于Keltic）
adj. 凯尔特人的；凯尔特语的"
come as no surprise,"不足为奇
意料之中"
depth,n.  深度；深奥
suburb,n. 郊区；边缘
botanical,"n. 植物性药材
adj. 植物学的"
Clovis, 克洛维斯;  克洛维斯;   克洛维斯
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
hockey,n. 曲棍球；冰球
niece,n. 外甥女，侄女
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
harmony,n. 协调；和睦；融洽；调和
sustain,vt. 维持；支撑，承担；忍受；供养；证实
manner,n. 方式；习惯；种类；规矩；风俗
consumption,n. 消费；消耗；肺痨
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
come down to,"v. 降至；归结起来；变为；归结为
 可归结为；到达；归根结底"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
dress code,"n. （工作时的）着装规定
 着装要求；服装规定；服装标准"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
make one's way to, 往……走去；转向；向……走去
statue,"n. 雕像，塑像
vt. 以雕像装饰"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
vase,n. 瓶；花瓶
furniture,n. 家具；设备；储藏物
dune,n. （由风吹积而成的）沙丘
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
resolution,n.  分辨率；决议；解决；决心
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
beat down,"na. 打倒；镇压；还(价)；使失望
 杀；杀价；压倒"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
departure,n. 离开；出发；违背
