for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
cellphone,n. 蜂窝式便携无线电话；大哥大
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
cellphone,n. 蜂窝式便携无线电话；大哥大
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
worth,"n. 价值；财产
adj. 值…的"
worthless,adj. 无价值的；不值钱的；卑微的
error,n. 误差；错误；过失
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
willingness,n. 乐意；心甘情愿；自动自发
unwilling,adj. 不愿意的；不情愿的；勉强的
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
unfair,adj. 不公平的，不公正的
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
briefly,adv. 短暂地；简略地；暂时地
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
stressful,adj. 紧张的；有压力的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
climate,n. 气候；风气；思潮；风土
hero,n. 英雄；男主角，男主人公
heroine,n. 女主角；女英雄；女杰出人物
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
officially,adv. 正式地；官方地；作为公务员
unofficial,adj. 非官方的；非正式的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
lawyer,n. 律师；法学家
attorney,n. 律师；代理人；检查官
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
length,n. 长度，长；时间的长短；（语）音长
width,n. 宽度；广度
height,n. 高地；高度；身高；顶点
depth,n.  深度；深奥
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
upper,adj. 上面的，上部的；较高的
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
protect,vt. 保护，防卫；警戒
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
satisfying,adj. 令人满意的；令人满足的
dissatisfy,vt. 使不满意，使不满足; 使失望
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
rapidly,adv. 迅速地；很快地；立即
owner,n.  所有者；物主
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
separately,adv. 分别地；分离地；个别地
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principally,adv. 主要地；大部分
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
positively,adv. 肯定地；明确地；断然地；乐观地
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negatively,adv. 消极地；否定地
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
unfriendly,"adj. 不友好的；不利的
adv. 不友善地"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
talent,n. 才能；天才；天资
talented,adj. 有才能的；多才的
ignore,vt. 驳回诉讼；忽视；不理睬
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
voter,n. 选举人，投票人；有投票权者
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
airline,"n. 航空公司；航线
adj. 航线的"
aircraft,n. 飞机，航空器
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
emotion,n. 情感；情绪
emotional,adj. 情绪的；易激动的；感动人的
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
subculture,"n. 亚文化群
vt. 作再次培养"
valley,n. 山谷；流域；溪谷
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
absence,n. 没有；缺乏；缺席；不注意
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfectly,adv. 完美地；完全地；无瑕疵地
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
invite,"n. 邀请
vt. 邀请，招待；招致"
invitation,n. 邀请；引诱；请帖；邀请函
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
brainchild,n. 脑力劳动的产物
brainstorming,"n. 集体研讨；发表独创性意见
v. 集思广益以寻找；集体自由讨论（brainstorm的ing形式）"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
apartment,n. 公寓；房间
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
neighboring,"adj. 邻近的；附近的（等于neighbouring）
v. 与…为邻；位于附近（neighbor的ing形式）"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
brunch,n. 早午餐
salty,adj. 咸的；含盐的
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
proud,adj. 自豪的；得意的；自负的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
wildly,adv. 野生地；野蛮地；狂暴地；鲁莽地
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bomber,n. 轰炸机；投弹手
honest,adj. 诚实的，实在的；可靠的；坦率的
honestly,adv. 真诚地；公正地
dishonest,adj. 不诚实的；欺诈的
restaurant,n. 餐馆； 饭店
cafeteria,n. 自助餐厅
café,找不到解释
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
computer,n. 计算机；电脑；电子计算机
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
printer,n.  打印机；印刷工；印花工
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
gently,adv. 轻轻地；温柔地，温和地
gentleman,n. 先生；绅士；有身份的人
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
highway,n. 公路，大路；捷径
freeway,n. 高速公路
superhighway,n. （美）超级高速公路（等于expressway）
turnpike,n.  收费高速公路；收税关卡
dangerous,"adj. 危险的
危险地"
dangerously,adv. 危险地；不安全
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
prairie,n. 大草原；牧场
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
fright,"n. 惊吓；惊骇
vt. 使惊恐"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
frightening,adj. 令人恐惧的；引起突然惊恐的
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
platform,n. 平台；月台，站台；坛；讲台
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
hurried,"v. 催促；匆忙进行；急派（hurry的过去分词）
adj. 匆忙的；草率的"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
reporter,n. 记者
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
somewhere,"n. 某个地方
adv. 在某处；到某处"
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
deaf,adj. 聋的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
nephew,n. 侄子；外甥
niece,n. 外甥女，侄女
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
landmine,n. 地雷（等于land mine）
miner,n. 矿工；开矿机
pupil,n. 学生； 瞳孔；未成年人
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
dryer,n. 烘干机； 干燥剂
wooden,adj. 木制的；僵硬的，呆板的
golden,adj. 金色的，黄金般的；珍贵的；金制的
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
silently,adv. 默默地；静静地
confirm,vt. 确认；确定；证实；批准；使巩固
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
formally,adv. 正式地；形式上
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
aimless,adj. 没有目标的；无目的的
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prisoner,n. 囚犯，犯人；俘虏；刑事被告
servant,n. 仆人，佣人；公务员；雇工
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
safety,n. 安全；保险；安全设备；保险装置；安打
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
plainly,adv. 明白地；坦率地；平坦地；朴素地
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bothersome,adj. 麻烦的；令人讨厌的
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
hunter,n. 猎人；猎犬；搜寻者
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
Africa,n. 非洲
African,"n. 非洲人
adj. 非洲的，非洲人的"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
thief,n. 小偷，贼
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
Mandarin,找不到解释
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
lovable,adj. 可爱的，讨人喜欢的
loving,adj. 亲爱的；钟情的；忠诚的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
weekday,n. 平日，普通日；工作日
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
string,n. 线，弦，细绳；一串，一行
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
museum,n. 博物馆
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
luckily,adv. 幸好，侥幸；幸运地
stranger,n. 陌生人；外地人；局外人
so-called,adj. 所谓的；号称的
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
typhoon,n.  台风
insect,n. 昆虫；卑鄙的人
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
moth,n. 蛾；蛀虫
beer,"n. 啤酒
vi. 喝啤酒"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
excitement,n. 兴奋；刺激；令人兴奋的事物
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
faulty,adj. 有错误的；有缺点的
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
courage,n. 勇气；胆量
courageous,adj. 有胆量的，勇敢的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
fee,"n. 费用；酬金；小费
vt. 付费给……"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
soccer,n. 英式足球，足球
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
customs,n. 海关；风俗（custom的复数）；习惯；关税
customer,n. 顾客；家伙
ceiling,n. 天花板；上限
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
crazy,adj. 疯狂的；狂热的，着迷的
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
damages,"n. 损害赔偿（damage的复数）；伤害
v. 伤害；毁坏（damage的第三人称单数）"
helpful,adj. 有帮助的；有益的
helpless,adj. 无助的；无能的；没用的
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
boiled,"v. 煮（boil的过去式和过去分词）
adj. 煮沸的，煮熟的"
boiling,"n. 沸腾；煮沸；起泡
adj. 沸腾的；激昂的
adv. 沸腾"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
jointly,adv. 共同地；连带地
melody,n. 旋律；歌曲；美妙的音乐
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
detect,vt. 察觉；发现；探测
detector,n. 探测器；检测器；发现者；侦察器
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
tennis,n. 网球（运动）
ping-pong,n. 乒乓球；桌球
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
volleyball,n. 排球
fighter,n. 战士，斗争者；斗士；奋斗者；好战者
firefighter,n. 消防队员
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
naked,adj. 裸体的；无装饰的；无证据的；直率的
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
dictionary,n. 字典；词典
planet,n. 行星
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
strict,adj. 严格的；绝对的；精确的；详细的
strictly,adv. 严格地；完全地；确实地
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
illness,n. 病；疾病
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
playmate,n. 玩伴；游伴
roommate,n. 室友
teammate,n. 队友，同队队员
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
generously,adv. 慷慨地；宽大地；丰盛地
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
flashlight,n. 手电筒；闪光灯
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
