acrobatics,n. 杂技；巧妙手法
quick response,"un. 快速反应；迅速反应
 快速响应；快速回应；快速应答"
widen sights,找不到解释
develop children's intelligence,找不到解释
high academic records,找不到解释
neglect other skills,找不到解释
personal interest,"un. 个人利益
 个人兴趣；兴趣爱好；个人兴趣爱好"
have more confidence,找不到解释
have strong drive,找不到解释
give children encouragement,找不到解释
guidance and support,找不到解释
technical and technological skills,找不到解释
ability to organize,找不到解释
persuasive skills,找不到解释
communication skills, 沟通技巧；沟通能力；沟通技能
lost and found,"n. 失物招领处
 天涯海角；远在天边；失而复得"
crime rate,"un. 犯罪率
 犯罪人口率；罪案率；暴力犯罪出现"
theft,n. 盗窃；偷；赃物
pick-pocket,n. 扒手
shop lifter,冒充顾客的扒手
thief,n. 小偷，贼
popularity,n. 普及，流行；名气；受大众欢迎
courage,n. 勇气；胆量
community,n. 社区； 群落；共同体；团体
stadium,n. 体育场；露天大型运动场
contestant,n. 竞争者；争辩者
aerobics,n. 有氧运动法；增氧健身法
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
treadmill,n. 踏车，跑步机；单调的工作
rollerblading, 轮滑溜冰；直排轮；滑旱冰
go jogging, 去跑步；去慢跑；去慢跑吧
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
show their best,找不到解释
strong physique,找不到解释
fitness training,"un. 身体素质训练
 健身训练；体适能训练；训练型"
training courses, 培训课程；训练课程；课程培训
in advance,"na. 预先；在先头
 事先；提前；事前"
car racing, 赛车；飙车；赛车玩家
sports events, 体育赛事；体育活动；体育项目
share the profits,找不到解释
keep good shape,找不到解释
have strong body,找不到解释
modern life, 现代生活；摩登生活；我在法国南部有间小屋
X-games,找不到解释
rocking climbing,找不到解释
feel relaxed and refreshed,找不到解释
tournament,n. 锦标赛，联赛；比赛
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
bodybuilding,n. 健美
championship,n. 锦标赛；冠军称号；冠军的地位
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
medal,n. 勋章，奖章；纪念章
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
umpire,"n. 裁判员，仲裁人
vt. 仲裁，裁判
vi. 当裁判，任裁判"
stopwatch,"n. 码表；跑表
vt. 用秒表测定时间"
manager,n. 经理；管理人员
instructor,n. 指导书；教员；指导者
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
contestant,n. 竞争者；争辩者
competitor,n. 竞争者，对手
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
international game,找不到解释
open tournament,"n. 公开赛
 公开组的赛事；公开的巡回赛"
exhibition match,"na. “exhibition game”的变体
 表演赛；友谊赛；热身赛"
invitational match,找不到解释
friendly match,"un. 友谊赛
 友谊比赛；同伴亲善比赛；友好赛"
consolation match,"na. (特为竞赛失败者举行的)安慰赛
 落选赛；败部复活战"
world championship,"un. 世界锦标赛
 世锦赛；世界冠军赛；男篮世锦赛"
bronze medal,"n. 铜牌；铜质奖章
 铜奖；铜牌奖；个铜牌"
silver medal,"n. 银牌；银质奖章
 银奖；银牌奖；大会银质奖"
gold medal,"n. 金牌；金质奖章
 金奖；金牌奖；金奖章"
Olympic torch, 奥运火炬；奥林匹克火炬；奥运会火炬
Olympic village,找不到解释
opening ceremony,"n. 开幕典礼
 开幕式；开学典礼；开幕仪式"
relay race,"na. 接力赛跑
 接力跑；大队接力赛；接力比赛"
record holder,"n. 纪录保持者
 纪录创造者；记录保持者；纪录保持人"
Olympic Games,"n. 奥林匹克运动会；奥运会
 北京奥运会；雅典奥运会；奥林匹克竞技会"
Olympics,找不到解释
Winter Olympics,"n. 冬季奥林匹克运动会
 冬季奥运会；冬奥会；温哥华冬季奥运会"
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
bikini,n. 比基尼泳装；大爆炸
diving,"n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水"
kicking,"n. 踢腿；反撞
adj. 活泼热烈的；激动人心的
v. 踢；反冲；加速；活跃（kick的ing形式）"
hydroscope,n. 深水望远镜
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
surfrider,n. 冲浪者，冲浪运动员
surfer,n. 冲浪运动员，乘冲浪板冲浪的人
surfboard,"n. 冲浪板
vi. 以冲浪板滑水"
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
open-air pool,找不到解释
indoor pool,"un. 室内游泳池
 游泳馆；室内泳场；室内泳池"
swimming facilities,找不到解释
changing room,"n. （尤指做运动前使用的）更衣室
 更衣间；试衣间；员工更衣室"
locker room,"n. 更衣室
 衣帽间；更农室；更衣间"
dressing room,"n. （演员的）化装间；（在英式英语中指运动员的）更衣室；梳妆室
 化妆室；试衣间；换药室"
swimming trunks,"n. （男式）游泳裤
 针织游泳裤；男式游泳短裤；男泳裤"
swimming suit,"n. 游泳衣
 泳装；针织游泳衣；泳衣裤"
swim lane,"un. 水道
 泳道"
diving tower,跳台
platform,n. 平台；月台，站台；坛；讲台
free style,"na. 自由式
 街头篮球；自由式摔跤；自由风格"
breast stroke,"n. 蛙泳
 蛙式；俯泳；蛙式泳"
dolphin stroke,找不到解释
back stroke,"na. 仰泳
 仰式；回程；背泳"
butterfly stroke,"na. 蝶泳
 蝶式；蝶式游泳；乡长盃蝶式"
side stroke,侧击
dog paddle,"na. 狗爬式游泳
 狗跑式游泳；狗刨式游泳；狗刨式"
underwater swimming,"n. 潜水运动
 潜泳；潜泳来源"
life buoy,"na. 救生圈
 带索救生圈；救生圈的英文；救生圈l"
motor-boat race,找不到解释
water skiing,"v. “water-ski”的现在分词
 滑水；水橇；滑水运动"
water ski,"na. (用汽艇拖的)滑水橇
 滑水板；滑水式；超速滑水"
water-skier,n. 滑水者，滑水运动员
skating,"n. 溜冰，滑冰
v. 滑冰（skate的ing形式）"
sleigh,"n. 雪橇
vt. 乘雪橇；用雪橇运输
vi. 乘雪橇；驾雪橇"
roller skates,"n. 穿溜冰鞋溜冰
 旱冰鞋；式旱冰鞋；滚轴溜冰鞋"
figure skating,"n. 花样滑冰
 花式溜冰；花式滑冰；花样溜冰"
roller skating,"un. 滑旱冰
 轮滑；轮滑鞋；溜冰"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
soccer,n. 英式足球，足球
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
charging,"n. 炉料；装料
v. 使承担 （任务等）；装载；命令（charge的现在分词）"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
teammate,n. 队友，同队队员
halfback,n. 中卫（足球）
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
linesman,n. 巡线工人；前锋；架线工，线条员；巡边员
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
football field, 足球场；足球场地；美式足球场
goal net,球订网
goal post,"na. (足球等运动的)门柱
 球门柱；足球等的门柱；足球门柱"
halfway line,"n. （球场等的）中线
 中场线；半场线；线场半"
penalty area,"n. 罚球区
 禁区；在这个地方犯规通常会；禁区或罚球区"
penalty spot,罚球点
free kick,"n. 任意球
 罚任意球；自由球；自由踢"
penalty kick,"n. (足球中的)点球；(橄榄球中的)点球
 罚点球；罚球；点球大战"
corner kick area,角球区
corner flag,"n. 角旗
 角球旗；足球场角旗"
corner ball,角球
kick-off,n. 开球；剔除；分离
pass the ball, 传球；传接球；传球活动
long passing,找不到解释
short passing,短路
head passing,头顶传球
inside foot passing,足内缘传球
outside foot passing,找不到解释
take a pass,"na. 接球
 算了"
goal shooting,射门
make a feint,找不到解释
feinting,v. 佯攻，声东击西( feint的现在分词 )
off-side,n. 越位
fair charge,"un. 合理冲撞
 合法冲撞；公道触犯；公道冲撞"
shoulder charge, 肩膀撞击
dangerous play,危险动作
professional team,"un. 专业队
 专业团队；专业的团队；专业的队伍"
amateur team,找不到解释
football player, 足球运动员；球员；足球队员
quarters player,找不到解释
left wing,"n. 左翼；（政党中的）左翼
 左边锋；左路；左派"
right wing,"n. 右翼；（政党的）右翼
adj. 右翼的
 右边锋；右派；保守派"
left forward,"un. 前排左
 左锋；左前锋；左边锋"
right forward,"na. 忠实可靠的人
 前排右；右锋；右前锋"
centre forward,"n. 中锋；中锋位置
 前锋；足球或篮球的中锋；正前锋"
inside left forward,左内锋
inside right forward,右内锋
outside left forward,找不到解释
outside right forward,找不到解释
left halfback,找不到解释
right halfback,找不到解释
centre halfback,；中前卫；中前卫位置
full back,"na. (足球的)后卫
 边后卫；殿卫；传统边后卫"
first half,"un. 前半局
 上半场；上半时；前半场"
second half,"un. 后半时
 下半场；下半时；后半场"
team manager,"un. 队长代表
 领队；车队经理；团队经理"
trial match,预赛
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
semi-final,n. 半决赛；准决赛；复赛
warming-up practice,找不到解释
football sock,找不到解释
tennis,n. 网球（运动）
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
crosscourt,adv.& adj. 斜线地，斜切地，向着对方半场（的）
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
volley,"n. 齐射；齐射出的子弹；凌空状态
vt. 截击；齐发；连声发出
vi. 截击；齐鸣；进行群射"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
fluke,"n. 侥幸；锚爪；意外的挫折
vt. 侥幸成功；意外受挫
vi. 侥幸成功"
set-up,n. 计划；组织；机构；装配
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
deuce,n. 平手；两点；恶运
server,n. 发球员；服伺者；服勤者；伺候者
receiver,n. 接收器；接受者；收信机；收款员，接待者
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
lawn tennis,"na. 草地网球
 草地网球运动；贿赂丑闻草地网球；草场网球运动"
grass court, 草地球场
racket press,n. 网球拍夹（夹网球拍以保持平整）
string,n. 线，弦，细绳；一串，一行
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
line ball,找不到解释
baseline ball,找不到解释
sideline ball,找不到解释
straight ball,"un. 直球
 直线球"
down-the-line shot,找不到解释
low ball,"un. 低球
 低空抛球"
long shot,"n. 高风险的赌注；可能性极小的事；远景
 远射；远景镜头；远投"
short shot,欠注;喷丸不足
jump smash,找不到解释
low drive,"un. 抽低球
 低射；禁区外低射；后低射"
low volley,低截球
deep ball, 深球；长球
heavy ball, 重球；笨重球；重量球
flat stroke,找不到解释
flat drive,平抽
ground stroke,击落地球
overhead smash,"un. 高球扣杀
 高压扣杀；头顶扣球；过顶扣杀"
overhand smash,找不到解释
fifteen all,一比一
thirty all,un. 二平
forty all,un. 三平
love game, 一方得零分的一局
double fault,"n. 双发失误；双误（因两次发球失误输掉的一分）
 发球双错误；双重错误；两次失误"
service line,"na. 用户进线；发球线
 球场中发球线；引入线；服务热线"
fore court,前场
back court,后场
centre mark,"定中心点,中心记号"
tennis court,"n. 网球场
 网球场图片；网球场的工作程序；网球场地"
basketball,n. 篮球；篮球运动
basket support,找不到解释
boundary line,"na. (边)界线
 边界线；境界线；分界线"
side line,"n. (球场的)旁线；副业；旁观者的立场
v. 使运动员不能参加比赛；阻止某人参加活动；从事副业(或体育活动)
 边线；侧线；边线中线"
three seconds,"n. 三秒
 三秒钟；三秒风暴；二分之三是"
technical offence,找不到解释
double foul,双方犯规
time-out,n. 休息时间，暂停
removal of player,找不到解释
change of player,找不到解释
extra game,找不到解释
extra period,延长期
miss the basket,投篮未中
inaccurate shooting,找不到解释
volleyball,n. 排球
volleyball court,"un. 排球场
 排球场地；排球埸；排球房"
volleyball net, 排球网
service area,"n. （高速公路旁可停车用餐、加油、上厕所等的）服务区
 发球区；服务范围；服务区域"
attack area,灭火区
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
helmet,n. 钢盔，头盔
badminton,n. 羽毛球
shuttlecock,"n. 羽毛球；毽子
vt. 往返递送；将…抛来抛去
vi. 往返移动；走来走去"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
hockey,n. 曲棍球；冰球
billiards,n. 台球，桌球；弹子戏
cricket,n. 板球，板球运动；蟋蟀
croquet,"n. 槌球戏；循环球戏
vi. 打自己的球以击走对方的球"
polo,n. 马球；水球
baseball field,"na. 棒球场
 棒球运动图片；棒棒球场；棒球场地"
touch line,"na. 边线
 选择功能；触线"
football helmet, 橄榄球头盔；足球帽；橄榄球头盔制作流程
badminton court, 羽毛球场；羽球场；羽毛球房
golf course,"n. 高尔夫球场
 小型高尔夫球场；哥尔夫球场；高尔夫俱乐部"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
ice hockey,"n. 冰球运动；冰上曲棍球
 冰上曲棍球赛；冰上曲棍球运动；冰球大国的风姿"
water polo,"n. 水球
 水球运动；水球叫做；跳水"
polo player,找不到解释
trials,n. 审判( trial的名词复数 ); （对能力、质量、性能等的）试验; 测试; 比赛
javelin,n. 标枪，投枪
javelin throw,"na. 掷标枪
 标枪投掷；标枪丢掷；标枪运动"
discus,n. 铁饼；掷铁饼
discus throw,"un. 掷铁饼
 铁饼场；铁饼区；摔跤"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
marathon race,"n. 马拉松
 马拉松赛跑；马拉松跑；马拉松比赛"
hurdles,n. 障碍；跨栏；跨栏跑；障碍赛跑（hurdle的复数）
hurdle race,n. 障碍竞赛，跳栏赛跑
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
gymnastics,n. 体操；体育；体操运动
gymnast,n. 体操运动员
rings,n. 吊环（ring的复数）
swinging rings,找不到解释
springboard,"n. 跳板；出发点
vi. 利用跳板跃进"
difficulty,n. 困难，困境
harmony,n. 协调；和睦；融洽；调和
elegance,n. 典雅；高雅
accuracy,n.  精确度，准确性
fencing,"n. 剑术；围墙；筑栅栏的材料
v. 击剑；围住；避开（fence的ing形式）"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
helmet,n. 钢盔，头盔
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
karate,n. 空手道（日本的一种徒手武术）
boxer,n. 拳师，拳击手
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
shooting,"n. 射击；打猎；摄影；射门
v. 射击（shoot的ing形式）"
archery,n. 箭术
gliding,"adj. 滑行的；流畅的；滑顺的
v. 滑翔；消逝；溜走（glide的ing形式）"
wrestling,"n. 摔跤；扭斗
v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动"
wrestler,n. 摔跤选手，搏斗者
sumo,n. （日）相扑
judo,"n. （日）柔道
adj. 柔道的；柔道术的"
parachutist,n. 伞兵；跳伞人
martial arts,n. 武术（指功夫、柔道、空手道等）; 武术，技击( martial art的名词复数 ); 把式
wushu,n. <汉>武术; 国术
parachute jumping, 跳伞；中国人民解放军八一跳伞队；降落伞
parachuting,"n.  跳伞；空降
v.  跳伞（parachute的ing形式）"
track & field events,找不到解释
field events,"na. 田赛
 田赛项目；田赛英语翻译；径赛"
track events,"n. “track event”的复数
 径赛项目；竞赛；径赛专案"
sports meet,"un. 运动会
 体育运动会；参加运动会；扑朔迷离的运动会"
high jump,"n. 跳高
 高跳；跳远；高台跳高"
broad jump,"na. 跳远
 立定跳远；跳远障碍；预跳"
long jump,"n. 跳远
 长跳；长跳转；长转移"
obstacle race,"n. 障碍赛跑
 障碍跑；跑赛碍障；形配障碍赛"
walking race,"n. 竞走
 竞走项目；竞走比赛；步行"
starting line,"un. 起跑线；发球线
 起点线；起赛线；同一起跑线"
finishing tape,"un. 终点线
 终点带；终点站；贴条"
horizontal bar,"n. 单杠
 横棒；水平筋；水平条"
parallel bars,"n. 双杠
 单双杠；单杠；平行杆"
uneven bars,高低杠，高低杆
balance beam,"na. 平衡木
 平衡杆；平衡梁；天平梁"
vaulting horse,"n. （体操器械）跳马
 鞍马；木马；拱柱或拱墩"
pommelled horse,鞍马
box horse,找不到解释
free exercise,"un. 自由体操
 自由行；自由活动；信教自由"
floor exercise,"na. 地面体操
 自由体操；自由操；地板"
fitness exercise,"un. 保健运动
 健身运动；键身运动；健美操"
bodybuilding exercise,找不到解释
hoop exercise,找不到解释
dumb-bell exercise,找不到解释
free-hand exercise,徒手体操
compulsory exercise,规定动作
optional exercise,un. 自选动作；任选习题
mat exercise,垫上运动
push-up,n. 俯卧撑；模面挤凹
full score,"na. 总谱
 满分；大总谱；钢琴"
bonus point,"un. 击球练习
 奖励分；消费积分；加分"
fencing master,"na. 击剑教练(员)
 剑师；剑术教练；剑击大师"
fencing instructor,找不到解释
Thai boxing, 泰拳；泰国拳；泰拳系列教程
road cycling,"n. 公路自行车
 公路自行车赛；公路赛；公路自行车竞赛"
track cycling,赛车场竞赛
free-style wrestling,找不到解释
traditional wrestling,找不到解释
weight-lifting,n. 举重
chess competition, 棋赛；棋王大赛；棋类赛
chess board,"un. 象棋盘
 棋盘图片；双陆棋盘；国际象棋的棋盘"
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
bowler,n. 圆顶礼帽；投球手；玩滚球的人
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
bowling alley,"n. 保龄球场
 保龄球馆；保龄球道；滚球槽"
tenpin bowling,保龄球
ninepins,n. 九柱戏；九柱戏中的木柱（ninepin的复数）
billiard room,"n. 弹子房
 台球室；桌球室；台球室工作程序"
poolroom,n. 台球场；弹子房；下赌注处
billiard table,"un. 台球台
 台球桌；弹子台；美式台球桌"
billiard cloth,台球呢
billiard player, 打台球人
cardroom,n. 桥牌室
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
cardplayer,n. 玩牌的人
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
trump,"n. 王牌；法宝；喇叭
vt. 胜过；打出王牌赢
vi. 出王牌；吹喇叭"
winner,n. 胜利者
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
shuffler,n. 曳步而行者;  洗牌者;  轮到洗牌的人;  做事漫不经心者
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
dealing box,(放置一副纸牌的)发牌盒
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
bidding,n. 投标；出价；命令
play bridge, 打桥牌；开始玩桥牌
a pack of cards,找不到解释
card-game,"n. 纸牌游戏,扑克牌戏"
chessroom,找不到解释
chess,n. 国际象棋，西洋棋
the game of chess,找不到解释
chessman,n. 棋子
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
bishop,n. （基督教的）主教；（国际象棋的）象
rook,"n. （象棋）车；骗子，赌棍；白嘴鸦
vt. 欺骗"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
pawn,"n. 典当；抵押物；兵，卒；人质
vt. 当掉；以……担保"
chess player,"un. 棋手
 下象棋者；国际象棋运动员；方棋手"
chess fan,找不到解释
white piece,找不到解释
black piece,找不到解释
Chinese Chess,找不到解释
halma,n. 哈尔马棋（一种跳棋）; 跳棋
the game of halma,找不到解释
draughts,n. 国际跳棋
the game of draughts,找不到解释
chequers,找不到解释
checkers,n. 西洋棋
dominoes,n. 多米诺骨牌（效应）；牙齿；骰子（domino的复数）
mahjong,n. 麻将
Chinese checkers, 跳棋；中国跳棋；弹珠跳棋
play dice,找不到解释
play mahjong,找不到解释
baggage,n. 行李； 辎重（军队的）
luggage,n. 行李；皮箱
baggageroom,找不到解释
checkroom,n. 衣帽寄放处；行李寄存处
timetable,n. 时间表；时刻表；课程表
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
gateman,n. 收票员
stationmaster,n. （火车站）站长
porter,n. 门房；服务员；行李搬运工；守门人
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
behind schedule,"na. 比预定时间晚
 晚点；误点；落后于预定计划"
destination,n. 目的地，终点
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
trainsick,a. 晕车的
junction,n. 连接，接合；交叉点；接合点
subway,"n. 地铁；地道
vi. 乘地铁"
underground railway,找不到解释
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
railroad car,"un. 铁路车皮
 有轨电车；铁路车厢；铁路车辆"
carriage,n. 运输；运费；四轮马车；举止；客车厢
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
corridor,走廊
sleeping car,"n. 卧铺车厢
 卧车；火车；寝车"
sleeper,n. 卧车；卧铺；枕木；睡眠者
bunk,"n. 铺位；床铺；座床
vt. 为…提供铺位；逃课
vi. 睡在铺上；逃跑"
carriage,n. 运输；运费；四轮马车；举止；客车厢
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
tramcar,"n. 有轨电车, 矿车"
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
radiator,n. 散热器；暖气片；辐射体
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
rowboat,n. 划艇；小船
sampan,n. 舢板；小船
air-cushion vehicle, 气垫船
motorboat,n. 摩托艇，汽船
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
liner,n. 班轮，班机；衬垫；画线者
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
quartermaster,n. 军需官；舵手
airport,n. 机场；航空站
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
runway,n. 跑道；河床；滑道
elevator,n. 电梯；升降机；升降舵；起卸机
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
airlines,n. 航空公司（airline的复数）；航空业
crewman,n. 机组成员
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
co-pilot,n. 副驾驶；自动驾驶仪
seatmate,n. （汽车、火车、飞机等上的）同座乘客
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
airsick,adj. 晕机的；患航空病的
waiting room,"n. 候诊室；等候室；候车室
 候机室；等待室；侯诊室"
railway platform,站台
arrival platform,(火车)到站月台
departure platform,"na. 发车月台
 出发站台；乘车月台"
travelling staircase,"un. 自动楼梯
 自动梯"
personal luggage,随身(小件)行李
excess luggage,"na. 超重行李
 随身行李；三重奏"
checked baggage,"un. 交运的行李
 托运行李；托运的行李；行李托运"
luggage tag,行李票签
luggage compartment,"un. 行李舱
 行李舱架；行李箱；行李厢"
baggage check,"na. 行李票
 行李托管证；托运行李检查；行李包裹托运"
lost and found office,失物招领处
refreshment room,"n. 饮食店,小吃部,茶点室"
train indicator,"列车指标, 列车标志"
one-way ticket,n. 单程票
single ticket,"na. 单程车票
 单程票；分单程票；车票又可细分为单程票"
round-trip ticket, 往返票，双程票
return ticket,"n. 往返票
 到阜阳六百里；来回票；往返机票"
express ticket,un. 快车票
berth ticket, 卧铺票
commuter's ticket,找不到解释
season ticket,"n. 长期票（如火车通勤票、公交车月票、体育比赛套票等）
 季票；月季票；定期票"
