disastrous,adj. 灾难性的；损失惨重的；悲伤的
emit,vt. 发出，放射；发行；发表
depress,vt. 压抑；使沮丧；使萧条
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
mood,n. 情绪，语气；心境；气氛
preference,n. 偏爱，倾向；优先权
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
virtually,adv. 事实上，几乎；实质上
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
consultant,n. 顾问；咨询者；会诊医生
degree,n. 程度，等级；度；学位；阶层
polish,找不到解释
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
award,"n. 奖品；判决
vt. 授予；判定"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
deputy,"n. 代理人，代表
adj. 副的；代理的"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
delete,vt. 删除
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
reality,n. 现实；实际；真实
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
viewer,n. 观察者；观看者；观众； 指示器
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
allege,vt. 宣称，断言；提出…作为理由
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
normally,adv. 正常地；通常地，一般地
privacy,n. 隐私；秘密；隐居；隐居处
destiny,n. 命运，定数，天命
facilitate,vt. 促进；帮助；使容易
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
status,n. 地位；状态；情形；重要身份
doctrine,n. 主义；学说；教义；信条
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
distinct,adj. 明显的；独特的；清楚的；有区别的
ascertain,vt. 确定；查明；探知
fund,"n. 基金；资金；存款
vt. 投资；资助"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
enthusiasm,n. 热心，热忱，热情
symptom,n.  症状；征兆
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
intensity,n. 强度；强烈； 亮度；紧张
output,"n. 输出，输出量；产量；出产
vt. 输出"
formula,n.  公式，准则；配方；婴儿食品
inherent,adj. 固有的；内在的；与生俱来的，遗传的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
aggravate,vt. 加重；使恶化；激怒
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
elderly,adj. 上了年纪的；过了中年的；稍老的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
obedient,adj. 顺从的，服从的；孝顺的
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
lane,n. 小巷； 航线；车道；罚球区
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
handicraft,n. 手工艺；手工艺品
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
metallic,adj. 金属的，含金属的
clarity,n. 清楚，明晰；透明
crowning,"n. 加冕
adj. 最高的；无比的
v. 加冕（crown的现在分词）"
liaison,n. 联络；（语言）连音
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
perplex,vt. 使困惑，使为难；使复杂化
impetus,n. 动力；促进；冲力
signpost,n. 路标；指示牌
spectrum,n. 光谱；频谱；范围；余象
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
defiance,n. 蔑视；挑战；反抗
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
flatter,vt. 奉承；谄媚；使高兴
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
cell-phone,手机（等于cellular phone）
vigor,n.  活力，精力
preoccupy,vt. 迷住；使全神贯注
hectare,n. 公顷（等于1万平方米）
sanitation,n.  环境卫生；卫生设备；下水道设施
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
shorthand,"n. 速记；速记法
adj. 速记法的"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
appall,vt. 使胆寒；使惊骇
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
bouquet,n. 花束；酒香
aspire,vi. 渴望；立志；追求
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
warfare,n. 战争；冲突
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
bridegroom,n. 新郎
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
atop,"prep. 在…的顶上
adv. 在顶上"
comma,n. 逗号；停顿
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
freshman,n. 新手，生手；大学一年级学生
medication,n. 药物；药物治疗；药物处理
panorama,n. 全景，全貌；全景画；概论
cite,vt. 引用；传讯；想起；表彰
frequency,n. 频率；频繁
numerous,adj. 许多的，很多的
attribute,"n. 属性；特质
vt. 归属；把…归于"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
integrity,n. 完整；正直；诚实；廉正
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
enterprise,n. 企业；事业；进取心；事业心
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
donation,n. 捐款，捐赠物；捐赠
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
simplify,vt. 简化；使单纯；使简易
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
cling,vi. 坚持，墨守；紧贴；附着
fiction,n. 小说；虚构，编造；谎言
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
empire,n. 帝国；帝王统治，君权
proud,adj. 自豪的；得意的；自负的
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
registration,n. 登记；注册；挂号
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
religion,n. 宗教；宗教信仰
occupy,vt. 占据，占领；居住；使忙碌
contribution,n. 贡献；捐献；投稿
realistic,adj. 现实的；现实主义的；逼真的；实在论的
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
contaminate,vt. 污染，弄脏
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
extensive,adj. 广泛的；大量的；广阔的
electronic,"adj. 电子的
n. 电子电路；电子器件"
toxic,adj. 有毒的；中毒的
county,n. 郡，县
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
committee,n. 委员会
intricate,adj. 复杂的；错综的，缠结的
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
conspicuous,adj. 显著的；显而易见的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
embody,vt. 体现，使具体化；具体表达
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
historical,adj. 历史的；史学的；基于史实的
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
furthermore,adv. 此外；而且
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
dilemma,n. 困境；进退两难；两刀论法
derive,"vt. 源于；得自；获得
vi. 起源"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
detective,"n. 侦探
adj. 侦探的"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
dedicate,vt. 致力；献身；题献
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
indignant,adj. 愤愤不平的；义愤的
intrinsic,adj. 本质的，固有的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
prevalent,adj. 流行的；普遍的，广传的
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
cosy,"n. 保温罩
adj. 舒适的；惬意的"
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
gorgeous,adj. 华丽的，灿烂的；极好的
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
militia,n. 民兵组织；自卫队；义勇军；国民军
retention,n. 保留；扣留，滞留；记忆力；闭尿
outflow,"n. 流出；流出量；流出物
vi. 流出"
insurgency,n. 叛乱；暴动；叛乱状态
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
frantic,adj. 狂乱的，疯狂的
porch,n. 门廊；走廊
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
verdict,n. 结论；裁定
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
inborn,adj. 天生的；先天的
scarcity,n. 不足；缺乏
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
humid,adj. 潮湿的；湿润的；多湿气的
immigrate,"vi. 移入
vt. 使移居入境"
faction,n. 派别；内讧；小集团；纪实小说
coconut,n. 椰子；椰子肉
panda,n. 熊猫；猫熊
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
clergy,n. 神职人员；牧师；僧侣
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
debut,"n. 初次登台；开张
vi. 初次登台"
metabolism,n.  新陈代谢
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
relentless,adj. 无情的；残酷的；不间断的
overdue,adj. 过期的；迟到的；未兑的
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
lenient,adj. 宽大的；仁慈的
heartfelt,adj. 衷心的；真诚的；真心真意的
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
predator,n.  捕食者； 食肉动物；掠夺者
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
scrutiny,n. 详细审查；监视；细看；选票复查
perpetual,adj. 永久的；不断的；四季开花的；无期限的
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
decent,adj. 正派的；得体的；相当好的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
molecule,n.  分子；微小颗粒，微粒
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
invent,vt. 发明；创造；虚构
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
deduct,vt. 扣除，减去；演绎
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
passion,n. 激情；热情；酷爱；盛怒
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
standpoint,n. 立场；观点
patience,n. 耐性，耐心；忍耐，容忍
forum,n. 论坛，讨论会；法庭；公开讨论的广场
convenient,adj. 方便的；适当的；近便的；实用的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
signature,n. 署名；签名；信号
compete,vi. 竞争；比赛；对抗
maintain,vt. 维持；继续；维修；主张；供养
outcome,n. 结果，结局；成果
successor,n. 继承者；后续的事物
controversy,n. 争论；论战；辩论
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
community,n. 社区； 群落；共同体；团体
protein,"n. 蛋白质；朊
adj. 蛋白质的"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
stimulus,n. 刺激；激励；刺激物
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
costly,adj. 昂贵的；代价高的
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
morality,n. 道德；品行，美德
versatile,adj. 多才多艺的；通用的，万能的；多面手的
optimism,n. 乐观；乐观主义
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
finite,"n. 有限之物
adj. 有限的；限定的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
astonish,vt. 使惊讶
vessel,n. 船，舰； 脉管，血管；容器，器皿
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
segment,"n. 段；部分
vt. 分割
vi. 分割"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
typical,adj. 典型的；特有的；象征性的
consumer,n. 消费者；用户，顾客
interpret,"vi. 解释；翻译
vt. 说明；口译"
penalty,n. 罚款，罚金；处罚
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
recession,n. 衰退；不景气；后退；凹处
notation,n. 符号；乐谱；注释；记号法
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
soluble,adj.  可溶的，可溶解的；可解决的
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
remnant,"n. 剩余
adj. 剩余的"
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
permissible,adj. 可允许的；获得准许的
rehearse,"vt. 排练；预演
vi. 排练；演习"
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
bizarre,adj. 奇异的（指态度，容貌，款式等）
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
solicitor,n. 律师；法务官；募捐者；掮客
repressive,adj. 镇压的；压抑的；抑制的
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
fabricate,vt. 制造；伪造；装配
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
artery,n. 动脉；干道；主流
condolence,n. 哀悼；慰问
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
civic,adj. 市的；公民的，市民的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
dogma,n. 教条，教理；武断的意见
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
statute,n.  法规；法令；条例
sodium,n.  钠（11号元素，符号 Na）
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
synonym,n. 同义词；同义字
dime,n. 一角硬币
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
burglar,n. 夜贼，窃贼
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
carbohydrate,n.  碳水化合物； 糖类
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
complacent,adj. 自满的；得意的；满足的
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
tropic,"n. 热带；回归线
adj. 热带的"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
heroin,n.  海洛因，吗啡
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
insight,n. 洞察力；洞悉
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
diplomatic,adj. 外交的；外交上的；老练的
cultivate,vt. 培养；陶冶；耕作
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
alienate,vt. 使疏远，离间；让与
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
grateful,adj. 感谢的；令人愉快的，宜人的
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
circumstance,n. 环境，情况；事件；境遇
workforce,n. 劳动力；工人总数，职工总数
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
eager,adj. 渴望的；热切的；热心的
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
librarian,n. 图书馆员；图书管理员
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
definition,n. 定义； 清晰度；解说
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
