enjoyable,adj. 快乐的；有乐趣的；令人愉快的
traveller,n. 旅行者
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
westwards,"adv. 向西
adj. 向西的"
seek one's fortune,"na. 找出路
 寻找发迹的机会；寻出路；发财"
settlement,n. 解决，处理； 结算；沉降；殖民
syrup,n. 糖浆，果汁；含药糖浆
little more than,"na. 和…一样
 差不多；仅仅是；和...一样"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
cowboy,n. 牛仔；牧童；莽撞的人
niece,n. 外甥女，侄女
oral,"n. 口试
adj. 口头的，口述的"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
teamwork,n. 团队合作；协力
empire,n. 帝国；帝王统治，君权
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
sidewalk,n. 人行道
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
immigration,n. 外来移民；移居
sporting,"adj. 运动的；冒险性的；公正的；喜好运动的
v. 娱乐；玩弄（sport的ing形式）"
ambiguous,adj. 模糊不清的；引起歧义的
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
canteen,n. 食堂，小卖部；水壶
pub,n. 酒馆；客栈
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
unfit,"adj. 不适宜的；不合格的；不健康的
vt. 使不合格；使不相宜；使不胜任"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
equip,vt. 装备，配备
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
after-school,adj. 课后的，课外的
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
cricket,n. 板球，板球运动；蟋蟀
originally,adv. 最初，起初；本来
Pakistan,n. 巴基斯坦（南亚国家名）
Kenya,n. 肯尼亚（东非国家）
South Africa,"n. 南非；位于非洲南部
 南非共和国；南非地区；南非共和国大使馆"
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
Colosseum,找不到解释
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
Angkor Wat,"n. 吴哥窟
 小吴哥；吴哥寺；小吴哥城"
Cambodia,n. 柬埔寨（位于亚洲）
cathedral,n. 大教堂
politics,n. 政治，政治学；政治活动；政纲
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
sacred,adj. 神的；神圣的；宗教的；庄严的
goddess,n. 女神，受崇拜的女性
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
partly,adv. 部分地；在一定程度上
Turk,n. 土耳其马；土耳其人
warehouse,n. 仓库；货栈；大商店
gunpowder,n. 火药；有烟火药
theft,n. 盗窃；偷；赃物
friction,n. 摩擦， 摩擦力
autonomous,adj. 自治的；自主的；自发的
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
smog,n. 烟雾
acid rain,"n. 酸雨；酸性降水
 酸雨公司；酸雨问题；酸性雨"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
heritage,n. 遗产；传统；继承物；继承权
site,"n. 地点；位置；场所
vt. 设置；为…选址"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
assessment,n. 评定；估价
fortnight,n. 两星期
sunburnt,"adj. 晒黑的；有晒斑的；日炙的
v. 晒黑（sunburn的过去式和过去分词）"
inspiration,n. 灵感；鼓舞；吸气；妙计
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
Catholic,找不到解释
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
be charged with,"装满, 承担, 被控告
 负...责任, 受...指控"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
on behalf, 代取件业务；代订；代为
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
Egypt,n. 埃及（非洲国家）
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
upper,adj. 上面的，上部的；较高的
decoration,n. 装饰，装潢；装饰品；奖章
fragrant,adj. 芳香的；愉快的
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
apparent,adj. 显然的；表面上的
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
assistance,n. 援助，帮助；辅助设备
fragile,adj. 脆的；易碎的
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
tulip,n. 郁金香
personality,n. 个性；品格；名人
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
unrest,n. 不安；动荡的局面；不安的状态
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
abolish,vt. 废除，废止；取消，革除
liberation,n. 释放，解放
equality,n. 平等；相等； 等式
fraternity,n. 友爱；兄弟会；互助会；大学生联谊会
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
justice,n. 司法，法律制裁；正义；法官，审判员
honesty,n. 诚实，正直
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
settler,n. 移居者；殖民者
colony,n. 殖民地；移民队；种群；动物栖息地
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
separation,n. 分离，分开；间隔，距离； 分居；缺口
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
virtue,n. 美德；优点；贞操；功效
union,n. 联盟，协会；工会；联合
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
Indonesia,n. 印尼，印度尼西亚（东南亚岛国）
Indonesian,"n. 印尼人；印尼语群；印度尼西亚语
adj. 印尼的"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
purity,n.  纯度；纯洁；纯净；纯粹
similarity,n. 类似；相似点
region,n. 地区；范围；部位
Scot,找不到解释
outspoken,adj. 坦率的，直言不讳的
get one's way, 随心所欲；如某人所愿；得逞
Irish,"n. 爱尔兰人；爱尔兰语；爱尔兰
adj. 爱尔兰的；爱尔兰人的"
split off from,"vi.分裂,分离"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
homeland,n. 祖国；故乡
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
seedless,adj. 无核的；无子的
observer,n. 观察者； 观测者；遵守者
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
dishonest,adj. 不诚实的；欺诈的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
trustworthy,adj. 可靠的；可信赖的
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
identification,n. 鉴定，识别；认同；身份证明
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
unconditional,adj. 无条件的；绝对的；无限制的
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
reddish,adj. 微红的；略带红色的
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
occupation,n. 职业；占有；消遣；占有期
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
arbitrary,adj.  任意的；武断的；专制的
subjective,adj. 主观的；个人的；自觉的
consistent,adj. 始终如一的，一致的；坚持的
passion,n. 激情；热情；酷爱；盛怒
mourning,"n. 哀痛；服丧
v. 哀伤；为…哀悼（mourn的ing形式）"
warmth,n. 温暖；热情；激动
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
ecology,n. 生态学；社会生态学
Muslim,"n. 穆斯林；穆罕默德信徒
adj. 伊斯兰教的"
burglar,n. 夜贼，窃贼
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
Buddhism,n. 佛教
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
Buddhist,"n. 佛教徒
adj. 佛教的"
mosque,n. 清真寺
Taoism,n. 道家的学说；道教
biblical,adj. 圣经的；依据圣经的（等于biblical）
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
Bible,找不到解释
Hebrew,"n. 希伯来人，犹太人；希伯来语
adj. 希伯来人的；希伯来语的"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
by and by,"na. 不久以后
 不一会儿；渐渐地；迟早"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
penny,n. （美）分；便士
hire oneself out, 租出去；为某人工作；受雇
agricultural,adj. 农业的；农艺的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
ripen,"vt. 使成熟
vi. 成熟"
thorough,adj. 彻底的；十分的；周密的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
necklace,n. 项链
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
proverb,n. 谚语，格言；众所周知的人或事
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
frequently,adv. 频繁地，经常地；时常，屡次
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
bishop,n. （基督教的）主教；（国际象棋的）象
Turkey,找不到解释
saint,找不到解释
butcher,"n. 屠夫
vt. 屠杀"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
cottage,n. 小屋；村舍；（农舍式的）小别墅
chimney,n. 烟囱
stocking,n. 长袜
fireplace,n. 壁炉
moustache,n. 小胡子；髭；触须
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
woollen,"n. 毛织品
adj. 羊毛制的"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
elf,找不到解释
reindeer,n.  驯鹿
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
eve,n. 前夕；傍晚；重大事件关头
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
Buddha,n. 佛陀；佛像
Afghanistan,n. 阿富汗（国家名称，位于亚洲）
monk,n. 僧侣，修道士；和尚
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
bureaucratic,adj. 官僚的；官僚政治的
ministry,n. （政府的）部门
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
pagoda,n. （东方寺院的）宝塔；印度的旧金币
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
croak,"n. 呱呱叫声；低沉沙哑的说话声
vt. 用嘶哑的声音说；死亡
vi. 呱呱地叫；发牢骚；死"
prayer,n. 祈祷，祷告；恳求；祈祷文
short-term,adj. 短期的
long-term,"adj. 长期的
从长远来看"
rainfall,n. 降雨；降雨量
Ethiopia,n. 埃塞俄比亚
gravity,n. 重力，地心引力；严重性；庄严
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
put pressure on somebody,找不到解释
put pressure on somebody to do something,找不到解释
politician,n. 政治家，政客
statesman,n. 政治家；国务活动家
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
dilemma,n. 困境；进退两难；两刀论法
agency,n. 代理，中介；代理处，经销处
pregnant,adj. 怀孕的；富有意义的
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
at a crossroads, 处于关键时刻，在紧要关头
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
infrastructure,n. 基础设施；公共建设；下部构造
irrigation,n. 灌溉； 冲洗；冲洗法
framework,n. 框架，骨架；结构，构架
enterprise,n. 企业；事业；进取心；事业心
housewife,n. 家庭主妇
Nigeria,n. 尼日利亚（位于非洲）
problem-solving,"n. 解决问题；找出问题的答案
adj. 问题解决的"
work of art,"n. 艺术品；（绘画、雕塑等）艺术作品；令人赏心悦目的东西；精致的物品
 创造艺术；美术作品；艺术珍品"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
water buffalo,"n. 印度水牛（亚洲挽畜）
 水牛皮；亚洲水牛；台湾水牛"
ox,n. 牛；公牛
tractor,n. 拖拉机；牵引机
dam,"n.  水坝；障碍
v. 控制；筑坝"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
repayment,n. 偿还； 付还
catch up on,"v. 听消息
 补上；补上某事；弥补"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
moreover,adv. 而且；此外
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fashionable,adj. 流行的；时髦的；上流社会的
basement,n. 地下室；地窖
creativity,n. 创造力；创造性
catering,"n. 给养；承办酒席；提供饮食及服务
v. 备办食物（cater的ing形式）"
alarm bell,"na. 警钟；警铃
 警报钟；敲响了警钟；警钟是"
adjustment,n. 调整，调节；调节器
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
put something into practice,找不到解释
grandchild,n. 孙子；孙女；外孙；外孙女
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
oilfield,n. 油田
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
push for something, 推东西
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
hydroelectricity,n. 水力电气
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
Costa Rica,"n. 哥斯达黎加；哥斯达黎加共和国
 哥斯大黎加；哥斯达尼加；中美洲哥斯达黎加"
hopefully,adv. 有希望地，有前途地
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
edition,"n. 版本
版次
集"
be on the move, 流转；在移动之中
the Midwest,"n. （美国）中西部
 中西部地区；美国中西部"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
hurricane,n. 飓风，暴风
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
turn into,"v. 变成
 成为；把……变成；变为"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
ambulance,n.  救护车；战时流动医院
bingo,n. 宾戈游戏
herb,n. 香草，药草
seagull,n. 海鸥
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
flexible,adj. 灵活的；柔韧的；易弯曲的
Oceania,n. 大洋洲
inn,"n. 客栈；旅馆
vi. 住旅馆"
Midwestern,找不到解释
one's flesh and blood,亲属，亲骨肉；和自己气味相投的人
one's own flesh and blood,"na. 亲骨肉
 亲属；亲生骨肉；近亲"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
accountant,n. 会计师；会计人员
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
physicist,n. 物理学家；唯物论者
biologist,n. 生物学家
botany,n. 植物学；地区植物总称
biochemistry,"n. 生物化学
生物化学过程"
analytical,adj. 分析的；解析的；善于分析的
bungalow,n. 平房；小屋
skateboard,"n. 溜冰板
vi. 用滑板滑行"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
bakery,n. 面包店
botanical,"n. 植物性药材
adj. 植物学的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
currency,n. 货币；通货
word of mouth,"adj. 口头表达；口传的
 口碑；口耳相传；口碑行销"
Romany,"n. 吉普赛语；吉普赛人
adj. 吉普赛人的；吉普赛语的；吉普赛人之风俗习惯的"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
precise,adj. 精确的；明确的；严格的
council,n. 委员会；会议；理事会；地方议会；顾问班子
Gypsy,找不到解释
fortune-telling,"adj. 算命的
n. 算命"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
thief,n. 小偷，贼
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
Norway,n. 挪威（北欧国家名）
Switzerland,n. 瑞士（欧洲国家）
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
Jew,"n. 犹太人；犹太教徒；守财奴
vt. 欺骗；杀价"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的"
controversial,adj. 有争议的；有争论的
at best,"na. 充其量也不过
 至多；最多；最好也只是"
sympathy,n. 同情；慰问；赞同
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
HIV,找不到解释
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
unprotected,"v. 无保护（unprotect的过去分词）
adj. 无保护的；未设防的；不受关税保护的"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
mosquito,n. 蚊子
sneeze,"n. 喷嚏
vi. 打喷嚏"
burst on the scene,找不到解释
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
agenda,n. 议程；日常工作事项；日程表
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
prevention,n. 预防；阻止；妨碍
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
weapon,n. 武器，兵器
additional,adj. 附加的，额外的
pain pill, 止痛丸
case study,"n. 个案研究；专题研究；案例研究
 案例分析；个案研究法；案例学习"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
over-the-counter medicine, 非处方药；成药；既成药
over-the-counter drug, 非处方药；处方在杂货店就可买到；不需医生处方的药品
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
reaction,n. 反应，感应；反动，复古；反作用
upper,adj. 上面的，上部的；较高的
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
appetite,n. 食欲；嗜好
nicotine,n.  尼古丁； 烟碱
caffeine,n.  咖啡因；茶精（兴奋剂）
cocoa,n. 可可粉；可可豆；可可饮料；深褐色
downer,n. 镇定剂；令人沮丧的人
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
heroin,n.  海洛因，吗啡
downward,"adj. 向下的，下降的
adv. 向下"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
LSD,abbr. 大屏显示（Large Screen Display）；激光信号装置（Laser Signal Device）；最小显著差别（Least Significant Difference）；最低有效位（Least Significant Digit）；麦角酸二乙基酰胺（一种麻醉药，lysergic acid diethylamide）
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
over again,"na. 再来一次
 再一次；重头开始；再一遍"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
abuser,n. 滥用者；施虐者
cybercrime,n. 网络犯罪
theoretical,adj. 理论的；理论上的；假设的；推理的
involve,vt. 包含；牵涉；使陷于；潜心于
download,vt.  下载
delete,vt. 删除
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
hatred,n. 憎恨；怨恨；敌意
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
property,n. 性质，性能；财产；所有权
assess,vt. 评定；估价；对…征税
cheque,n. 支票
bank account,"n. 银行账户
 银行帐户；银行账号；银行帐号"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
database,n. 数据库，资料库
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
confidential,adj. 机密的；表示信任的；获信任的
