abandon,"n. 放任；狂热
vt. 遗弃；放弃"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
proxy,n. 代理人；委托书；代用品
public relations,"n. 公共关系；公关工作（或活动）
 公共关系学；公共关系专业；公共关系管理"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
quota,n. 配额；定额；限额
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radiologist,n. 放射线研究者
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
ratification,n. 批准；承认，认可
rationalize,"vt. 使……合理化；使……有理化；为……找借口
vi. 实行合理化；作辩解；合理地思考"
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
receivable,"n. 应收帐款
adj. 可接受的；可信的"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recuperate,"vi. 恢复，复原；挽回损失
vt. 恢复，使恢复健康"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
referendum,n. 公民投票权；外交官请示书
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
refute,vt. 反驳，驳斥；驳倒
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
reimbursement,n. 退还，偿还；赔偿
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
reluctant,adj. 不情愿的；勉强的；顽抗的
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
remind,vt. 提醒；使想起
remuneration,n. 报酬；酬劳，赔偿
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
renovation,n. 革新；修理；恢复活力
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
repressive,adj. 镇压的；压抑的；抑制的
reputation,n. 名声，名誉；声望
rescind,vi. 解除；废除；撤回
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resource,n. 资源，财力；办法；智谋
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restriction,n. 限制；约束；束缚
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
resuscitate,"vt. 使复苏；使复兴
vi. 恢复；复兴"
retainer,n. 保持器；家臣；保持者； 护圈；预付费用
retaliation,n. 报复；反击；回敬
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
revenue,n. 税收，国家的收入；收益
revile,"vt. 辱骂；斥责
vi. 辱骂；谩骂"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
satellite,n. 卫星；人造卫星；随从；卫星国家
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
sexism,n. （针对女性的）性别歧视；男性至上主义
shareholder,n. 股东；股票持有人
shipment,n. 装货；装载的货物
showdown,n. 摊牌；紧要关头；最后一决胜负
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
sidekick,n. 伙伴，老朋友；插袋
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skillful,adj. 熟练的；巧妙的
skull,n. 头盖骨，脑壳
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
smolder,"n. 阴燃；闷烧
vi. 闷烧；郁积"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
software,n. 软件
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
source,n. 来源；水源；原始资料
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
species,"n.  物种；种类
adj. 物种上的"
spectacular,adj. 壮观的，惊人的；公开展示的
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sprain,"n. 扭伤
vt. 扭伤"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
stampede,"n. 惊跑；人群的蜂拥；军队溃败
vt. 使…惊逃；抢占
vi. 蜂拥；逃窜"
status,n. 地位；状态；情形；重要身份
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
string,n. 线，弦，细绳；一串，一行
stultifying,"adj. 极其单调乏味的；使人变迟钝的
v. 使迟钝；使无效（stultify的ing形式）"
subcontractor,n. 转包商，分包者
subpoena,"n. 传票
vt. 传唤，传审；传讯"
subsidence,n. 下沉；沉淀；陷没
subsidy,n. 补贴；津贴；补助金
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
suppress,vt. 抑制；镇压；废止
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
surgeon,n. 外科医生
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
surroundings,n. 环境；周围的事物
survival,n. 幸存，残存；幸存者，残存物
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
sympathize,vi. 同情，怜悯；支持
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
tarry,"n. 逗留
adj. 涂了焦油的
vt. 等待
vi. 等候；逗留；耽搁"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
telecommunication,n. 电讯； 远程通信；无线电通讯
temperance,"n. 戒酒；节欲；（气候等的）温和
adj. 温暖的；有节制的"
tendentious,adj. 有偏见的，有倾向的；宣传性的
testify,"vi. 作证；证明
vt. 证明，证实；作证"
theory,n. 理论；原理；学说；推测
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
tolerant,adj. 宽容的；容忍的；有耐药力的
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
totalitarian,"n. 极权主义者
adj. 极权主义的"
towering debt,
trade balance,"un. 贸易差额；贸易平衡；贸易吨位；外留收支
 贸易收支；贸易余额；参见贸易余额"
trade press,= trade magazine
trademark,"n. 商标
标志"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
treatment,n. 治疗，疗法；处理；对待
tremulous,adj. 胆小的；战栗的；震颤的
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
truculent,adj. 好斗的；野蛮的；言词刻毒的
trump,"n. 王牌；法宝；喇叭
vt. 胜过；打出王牌赢
vi. 出王牌；吹喇叭"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
turbine,n.  涡轮； 涡轮机
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
ulcer,n.  溃疡；腐烂物；道德败坏
unanimous,adj. 全体一致的；意见一致的；无异议的
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
understatement,n. 保守的陈述；不充分的陈述；有保留的陈述
undulate,"adj. 波动的；起伏的；波浪形的
vt. 波动；使波动；使起伏；使成波浪形
vi. 起伏，波动；震动；呈波浪形"
unemployment,n. 失业；失业率；失业人数
union,n. 联盟，协会；工会；联合
unprecedented,adj. 空前的；无前例的
upbraid,vt. 责骂；训斥
upper class,"n. 上流社会；上等阶层
adj. 上层阶级(特有)的
 上层社会；高产阶级；上等阶级"
urban renewal,"na. 城市环境更新
 都市更新；城市更新；市区重建"
utopia,
vaccination,n. 接种疫苗；种痘
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vehemently,adv. 激烈地；暴烈地；竭尽全力地
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
victim,n. 受害人；牺牲品；牺牲者
vilify,vt. 诽谤；中伤；轻视；贬低
violate,vt. 违反；侵犯，妨碍；亵渎
virus,n.  病毒；恶毒；毒害
vivacious,adj. 活泼的；快活的；有生气的
voltage,n.  电压
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
walkout,"n. （美）罢工；退出会场；谈恋爱
adj. 有出口的"
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wind tunnel,"n. （试验飞机等用的）风洞
 风洞装置；隧道式风洞；风洞测试"
workforce,n. 劳动力；工人总数，职工总数
worldly,"adj. 世俗的；世间的；尘世的
adv. 世俗地；世故地"
zealous,adj. 热心的，热情的，积极的
