source,n. 来源；水源；原始资料
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
confined to, 限于；局限在；局限在性里
limited to,vt.限于
relentless,adj. 无情的；残酷的；不间断的
unceasing,adj. 不断的；不停的
diffusion,n. 扩散，传播； 漫射
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
autonomic,adj. 自律的；自治的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
obligate,"vt. 使负义务；强使，强迫；对…施以恩惠
adj. 有责任的，有义务的；必需的"
require,vt. 需要；要求；命令
aggregation,n.  聚合，聚集；聚集体，集合体
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
designation,n. 指定；名称；指示；选派
identification,n. 鉴定，识别；认同；身份证明
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
coalesced,合并（coalesce的过去式和过去分词）
joined,v. 加入；参加（join的过去式，过去分词）； 连接
chaotic,adj. 混沌的；混乱的，无秩序的
disorganized,adj. 紊乱的；无组织的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
continual,adj. 持续不断的；频繁的
defining,"v. 规定（define的ing形式）；给…下定义；表明特征
adj. 最典型的；起决定性作用的"
identifying,"n. 识别，标识；标识关系
v. 识别（identify的现在分词）"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
accumulate,"vt. 积攒
vi. 累积；积聚"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
attest to, 证实；证明；证实某事
provide evidence of,
be deficient in,缺乏，欠缺…，在…方面有所不足
not have enough, 不够
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
indicate,vt. 表明；指出；预示；象征
ties,"n. 结
v. 绑；连结"
connection,n. 连接；关系；人脉；连接件
frigid,adj. 寒冷的，严寒的；冷淡的
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
detect,vt. 察觉；发现；探测
discovered,v. 发现，找到（discover的过去形式）
extensive,adj. 广泛的；大量的；广阔的
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
explain,v. 说明；解释
feasible,adj. 可行的；可能的；可实行的
practical,adj. 实际的；实用性的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
advocated,"vt. 提倡，主张，拥护
n. 提倡者；支持者；律师"
promoted,"n. 升迁
v. 促进（promote的过去式）；提升
adj. 晋升的"
fostered,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
encourage,vt. 鼓励，怂恿；激励；支持
elevated,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
raised,"v. 提高（raise的过去时和过去分词）；举起；抚育，抚养
adj. 凸起的；发酵的；浮雕的"
regime,n. 政权，政体；社会制度；管理体制
government,n. 政府；政体；管辖
a surge of,"un. 缆绳滑脱；松缆；浪涌；湍振
 高涨的"
a sudden increase in,
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
resulting,"v. 致使（result的ing形式）；产生
adj. 作为结果的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
simultaneously,adv. 同时地
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
typical,adj. 典型的；特有的；象征性的
alternation,n. 交替，轮流，间隔
modification,n. 修改，修正；改变
incited,v. 刺激，激励，煽动( incite的过去式和过去分词 )
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
considerable,adj. 相当大的；重要的，值得考虑的
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
exceed,"vt. 超过；胜过
vi. 超过其他"
pertinent,adj. 相关的，相干的；中肯的；切题的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
subdue,vt. 征服；抑制；减轻
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
coincide with,"v. 与…一致
 与……相符；不谋而合；符合"
occur at the same time,
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
provide a rational basis for,
hierarchical,adj. 分层的；等级体系的
having several levels of authority,
speculate,"vi. 推测；投机；思索
vt. 推断"
puts forward as a possibility,
tremendous,adj. 极大的，巨大的；惊人的；极好的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
put into effect,"na. 实行
 生效；实施；使生效"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
short in supply,
distinction,n. 区别；差别；特性；荣誉、勋章
different,adj. 不同的；个别的，与众不同的
vitality,n. 活力，生气；生命力，生动性
energy,n.  能量；精力；活力；精神
suspended,adj. 悬浮的；暂停的，缓期的（宣判）
floating,"adj. 流动的；漂浮的，浮动的
v. 漂浮（float的现在分词）"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
specified,"v. 指定；详细说明（specify的过去分词）
adj. 规定的；详细说明的"
typical,adj. 典型的；特有的；象征性的
focused,"v.  聚焦；注视（focus的过去分词）
adj. 聚焦的；专心的"
concentrated,"v. 集中（concentrate的过去分词）
adj. 集中的；浓缩的；全神贯注的"
imminent,adj. 即将来临的；迫近的
about to happen,
refinement,n. 精制；文雅； 提纯
improvement,n. 改进，改善；提高
suitable,adj. 适当的；相配的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
impressive but difficult to achieve,
take precedence over,"na. 优于
 优先于；比……重要；优先於"
have greater importance than,
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
generally accepted,"adj. 公认
 普遍承认的；普遍接受；一般公认"
incredible,adj. 难以置信的，惊人的
impossible to believe,
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
excess quantity,过剩量
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
embody,vt. 体现，使具体化；具体表达
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
remnant,"n. 剩余
adj. 剩余的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
exotic,adj. 异国的；外来的；异国情调的
foreign,adj. 外国的；外交的；异质的；不相关的
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
determinant,"n. 决定因素； 行列式
adj. 决定性的"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
hastened,"加速
赶快"
rushed,"v. 急忙（rush的过去式）；匆促
adj. 匆忙的；贸然的"
perfected,v. 使…完美，使…熟练（perfect的过去形式）
completed,"v. 完成（complete的过去分词）
adj. 完整的；完全的"
recognized,"v. 认识；意识到（recognize的过去分词）
adj. 公认的；经过验证的"
accepted,"v. 接受（accept的过去式及过去分词）
adj. 公认的；录取的；可接受的；已承兑的"
elevated,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
scattered,adj. 分散的；散乱的
spread apart,舒展开
presumably,adv. 大概；推测起来；可假定
probably,adv. 大概；或许；很可能
stimulated,"v. 刺激（stimulate的过去式和过去分词）
adj. 受激的"
encouraged,v. 鼓励( encourage的过去式和过去分词 )；支持；促进；鼓动
lucrative,adj. 有利可图的，赚钱的；合算的
profitable,adj. 有利可图的；赚钱的；有益的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
fluctuation,n. 起伏，波动
variations,n. 变奏曲，变更； 变种（variation的复数形式）
maintained,"adj. 被保持的
v. 维护，维修；维持（maintain的过去分词）"
claimed,v. 声称；宣称；断言（claim的过去式）
merely,adv. 仅仅，只不过；只是
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
needless to say,"na. 不用说
 不必说；更不用说；不待说"
obviously,"adv. 明显地
显然地"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
sticky,adj. 粘的；粘性的
ensure,vt. 保证，确保；使安全
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
inevitably,adv. 不可避免地；必然地
necessarily,adv. 必要地；必定地，必然地
intact,adj. 完整的；原封不动的；未受损伤的
whole,"n. 整体；全部
adj. 完整的；纯粹的"
substantially,adv. 实质上；大体上；充分地
significantly,adv. 显著地；相当数量地
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
participated,v. 参与；分享（participate的过去式）
exploitation,n. 开发，开采；利用；广告推销；剥削
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
enhanced,"v. 提高；加强（enhance的过去分词）
adj. 加强的；增大的"
improved,"v. 改进；增加（improve的过去式和过去分词）；变得更好
adj. 改良的；改进过的"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
unique to, 特有的；独一无二的；对…独一无二的
exert,vt. 运用，发挥；施以影响
put forth,"na.  a feeler (用言语或动作)探听别人的反应
 提出；发表；努"
apparently,adv. 显然地；似乎，表面上
seemingly,adv. 看来似乎；表面上看来
virtually,adv. 事实上，几乎；实质上
nearly,adv. 差不多，几乎；密切地
in retrospect, 回顾；回顾过去；回想起来
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
eventually,adv. 最后，终于
in the end,"na. 终于
 最后；最终；结果到头来"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
upon reflection,"na. 仔细想；对…不利；中伤
 深思熟虑；反射之上；再考虑后"
after consideration,
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
unfavorable,adj. 不宜的；令人不快的；不顺利的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
engage in,"na. 从事；参加
 参与；从事于；忙于"
comparable,adj. 可比较的；比得上的
similar,"n. 类似物
adj. 相似的"
expelled from,
left by,
explicit,adj. 明确的；清楚的；直率的；详述的
clearly expressed,
imply,vt. 意味；暗示；隐含
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
comparable,adj. 可比较的；比得上的
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
fully,adv. 充分地；完全地；彻底地
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
sequences,n.  序列，顺序；继起的事（sequence的复数形式）
series,n. 系列，连续； 串联；级数；丛书
converted,"v. 转变；改变信仰（convert的过去式和过去分词形式）
adj. 修改的；改变信仰的"
changed,"v. 改变（change的过去式和过去分词）
adj. 改变的；变化的"
approximating,v. 近似，接近( approximate的现在分词 ); 近似计算，概略估算
estimating,"n. 估算；评估；预算能力
v. 估计（estimate的ing形式）"
steadily,adv. 稳定地；稳固地；有规则地
at an unvarying rate,
concentration,n. 浓度；集中；浓缩；专心；集合
dense grouping,
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
occasionally,adv. 偶尔；间或
sometimes,adv. 有时，间或
akin to,"adj. 与…类似
 相似的；有亲密关系的；类似于"
similar to,"v. 与…类似
 相似；与……相似；与……类似"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
elementary,adj. 基本的；初级的； 元素的
routinely,adv. 例行公事地；老一套地
regularly,adv. 定期地；有规律地；整齐地；匀称地
distinctive,adj. 有特色的，与众不同的
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
thereby,adv. 从而，因此；在那附近；在那方面
consequently,adv. 因此；结果；所以
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
inventiveness,n. 创造性；发明的才能
emergence,n. 出现，浮现；发生；露头
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
generally,adv. 通常；普遍地，一般地
usually,adv. 通常，经常
unpromising,adj. 无前途的，没有希望的
unfavorable,adj. 不宜的；令人不快的；不顺利的
a wealth of, 大量的；丰富的；很多的
an abundance of,"un. 许许多多的
 大量的；丰富的；充裕的"
scarcity of,
lacking in, 缺乏；缺少
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
continuing,adj. 继续的；持续的；连续的
correspond to,"v. 符合
 相当于；相应；对应"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
complexity,n. 复杂，复杂性；复杂错综的事物
sophistication,n. 复杂；诡辩；老于世故；有教养
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
make possible,"v. 成为可能
 使……成为可能；使……变成可能；使其成为可能"
distortions,n.  畸变， 扭曲（distortion的复数）
irregularities,n. 不规则行为
temporarily,adv. 临时地，临时
briefly,adv. 短暂地；简略地；暂时地
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
unusual,adj. 不寻常的；与众不同的；不平常的
cumulative,adj. 累积的
combined,"v. 使结合；联合（combine的过去分词）
adj. 结合的； 组合的"
apparent,adj. 显然的；表面上的
noticeable,adj. 显而易见的，显著的；值得注意的
corresponded to,
equaled,v. 比得上( equal的过去式和过去分词 ); （质量等方面）赶得上; 与…相等或相同; 使（某物）等于
norm,n. 标准，规范
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
adjacent,adj. 邻近的，毗连的
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
prolific,adj. 多产的；丰富的
highly productive,
at intervals,"na. 时时；处处；偶尔
 不时；每隔一会儿；每隔一段时间"
periodically,adv. 定期地；周期性地；偶尔；间歇
episode,n. 插曲；一段情节；插话；有趣的事件
occurrence,n. 发生；出现；事件；发现
proponent,n. 支持者；建议者；提出认证遗嘱者
supporter,n. 支持者；拥护者
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
annihilated,"adj. 废止的
v. 废止（annihilate的过去分词）"
destroyed,"v. 破坏（destroy的过去分词）
adj. 被毁，毁坏；遭破坏的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
ambiguous,adj. 模糊不清的；引起歧义的
unclear,adj. 不清楚的；不易了解的
convey,vt. 传达；运输；让与
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
derive,"vt. 源于；得自；获得
vi. 起源"
obtain,"vi. 获得；流行
vt. 获得"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
add to,"na. 增加
 增添；增进；添加"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
spectacular,adj. 壮观的，惊人的；公开展示的
remarkable,adj. 卓越的；非凡的；值得注意的
slightly,adv. 些微地，轻微地；纤细地
by very small amounts,
skepticism,n. 怀疑论；怀疑的态度
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
irritating,"adj. 刺激的；气人的；使愤怒的
v. 刺激（irritate的ing形式）；激怒"
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
renewed,"v. 更新；恢复（renew的过去分词）
adj. 更新的；复兴的；重建的"
restored,"v. 修复（restore的过去式）；恢复健康
adj. 精力充沛的；精力恢复的"
presumably,adv. 大概；推测起来；可假定
most likely,"adj. 适当的；有希望的；很可能的；很像真事的
adv. 大概
 最可能；很有可能；保不住"
inviting,"v. 邀请（invite的ing形式）
adj. 诱人的；有魅力的"
encouraging,"v. 鼓励，支持（encourage的ing形式）
adj. 令人鼓舞的；鼓励的，奖励的"
persistent,adj. 固执的，坚持的；持久稳固的
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
conflicting,"adj. 冲突的；相矛盾的；不一致的
v. 冲突；争执（conflict的ing形式）"
manifestation,n. 表现；显示；示威运动
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
exclusively,adv. 唯一地；专有地；排外地
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
breakthrough,n. 突破；突破性进展
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
sudden increase,
combination,n. 结合；组合；联合； 化合
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
intermittent,adj. 间歇的；断断续续的；间歇性
start and stop often,
relative to,"adj. 有关
 相对于；与…有关；相对於"
compared to,"un. 比拟
 与……相比；和……相比较；比作"
criteria,n. 标准，条件（criterion的复数）
standards,n.  标准；规格（standard的复数）
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
amass,vt. 积聚，积累
accumulate,"vt. 积攒
vi. 累积；积聚"
retain,vt. 保持；雇；记住
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
expose,vt. 揭露，揭发；使曝光；显示
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
indefinite,adj. 不确定的；无限的；模糊的
unlimited,adj. 无限制的；无限量的；无条件的
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
decoration,n. 装饰，装潢；装饰品；奖章
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
the high point, 悬高点
deliberately,adv. 故意地；谨慎地；慎重地
intentionally,adv. 故意地，有意地
aggregation,n.  聚合，聚集；聚集体，集合体
accumulation,n. 积聚，累积；堆积物
stamina,n. 毅力；精力；活力；持久力
endurance,n. 忍耐力；忍耐；持久；耐久
presumably,adv. 大概；推测起来；可假定
supposedly,adv. 可能；按照推测；恐怕
magnitude,n. 大小；量级； 震级；重要；光度
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
confirm,vt. 确认；确定；证实；批准；使巩固
prove,"vi. 证明是
vt. 证明；检验；显示"
authority,n. 权威；权力；当局
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
separated,"v. 分开；隔开（separate的过去式和过去分词）
adj. 分开的；分居；不在一起生活的"
heavily,adv. 沉重地；猛烈地；沉闷地
intensively,adv. 强烈地；集中地
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
investigate,v. 调查；研究
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
unchanging,adj. 不变的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
limit,"n. 限制；限度；界线
vt. 限制；限定"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
cleverness,n. 聪明；机灵
typical of, 是典型的；特有的；是……的典型特征
common in,
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
detect,vt. 察觉；发现；探测
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
persuasively,adv. 令人信服地；口才好地
convincingly,adv. 令人信服地；有说服力地
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
hard to identify,
maintenance of,
supporting,"n. 支持；支承面
v. 支持；供养（support的ing形式）
adj. 支持的；辅助性的；次要的"
launched,v. 启动； 发射；开始（launch的过去式，过去分词）；下水
started,"出发
起动"
methodically,adv. 有方法地；有系统地
systematically,adv. 有系统地；有组织地
accelerated,"v. 加速；促进（accelerate的变形）
adj. 加速的；加快的"
speeded up,"na. 加快(机器等的)速度；使加紧做
 加速"
perfected,v. 使…完美，使…熟练（perfect的过去形式）
improved,"v. 改进；增加（improve的过去式和过去分词）；变得更好
adj. 改良的；改进过的"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
be too large for,
relatively,adv. 相当地；相对地，比较地
comparatively,adv. 比较地；相当地
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
discrepancy,n. 不符；矛盾；相差
inconsistency,n. 不一致；易变
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
considerably,adv. 相当地；非常地
significantly,adv. 显著地；相当数量地
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
noteworthy,adj. 值得注意的；显著的
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
initially,adv. 最初，首先；开头
at first,"na. 首先
 起先；最初；起初"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
huge,adj. 巨大的；庞大的；无限的
sufficient,adj. 足够的；充分的
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
flourished,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vt. 夸耀；挥舞
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期"
prospered,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
draw to,"na. 快
 接近；逼近；开具给"
