abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualitative,adj. 定性的；质的，性质上的
quantitative,adj. 定量的；量的，数量的
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
renaissance,n. 文艺复兴（欧洲14至17世纪）
renovation,n. 革新；修理；恢复活力
replenish,vt. 补充，再装满；把…装满；给…添加燃料
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
representation,n. 代表；表现；表示法；陈述
repression,n. 抑制， 压抑；镇压
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
reservoir,n. 水库；蓄水池
residue,n. 残渣；剩余；滤渣
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
solidarity,n. 团结，团结一致
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
sonata,n. 奏鸣曲
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
spacious,adj. 宽敞的，广阔的；无边无际的
sparse,adj. 稀疏的；稀少的
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
spectrum,n. 光谱；频谱；范围；余象
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
sporadic,adj. 零星的；分散的；不定时发生的
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
stellar,adj. 星的；星球的；主要的；一流的
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
structural,adj. 结构的；建筑的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
subdue,vt. 征服；抑制；减轻
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
subordination,n. 从属；附属；主从关系
substantiate,vt. 证实；使实体化
succession,n. 连续；继位；继承权； 演替
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
superstructure,n. 上层建筑；上部构造
synchronise,"vt. 使同步；使同时发生（等于synchronize）
vi. 同步；同时发生"
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
tacit,adj. 缄默的；不言而喻的；心照不宣的；默许的
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
trait,n. 特性，特点；品质；少许
traitor,n. 叛徒；卖国贼；背信弃义的人
tranquil,adj. 安静的，平静的；安宁的；稳定的
transcript,n. 成绩单；抄本，副本；文字记录
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transmission,n. 传动装置， 变速器；传递；传送；播送
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
unreliable,adj. 不可靠的；靠不住的
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
uproar,n. 骚动；喧嚣
venerate,vt. 崇敬，尊敬
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
warden,n. 区长；看守人；典狱官；学监
warranty,n. 保证；担保；授权；（正当）理由
warrior,n. 战士，勇士；鼓吹战争的人
abnormal,adj. 反常的，不规则的；变态的
abolish,vt. 废除，废止；取消，革除
allot,vt. 分配；拨给；分派
apparatus,n. 装置，设备；仪器；器官
apparel,"n. 服装；衣服
vt. 给…穿衣"
appliance,n. 器具；器械；装置
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arboreal,adj. 树木的；栖息在树上的
ardent,adj. 热情的；热心的；激烈的；燃烧般的
arduous,adj. 努力的；费力的；险峻的
arid,adj. 干旱的；不毛的， 荒芜的
aristocrat,n. 贵族
arithmetic,n. 算术，算法
arrogant,adj. 自大的，傲慢的
arsenal,n. 兵工厂；军械库
artery,n. 动脉；干道；主流
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
brittle,adj. 易碎的，脆弱的；易生气的
brochure,n. 手册，小册子
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
brood,"n. 一窝；一伙
vt. 孵；沉思"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
casualty,n. 意外事故；伤亡人员；急诊室
composition,n. 作文，作曲，作品； 构成；合成物；成分
confusion,n. 混淆，混乱；困惑
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
contaminate,vt. 污染，弄脏
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
controversial,adj. 有争议的；有争论的
controversy,n. 争论；论战；辩论
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
conversely,adv. 相反地
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
corpus,n.  语料库；文集；本金
correlation,n.  相关，关联；相互关系
corridor,走廊
cosmic,adj. 宇宙的（等于cosmical）
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
deprivation,n. 剥夺；损失；免职；匮乏；贫困
disappoint,vt. 使失望
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
disdain,"n. 蔑视
vt. 鄙弃"
disfigure,vt. 使变丑；损毁…的外形；使大为减色
disillusion,"n. 幻灭；醒悟
vt. 使醒悟；使不再抱幻想"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
diversify,vt. 使多样化，使变化；增加产品种类以扩大
dividend,n. 红利；股息； 被除数；奖金
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
dogma,n. 教条，教理；武断的意见
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
erroneous,adj. 错误的；不正确的
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
evergreen,"n. 常绿树；常绿植物
adj.  常绿的；永葆青春的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
fervent,adj. 热心的；强烈的；炽热的；热烈的
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
fraud,n. 欺骗；骗子；诡计
fraught,adj. 担心的，忧虑的；充满…的
freak,"n. 怪人，怪事；畸形人；反复无常
adj. 奇异的，反常的"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
glacier,n. 冰河，冰川
glamorous,adj. 迷人的，富有魅力的
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
hub,n. 中心；毂；木片
incisive,adj. 深刻的；敏锐的；锋利的
increment,n.  增量；增加；增额；盈余
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
indecent,adj. 下流的；不礼貌的；不得体的
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
intact,adj. 完整的；原封不动的；未受损伤的
intangible,adj. 无形的，触摸不到的；难以理解的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intersection,n. 交叉；十字路口；交集；交叉点
intimidate,vt. 恐吓，威胁；胁迫
longitude,n.  经度；经线
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
lorry,n. （英）卡车； 货车；运料车
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
manifestation,n. 表现；显示；示威运动
mirage,n. 海市蜃楼；幻想，妄想
miserable,adj. 悲惨的；痛苦的；卑鄙的
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
module,n.  模块；组件；模数
molecule,n.  分子；微小颗粒，微粒
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
momentous,adj. 重要的；重大的
monarchy,n. 君主政体；君主国；君主政治
odyssey,
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
onset,n. 开始，着手；发作；攻击，进攻
opt,vi. 选择
optical,adj. 光学的；眼睛的，视觉的
opulence,n. 富裕；丰富
paltry,adj. 不足取的；无价值的；琐碎的；卑鄙的
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
pastoral,"n. 牧歌；田园诗；田园景色
adj. 牧师的；牧人的；田园生活的；乡村的"
pastry,n. 油酥点心；面粉糕饼
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
postage,n. 邮资，邮费
pottery,n. 陶器；陶器厂；陶器制造术
poultry,"n. 家禽
家禽肉"
precarious,adj. 危险的；不确定的
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
preclude,vt. 排除；妨碍；阻止
predator,n.  捕食者； 食肉动物；掠夺者
prowess,n. 英勇；超凡技术；勇猛
prowl,"n. 徘徊，潜行；悄悄踱步
vt. 在…搜寻；潜行于
vi. 徘徊，潜行"
prudence,n. 审慎
puddle,"n. 水坑，泥潭；胶土（由粘土与水和成，不透水）
vt. 使泥泞，搅浑；把…捣制成胶土；搅炼；用胶土填塞
vi. 搅泥浆；在水坑中嬉戏"
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
reliance,n. 信赖；信心；受信赖的人或物
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
relinquish,vt. 放弃；放手；让渡
repatriate,"n. 被遣返回国者
v. 遣返"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
repent,"adj.  匍匐生根的； 爬行的
vi. 后悔；忏悔
vt. 后悔；对…感到后悔"
repetition,n. 重复；背诵；副本
reproductive,adj. 生殖的；再生的；复制的
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
respiration,n. 呼吸；呼吸作用
responsive,adj. 响应的；应答的；回答的
resurrection,n. 复活；恢复；复兴
retaliation,n. 报复；反击；回敬
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
saga,n. 传说；冒险故事；英雄事迹
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sanitation,n.  环境卫生；卫生设备；下水道设施
sarcasm,n. 讽刺；挖苦；嘲笑
seclusion,n. 隔离；隐退；隐蔽的地方
semblance,n. 外貌；假装；类似
sensation,n. 感觉；轰动；感动
sensory,adj. 感觉的；知觉的；传递感觉的
shameful,adj. 可耻的；不体面的；不道德的；猥亵的
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stamina,n. 毅力；精力；活力；持久力
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stationery,n. 文具；信纸
steadfast,adj. 坚定的；不变的
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
sticky,adj. 粘的；粘性的
stigma,n.  柱头；耻辱；污名；烙印；特征
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tamper,"n. 填塞者；捣棒
vi. 篡改；干预；损害；削弱；玩弄；贿赂
vt. 篡改"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
treason,n.  叛国罪；不忠
treble,"n. 三倍；最高声部
adj. 三倍的；最高声部的；三层的；三重的
vt. 使成三倍
vi. 变成三倍"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
uncompromising,adj. 不妥协的，不让步的；坚定的
unconvincing,adj. 不足以令人相信的（名词unconvincingness，副词unconvincingly）
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
vigilance,n. 警戒，警觉；警醒症
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
wayward,adj. 任性的；不规则的；刚愎的
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
abdomen,n. 腹部；下腹；腹腔
abominable,adj. 讨厌的；令人憎恶的；糟透的
absenteeism,n. 旷工；旷课；有计划的怠工；经常无故缺席
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
anticipation,n. 希望；预感；先发制人；预支
arthritis,n.  关节炎
artillery,n. 火炮；大炮；炮队；炮术
aspiration,n. 渴望；抱负；送气；吸气；吸引术
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
assassinate,vt. 暗杀；行刺
assemblage,n. 装配；集合；聚集；集会；集合物；聚集的物或人
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
astound,vt. 使惊骇；使震惊
astute,adj. 机敏的；狡猾的，诡计多端的
asylum,n. 庇护；收容所，救济院
asymmetrical,adj.  非对称的（等于asymmetric）；不均匀的；不匀称的
atrocious,adj. 凶恶的，残暴的
auction,"n. 拍卖
vt. 拍卖；竞卖"
audacious,adj. 无畏的；鲁莽的
audible,"adj. 听得见的
听得见地"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
auger,"n.  螺旋钻； 木螺钻；地螺钻
vt. 用钻子钻洞于"
aurora,n.  极光；曙光
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
brilliance,n. 光辉；才华；宏伟
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
cavity,n. 腔；洞，凹处
celebrity,n. 名人；名声
censorship,n. 审查制度；审查机构
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
commotion,n. 骚动；暴乱
counteract,vt. 抵消；中和；阻碍
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
counterpart,n. 副本；配对物；极相似的人或物
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
courier,n. 导游；情报员，通讯员；送快信的人
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
courtship,n. 求爱；求婚；求爱期
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
credibility,n. 可信性；确实性
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
cruiser,n. 巡洋舰；巡航飞机，警察巡逻车
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
denial,n. 否认；拒绝；节制；背弃
denote,vt. 表示，指示
doleful,adj. 寂寞的；悲哀的；阴沉的；忧郁的
dolphin,n. 海豚
domain,n. 领域；域名；产业；地产
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
doomed,"adj. 注定的；命定的
v. 注定；宣判（doom的过去分词）"
elite,n. 精英；精华；中坚分子
encore,"n. 再演唱的要求；经要求而再唱
vt. 要求再演或唱
int. 再来一个"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
exemplify,vt. 例证；例示
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
exotic,adj. 异国的；外来的；异国情调的
explicit,adj. 明确的；清楚的；直率的；详述的
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
friction,n. 摩擦， 摩擦力
frigid,adj. 寒冷的，严寒的；冷淡的
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
fulfilment,n. 实现；成就
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
gully,"n. 冲沟；水沟
vt. 在…上开沟
vi. 形成沟"
guru,n. 古鲁（指印度教等宗教的宗师或领袖）；领袖；专家
gush,"n. 涌出；迸发
v. 涌出；迸出"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
hydrogen,n.  氢
hygiene,n. 卫生；卫生学；保健法
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
inappropriate,adj. 不适当的；不相称的
incessant,adj. 不断的；不停的；连续的
incipient,adj. 初期的；初始的；起初的；发端的
intrepid,adj. 无畏的；勇敢的；勇猛的
intricate,adj. 复杂的；错综的，缠结的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intrinsic,adj. 本质的，固有的
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
laborious,adj. 勤劳的；艰苦的；费劲的
labyrinth,n. 迷宫； 迷路；难解的事物
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lotus,n. 莲花（汽车品牌）
lucrative,adj. 有利可图的，赚钱的；合算的
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
lullaby,"n. 摇篮曲；催眠曲
vt. 唱摇篮曲使入睡"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
monologue,n. 独白
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
morale,n. 士气，斗志
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
motto,n. 座右铭，格言；箴言
mourning,"n. 哀痛；服丧
v. 哀伤；为…哀悼（mourn的ing形式）"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
occurrence,n. 发生；出现；事件；发现
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
ore,n. 矿；矿石
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
pavilion,"n. 阁；亭子；大帐篷；展示馆
vt. 搭帐篷；置…于亭中；笼罩"
pawn,"n. 典当；抵押物；兵，卒；人质
vt. 当掉；以……担保"
perceptible,adj. 可察觉的；可感知的；看得见的
perimeter,n. 周长；周界； 视野计
prediction,n. 预报；预言
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
preeminent,adj. 卓越的；超群的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
prerequisite,"n. 先决条件
adj. 首要必备的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
presumably,adv. 大概；推测起来；可假定
pretentious,adj. 自命不凡的；炫耀的；做作的
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
probation,n. 试用；缓刑；查验
procure,"vt. 获得，取得；导致
vi. 取得"
proficiency,n. 精通，熟练
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
prone,adj. 俯卧的；有…倾向的，易于…的
propaganda,n. 宣传；传道总会
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
quay,n. 码头
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
