able,adj. 能； 有能力的；能干的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
week,n. 周，星期
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
window,n. 窗；窗口；窗户
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
with,prep. 用；随着；支持；和…在一起
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
worth,"n. 价值；财产
adj. 值…的"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
well-known,adj. 著名的；众所周知的；清楚明白的
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
wheat,n. 小麦；小麦色
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
world,n. 世界；领域；世俗；全人类；物质生活
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
wooden,adj. 木制的；僵硬的，呆板的
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
zone,  地带、地区（德语）
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
abundant,adj. 丰富的；充裕的；盛产
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
acknowledge,vt. 承认；答谢；报偿；告知已收到
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
attention,n. 注意力；关心；立正！（口令）
award,"n. 奖品；判决
vt. 授予；判定"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
behalf,n. 代表；利益
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
confirm,vt. 确认；确定；证实；批准；使巩固
confuse,vt. 使混乱；使困惑
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
compensation,n. 补偿；报酬；赔偿金
congratulation,n. 祝贺；贺辞
consist,vi. 由…组成；在于；符合
consultant,n. 顾问；咨询者；会诊医生
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decade,n. 十年，十年期；十
economic,adj. 经济的，经济上的；经济学的
enhance,vt. 提高；加强；增加
ensure,vt. 保证，确保；使安全
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
forbidden,adj. 被禁止的；严禁的，禁用的
frequently,adv. 频繁地，经常地；时常，屡次
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
generation,n. 一代；产生；一代人；生殖
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
honest,adj. 诚实的，实在的；可靠的；坦率的
horrible,adj. 可怕的；极讨厌的
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
industry,n. 产业；工业；勤勉
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
limit,"n. 限制；限度；界线
vt. 限制；限定"
location,n. 位置（形容词locational）；地点；外景拍摄场地
logical,adj. 合逻辑的，合理的；逻辑学的
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
maintain,vt. 维持；继续；维修；主张；供养
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
news,n. 新闻，消息；新闻报导
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
occupy,vt. 占据，占领；居住；使忙碌
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
recently,adv. 最近；新近
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
request,"n. 请求；需要
vt. 要求，请求"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
thief,n. 小偷，贼
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
undertake,vt. 承担，保证；从事；同意；试图
utilize,vt. 利用
union,n. 联盟，协会；工会；联合
valid,adj. 有效的；有根据的；合法的；正当的
violent,adj. 暴力的；猛烈的
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
