have,"aux. 已经
vt. 有；让；拿；从事；允许"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
or,conj. 或，或者；还是
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
unless,"conj. 除非，如果不
prep. 除…之外"
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
because,conj. 因为
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
from,prep. 来自，从；由于；今后
upon,prep. 根据；接近；在…之上
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
with,prep. 用；随着；支持；和…在一起
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
across,"prep. 穿过；横穿
adv. 横过；在对面"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
of,prep. 关于；属于；…的；由…组成的
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
during,prep. 在…的时候，在…的期间
beside,prep. 在旁边；与…相比；和…无关
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
among,prep. 在…中间；在…之中
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
never,adv. 从未；决不
aloud,adv. 大声地；出声地
often,adv. 常常，时常
nearly,adv. 差不多，几乎；密切地
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
finally,adv. 最后；终于；决定性地
certainly,adv. 当然；行（用于回答）；必定
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
always,adv. 永远，一直；总是；常常
almost,adv. 差不多，几乎
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
ever,adv. 永远；曾经；究竟
quite,adv. 很；相当；完全
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
hardly,adv. 几乎不，简直不；刚刚
sometimes,adv. 有时，间或
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
probably,adv. 大概；或许；很可能
soon,adv. 快；不久，一会儿；立刻；宁愿
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
ago,"adj. 以前的；过去的
adv. 以前，以往"
everywhere,"n. 每个地方
adv. 到处"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
anyway,adv. 无论如何，不管怎样；总之
away,adv. 离去，离开；在远处
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
somewhere,"n. 某个地方
adv. 在某处；到某处"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
already,adv. 已经，早已；先前
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
also,"conj. 并且；另外
adv. 也；而且；同样"
too,adv. 太；也；很；还；非常；过度
instead,adv. 代替；反而；相反
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
seldom,adv. 很少，不常
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
why,"int. 哎呀！什么？
adv. 为什么"
everybody,pron. 每个人；人人
herself,pron. 她自己（she的反身代词）；她亲自
someone,pron. 有人，某人
them,pron. 他们；它们；她们
hers,pron. 她的（所有格）
somebody,"n. 大人物；重要人物
pron. 有人；某人"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
anything,pron. 任何事
its,pron. 它的
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
yourself,pron. 你自己
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
I,"n. 碘元素；英语字母I
pron. 我"
himself,pron. 他自己；他亲自，他本人
whose,pron. 谁的（疑问代词）
themselves,pron. 他们自己；他们亲自
everyone,"n. 每个人
pron. 每个人；人人"
anybody,"n. 重要人物
pron. 任何人"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
your,pron. 你的，你们的
their,pron. 他们的，她们的；它们的
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
our,pron. 我们的
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
itself,pron. 它自己；它本身
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
us,pron. 我们
his,pron. 他的
anyone,pron. 任何人；任何一个
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
whom,pron. 谁（who的宾格）
these,"adj. 这些的
pron. 这些"
who,pron. 谁；什么人
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
ourselves,pron. 我们自己；我们亲自
ours,pron. 我们的
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
they,pron. 他们；它们；她们
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
those,"adj. 那些的
pron. 那些（that的复数）"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
you,pron. 你；你们
him,pron. 他（宾格）
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
such,adj. 这样的，如此的
other,"adj. 其他的，另外的
pron. 另外一个"
be,vt. 是； 有，存在； 做，成为； 发生
am,
is,"v. 是（be的三单形式）
n. 存在"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
become,"vt. 适合；相称
vi. 成为；变得；变成"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
seem,vi. 似乎；像是；装作
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
abundance,n. 充裕，丰富
acceptable,adj. 可接受的；合意的；可忍受的
accomplished,adj. 完成的；熟练的，有技巧的；有修养的；有学问的
accomplishment,n. 成就；完成；技艺，技能
accordingly,adv. 因此，于是；相应地；照著
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
activist,n. 积极分子；激进主义分子
actual,adj. 真实的，实际的；现行的，目前的
added,"v. 增加（add的过去分词）
adj. 更多的；额外的"
additional,adj. 附加的，额外的
administrator,n. 管理人；行政官
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
adviser,n. 顾问；劝告者；指导教师（等于advisor）
airing,"n. 通风；晾干；（开车）兜风
v. 风干；烘热（air的ing形式）"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
announcement,n. 公告；宣告；发表；通告
annoyance,n. 烦恼；可厌之事；打扰
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
annually,adv. 每年；一年一次
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
Arabic,"n. 阿拉伯语
adj. 阿拉伯的；阿拉伯人的"
architecture,n. 建筑学；建筑风格；建筑式样；架构
artistic,adj. 艺术的；风雅的；有美感的
artwork,n. 艺术品；插图；美术品
associated,"v. 联系（associate的过去式和过去分词）
adj. 关联的；联合的"
astonished,adj. 吃惊的
attendance,n. 出席；到场；出席人数；考勤
auction,"n. 拍卖
vt. 拍卖；竞卖"
availability,n. 可用性；有效性；实用性
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
aviation,n. 航空；飞行术；飞机制造业
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
backstage,adv. 在后台；向后台
backyard,n. 后院；后庭
basically,adv. 主要地，基本上
bathed,"adj. 沐浴的；淋漓的，湿透的；沉溺的
v. 沐浴（bath的过去分词）"
battlefield,n. 战场；沙场
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
beaten,"v. 打败（beat的过去分词）
adj. 被打败了的；筋疲力竭的；踏平的"
beautifully,adv. 漂亮地；美好地
bedtime,"n. 就寝时间
adj. 适于睡前的"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
belonging,n. 所有物；行李；附属物
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
betrayal,n. 背叛；辜负；暴露
bidder,n. 投标人；出价人；命令者
biologist,n. 生物学家
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bodily,"adj. 身体的；肉体的
adv. 整体地；亲自地；以肉体形式"
boredom,n. 厌倦；令人厌烦的事物
bossy,"n. 母牛；牛犊
adj. 专横的；浮雕装饰的；爱指挥他人的"
bottled,adj. 瓶装的
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
briefcase,n. 公文包
broadcasting,"n. 播放；广播节目
v. 广播（broadcast的ing形式）"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
burning,"n. 燃烧
adj. 燃烧的；强烈的；发热的
vi. 燃烧（burn的现在分词）"
calculation,n. 计算；估计；计算的结果；深思熟虑
camper,n. 露营者，野营者
camping,"n. 露营；野营
v. 露营；扎营；临时安顿（camp的ing形式）"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
caregiver,n. 照料者，护理者
caring,"v. 关心；照顾（care的现在分词）
adj. 有同情心的；表示或感到关怀或关心的"
catcher,n. 捕手，捕捉者；接球手
catering,"n. 给养；承办酒席；提供饮食及服务
v. 备办食物（cater的ing形式）"
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
cheerful,adj. 快乐的；愉快的；高兴的
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
childcare,"n. 儿童保育；儿童照管
adj. 儿童保育的；托管的"
childhood,n. 童年时期；幼年时代
clarity,n. 清楚，明晰；透明
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
clearly,adv. 清晰地；明显地；无疑地；明净地
climbing,"n. 攀登
v. 爬（climb的ing形式）
adj. 上升的；攀缘而登的"
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
closing,"n. 结尾辞
v. 关闭（close的ing形式）
adj. 收盘的；结束的；结尾的"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
coastal,adj. 沿海的；海岸的
co-author,"n. 合著者
vt. 合著"
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
collaboration,n. 合作；勾结；通敌
colleague,n. 同事，同僚
colorful,adj. 华美的；有趣的；富有色彩的
combination,n. 结合；组合；联合； 化合
comedian,n. 喜剧演员；滑稽人物
comforting,"v. 安慰（comfort的ing形式）
adj. 安慰的；令人欣慰的"
commonly,adv. 一般地；通常地；普通地
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
compassion,n. 同情；怜悯
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
completely,adv. 完全地，彻底地；完整地
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
concentrated,"v. 集中（concentrate的过去分词）
adj. 集中的；浓缩的；全神贯注的"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
conditioned,"adj. 有条件的，受制约的；习惯于…的
v. 使适应（condition的过去分词）；以…为条件"
confirmed,"v. 确证；使坚定（confirm的过去分词）；批准
adj. 确认的；保兑的；坚定的；惯常的"
conflicting,"adj. 冲突的；相矛盾的；不一致的
v. 冲突；争执（conflict的ing形式）"
confusion,n. 混淆，混乱；困惑
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
connected,"v. 连接（connect的过去式）
adj.  连接的；有联系的；连贯的"
considerable,adj. 相当大的；重要的，值得考虑的
constantly,adv. 不断地；时常地
contagious,adj. 感染性的；会蔓延的
container,n. 集装箱；容器
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
contraction,n. 收缩，紧缩；缩写式；害病
controller,n. 控制器；管理员；主计长
conversational,adj. 对话的；健谈的
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
courier,n. 导游；情报员，通讯员；送快信的人
coworker,n. 同事；合作者
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
creation,n. 创造，创作；创作物，产物
creativity,n. 创造力；创造性
crescent,
cross-country,"n. 越野赛跑
adj. 越野的，横过田野的；横越全国的"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
cultural,adj. 文化的；教养的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
darken,"vt. 使变暗；使模糊
vi. 变黑；变得模糊"
daylight,n. 白天；日光；黎明；公开
daytime,n. 日间，白天
dealing,n. 交易；行为
decidedly,adv. 果断地；断然地；明显；毫无疑问
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
define,vt. 定义；使明确；规定
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
determination,n. 决心；果断；测定
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
disappearance,n. 消失；不见
disastrous,adj. 灾难性的；损失惨重的；悲伤的
Disneyland,
displace,vt. 取代；置换；转移；把…免职；排水
displeased,"v. 使…不快（displease的过去式和过去分词）
adj. 不快的；生气的"
diver,n. 潜水者；跳水的选手；潜鸟
diversity,n. 多样性；差异
diving,"n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
donation,n. 捐款，捐赠物；捐赠
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
doorway,n. 门口；途径
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
dying,"n. 死，死亡
v. 死，死亡；枯萎；失去活力（die的ing形式）
adj. 临终的，垂死的"
earthen,adj. 土制的；陶制的；地球上的
ecologist,n. 生态学者
economy,n. 经济；节约；理财
ecosystem,n. 生态系统
educational,adj. 教育的；有教育意义的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
elementary,adj. 基本的；初级的； 元素的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eliminate,vt. 消除；排除
emission,n. （光、热等的）发射，散发；喷射；发行
empire,n. 帝国；帝王统治，君权
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
empower,vt. 授权，允许；使能够
endangered,adj. 濒临灭绝的；有生命危险的
endurance,n. 忍耐力；忍耐；持久；耐久
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
enrich,vt. 使充实；使肥沃；使富足
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainer,n. 演艺人员，表演者
enthusiast,n. 狂热者，热心家
environmental,adj. 环境的，周围的；有关环境的
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
equally,adv. 同样地；相等地，平等地；公平地
establishment,n. 确立，制定；公司；设施
evaluation,n. 评价； 评估；估价；求值
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exception,n. 例外；异议
excitement,n. 兴奋；刺激；令人兴奋的事物
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
exotic,adj. 异国的；外来的；异国情调的
exploration,n. 探测；探究；踏勘
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fairly,adv. 相当地；公平地；简直
familiarity,n. 熟悉，精通；亲密；随便
fertilizer,n.  肥料；受精媒介物；促进发展者
filmmaker,n. 电影制作人；电影摄制者
finalise,vt. 使…结束；把最后定下来
fingerprint,"n. 指纹；手印
vt. 采指纹"
fireman,n. 消防队员；救火队员；锅炉工
firewood,n. 柴火；木柴
firmly,adv. 坚定地，坚决地；坚固地，稳固地
fitness,n. 健康；适当；适合性
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
focused,"v.  聚焦；注视（focus的过去分词）
adj. 聚焦的；专心的"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
footpath,n. 人行道；小路；小径
forbidden,adj. 被禁止的；严禁的，禁用的
forbidding,"v. 禁止；不准（forbid的ing形式）
adj. 令人生畏的；严峻的；险恶的"
forgiveness,n. 宽恕；宽仁之心
formation,n. 形成；构造；编队
forum,n. 论坛，讨论会；法庭；公开讨论的广场
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
fraction,n. 分数；部分；小部分；稍微
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
friendliness,n. 友谊；亲切；亲密
frightening,adj. 令人恐惧的；引起突然惊恐的
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
fruitful,adj. 富有成效的；多产的；果实结得多的
frustration,n. 挫折
gardening,n. 园艺；园林工人的工作
gaze,"n. 凝视；注视
vi. 凝视；注视"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
gene,n.  基因，遗传因子
generally,adv. 通常；普遍地，一般地
genetics,n. 遗传学
gently,adv. 轻轻地；温柔地，温和地
geographic,adj. 地理的；地理学的
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
glacier,n. 冰河，冰川
globalisation,n. 全球化，=globalization
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
goddess,n. 女神，受崇拜的女性
gone,"v. 去（go的过去分词）
adj. 离去的；死去的；用光的"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
graded,adj. 分等级的；按年级分的
grower,n. 栽培者；生长物
guilt,n. 犯罪，过失；内疚
happening,"n. 事件；意外发生的事
v. 发生；碰巧（happen的ing形式）"
hardwood,n. 硬木，硬木材； 阔叶树
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
healing,"n. 康复
adj. 能治愈的
v. 治疗（heal的现在分词）"
heartbreaking,"adj. 悲伤或失望到难忍程度的；令人悲伤的
v. 使…心碎（heartbreak的ing形式）"
heated,"adj. 热的；激昂的；激动的
v. 加热；使兴奋（heat的过去分词）"
heavily,adv. 沉重地；猛烈地；沉闷地
hectare,n. 公顷（等于1万平方米）
hidden,"adj. 隐藏的
v. 隐藏，躲藏（hide的过去分词）"
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
highly,adv. 高度地；非常；非常赞许地
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
historical,adj. 历史的；史学的；基于史实的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
homemaker,n. 主妇
homeowner,n. 私房屋主；自己拥有住房者
honesty,n. 诚实，正直
hopefully,adv. 有希望地，有前途地
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
humidity,n.  湿度；湿气
icy,adj. 冰冷的；冷淡的；结满冰的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
illusion,n. 幻觉，错觉；错误的观念或信仰
imaginary,adj. 虚构的，假想的；想像的；虚数的
imagination,n.  想象力；空想；幻想物
imaginative,adj. 富于想象的；有创造力的
immediate,adj. 立即的；直接的；最接近的
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
imperfection,n. 不完美；瑕疵；缺点
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
including,prep. 包含，包括
in-depth,adj. 彻底的，深入的
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
inexpensive,adj. 便宜的
infect,vt. 感染，传染
infinity,n. 无穷；无限大；无限距
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
injured,adj. 受伤的；受损害的
in-person,亲自；外貌上
inspiration,n. 灵感；鼓舞；吸气；妙计
inspirational,adj. 鼓舞人心的；带有灵感的，给予灵感的
instructor,n. 指导书；教员；指导者
intake,n. 摄取量；通风口；引入口；引入的量
intellectualize,"vt. 使……有理智；将……作理性研究
vi. 诉诸理智；推理"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intended,"n. 已订婚者
v. 打算；准备（intend的过去分词）
adj. 故意的，有意的；打算中的"
intentional,adj. 故意的；蓄意的；策划的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interactive,adj. 交互式的；相互作用的
interpersonal,adj. 人际的；人与人之间的
interpretation,n. 解释；翻译；演出
interruption,n. 中断；干扰；中断之事
invaluable,adj. 无价的；非常贵重的
irrelevant,adj. 不相干的；不切题的
