ban,"n. 禁令，禁忌
vt. 禁止，取缔"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
paternal,adj. 父亲的；得自父亲的；父亲般的
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
housekeeper,n. 女管家；主妇
warehouse,n. 仓库；货栈；大商店
imprison,vt. 监禁；关押；使…下狱
humiliation,n. 丢脸，耻辱；蒙羞；谦卑
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
unacknowledged,adj. 不被承认的，未公开承认的；未答复的
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
workhouse,n. （英）济贫院；（美） 教养所；感化院；贫民习艺所
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
predominance,n. 优势；卓越
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
foreseeable,adj. 可预知的；能预测的
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
breadth,n. 宽度，幅度；宽宏
consequently,adv. 因此；结果；所以
therefore,adv. 因此；所以
self-contentedness,n. self-contented的变形
additional,adj. 附加的，额外的
monoglot,adj.& n. 使用单一语言的（人）
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
youngster,n. 年轻人；少年
counterpart,n. 副本；配对物；极相似的人或物
alongside,"prep. 在……旁边
adv. 在旁边"
curriculum,"n. 课程
总课程"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
Arabic,"n. 阿拉伯语
adj. 阿拉伯的；阿拉伯人的"
Mandarin,
outsourcing,n. 外包；外购；外部采办
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
slowdown,n. 减速；怠工；降低速度
slippage,n. 滑移；滑动；下降
anticipation,n. 希望；预感；先发制人；预支
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
operating,"adj. 操作的； 外科手术的
v. 操作（operate的ing形式）；动手术"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
tricky,adj. 狡猾的；机警的
worthwhile,adj. 值得做的，值得花时间的
oxytocin,n.  催产素；缩宫素；脑下垂体后叶荷尔蒙之一种
hormone,n.  激素，荷尔蒙
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
herding instinct, 群居本能；合群性；一窝蜂直觉
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
sixth sense,"n. 第六感觉；直觉
 鬼眼；第六感官；第六感装置"
dishonesty,n. 不诚实；欺诈；不正直
differentiate,"vt. 区分，区别
vi. 区分，区别"
credible,adj. 可靠的，可信的
toddler,n. 学步的小孩；幼童装
container,n. 集装箱；容器
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
follow-up,"n. 随访；跟进；后续行动
adj. 后续的；增补的"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
disproportionately,adv. 不成比例地
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
alarmist,"n. 杞人忧天者；大惊小怪者
adj. 危言耸听的；忧虑的"
upheaval,n. 剧变；隆起；举起
Luddite,n. 勒德分子（十九世纪初英国手工业工人中参加捣毁机器的人）；强烈反对机械化或自动化的人
mechanize,vt. 使机械化；机动化；用机械装置
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
rethink,"n. 重新考虑；反思；新想法
vt. 重新考虑；再想
vi. 重新考虑；再想"
curriculum,"n. 课程
总课程"
vocational,adj. 职业的，行业的
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
affordable,adj. 负担得起的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
era,n. 时代；年代；纪元
transition,n. 过渡；转变； 转换；变调
subsidy,n. 补贴；津贴；补助金
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
upend,vt. 倒放，颠倒；竖立
nuts,"adj. 发狂的；热衷的；狂热的
int. 胡说；呸
n. 坚果；螺母（nut的复数）；核心
v. 采坚果；用头撞（nut的三单形式）"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
Millennial,
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
platform,n. 平台；月台，站台；坛；讲台
literacy,n. 读写能力；精通文学
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
cyberspace,n. 网络空间；赛博空间
verify,vt. 核实；查证
cross-check,"n. 反复核对
vt. 再确认；反复核对"
perspective,"n. 观点；远景；透视图
adj. 透视的"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
reliance,n. 信赖；信心；受信赖的人或物
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
intimately,adv. 熟悉地；亲切地；私下地
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
projection,n. 投射；规划；突出；发射；推测
conscious,adj. 意识到的；故意的；神志清醒的
misinterpretation,n. 误解；误释
exaggeration,n. 夸张；夸大之词；夸张的手法
indicate,vt. 表明；指出；预示；象征
counteract,vt. 抵消；中和；阻碍
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
commissioner,n. 理事；委员；行政长官；总裁
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
damning,"adj. 咒骂的；毁灭的；受永罚的
n. 诅咒
v. 咒骂（damn的ing形式）"
verdict,n. 结论；裁定
vague,adj. 模糊的；含糊的；不明确的；暧昧的
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
arrangement,n. 布置；整理；准备
scrutinise,"vt. 详细检查，细看(scrutinize)
vi. 作详细检查，细阅"
permission,n. 允许，许可
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
aggregation,n.  聚合，聚集；聚集体，集合体
generate,vt. 使形成；发生；生殖；产生物理反应
identifiable,adj. 可辨认的；可认明的；可证明是同一的
surveillance,n. 监督；监视
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
maladapted,adj. 不适应的，不适合的
algorithm,n.  算法，运算法则
pharma,n. 制药公司
feudalism,n. 封建主义；封建制度
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
fiscal,adj. 会计的，财政的；国库的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
revenue,n. 税收，国家的收入；收益
bankruptcy,n. 破产
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
regulatory,adj. 管理的；控制的；调整的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
overseer,n. 监督；工头
legislation,n. 立法；法律
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
retiree,n. （美）退休人员；歇业者
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
long-standing,adj. 长期存在的；存在已久的
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
omission,n. 疏忽，遗漏；省略；冗长
eliminate,vt. 消除；排除
embarrassing,adj. 使人尴尬的；令人为难的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
treasury,n. 国库，金库；财政部；宝库
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
storey,n.  楼层；叠架的一层
diplomatic,adj. 外交的；外交上的；老练的
reception,n. 接待；接收；招待会；感受；反应
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
rug,n. 小地毯；毛皮地毯；男子假发
stencil,n. 漏字板
ceiling,n. 天花板；上限
marquetry,n. 镶嵌细工
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
associated,"v. 联系（associate的过去式和过去分词）
adj. 关联的；联合的"
formulate,vt. 规划；用公式表示；明确地表达
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
emerge,vi. 浮现；摆脱；暴露
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
granite,n. 花岗岩；坚毅；冷酷无情
secretary,n. 秘书；书记；部长；大臣
emissary,"n. 使者；间谍；密使
adj. 间谍的；密使的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
heritage,n. 遗产；传统；继承物；继承权
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
monumental,adj. 不朽的；纪念碑的；非常的
curving,"n. 弯曲；曲线；变形
adj. 弯曲的
v. 使弯曲；弯成弧形（curve的ing形式）"
staircase,n. 楼梯
baluster,n. 栏杆；栏杆的支柱
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
skylight,n. 天窗
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
rotunda,n. 圆形大厅；圆形建筑
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
necessitate,vt. 使成为必需，需要；迫使
demolition,n. 拆除（等于demolishment）；破坏；毁坏
coincident,adj. 一致的；符合的；同时发生的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
tragedy,n. 悲剧；灾难；惨案
comedy,n. 喜剧；喜剧性；有趣的事情
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
farcical,adj. 滑稽的；闹剧的；引人发笑的
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
ignorant,adj. 无知的；愚昧的
yet,"conj. 但是；然而
adv. 还；但是；已经"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
student,n. 学生；学者
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
inhabitant,n. 居民；居住者
GPS,
navigation,n. 航行；航海
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
source,n. 来源；水源；原始资料
overwhelmingly,adv. 压倒性地；不可抵抗地
fresh water,"adj. 淡水的；不熟练的；不知名的
 淡水资源；新鲜水；清水"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
keep an eye out, 警惕；注意；密切注意
sights,"n. 风景，名胜；视野（sight的复数）
v. 瞄准（sight的第三人称单数）；仔细观看"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
distinctive,adj. 有特色的，与众不同的
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
habitation,n. 居住；住所
dense,adj. 稠密的；浓厚的；愚钝的
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
horizon,n.  地平线；视野；眼界；范围
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
light pollution,"n. 光污染（人工照明造成）
 光害；灯光污染；日光污染"
assuming,"v. 假设（assume的ing形式）
adj. 傲慢的；不逊的；僭越的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
regulator,n. 调整者；监管者；校准器
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
guaranteed,"v. 担保（guarantee的过去式和过去分词）
adj. 有保证的，；有人担保的"
bonus,n. 奖金；红利；额外津贴
clawback,n. 挫折；弥补性收入
financial institutions, 金融机构；同业银行部；财政机构的相关信息
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
attention span,"na. 一个人能集中注意力于某事的时间
 注意广度；注意力的持续时间；注意力时长"
predominance,n. 优势；卓越
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
commissioner,n. 理事；委员；行政长官；总裁
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
slightly,adv. 些微地，轻微地；纤细地
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
disclosure,n.  披露；揭发；被揭发出来的事情
acquisition,n. 获得物，获得；收购
shareholder,n. 股东；股票持有人
compensation,n. 补偿；报酬；赔偿金
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
reminder,n. 暗示；提醒的人/物；催单
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
forgiveness,n. 宽恕；宽仁之心
retake,"n. 重考；重新摄录；重新摄录的照片或录音
vt. 再取；重拍；补考"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
tuition,n. 学费；讲授
freshman,n. 新手，生手；大学一年级学生
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
transition,n. 过渡；转变； 转换；变调
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
incur,vt. 招致，引发；蒙受
penalty,n. 罚款，罚金；处罚
registrar,n. 登记员；注册主任；专科住院医师
subsequent,adj. 后来的，随后的
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
retention,n. 保留；扣留，滞留；记忆力；闭尿
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
Prometheus,n. 普罗米修斯（希腊神话中人名，为人类盗火种甘受罚）
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
identity,n. 身份；同一性，一致；特性；恒等式
consciousness,n. 意识；知觉；觉悟；感觉
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
depict,vt. 描述；描画
sci-fi,n. 科幻小说（等于science fiction）
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
autonomous,adj. 自治的；自主的；自发的
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
thorny,adj. 多刺的；痛苦的；令人苦恼的
split-second,adj. 霎那间发生的，瞬间发生的
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
anticipate,vt. 预期，期望；占先，抢先；提前使用
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
agency,n. 代理，中介；代理处，经销处
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
mega,"n. 百万
adj. 许多；宏大的
adv. 非常"
guideline,"n. 指导方针
参考"
ethics,n. 伦理学；伦理观；道德标准
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
surveillance,n. 监督；监视
norm,n. 标准，规范
statement,n. 声明；陈述，叙述；报表，清单
vague,adj. 模糊的；含糊的；不明确的；暧昧的
transparent,adj. 透明的；显然的；坦率的；易懂的
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
overrule,vt. 否决；统治；对…施加影响
revenue,n. 税收，国家的收入；收益
annually,adv. 每年；一年一次
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
warehouse,n. 仓库；货栈；大商店
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
flawed,adj. 有缺陷的；有瑕疵的；有裂纹的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
typically,adv. 代表性地；作为特色地
platform,n. 平台；月台，站台；坛；讲台
headache,n. 头痛；麻烦；令人头痛之事
entrepreneurship,n. 企业家精神
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
reasoned,"v. 说服；推断（reason的过去分词）
adj. 详尽论述的；理由充分的；合乎逻辑的"
nature,n. 自然；性质；本性；种类
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
humility,n. 谦卑，谦逊
formulate,vt. 规划；用公式表示；明确地表达
charitably,adv. 慈善地；慷慨地；宽怒地
impartially,adv. 公平地；无私地
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
argument,n. 论证；论据；争吵；内容提要
aversion,n. 厌恶；讨厌的人
undermine,vt. 破坏，渐渐破坏；挖掘地基
convince,vt. 说服；使确信，使信服
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
needy,adj. 贫困的；贫穷的；生活艰苦的
literature,n. 文学；文献；文艺；著作
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
