precise,adj. 精确的；明确的；严格的
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
agreement,n. 协议；同意，一致
shooting,"n. 射击；打猎；摄影；射门
v. 射击（shoot的ing形式）"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
typewriter,n. 打字机
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
income,n. 收入，收益；所得
absence,n. 没有；缺乏；缺席；不注意
sleepy,adj. 欲睡的；困乏的；不活跃的
appointment,n. 任命；约定；任命的职位
comprehension,n. 理解；包含
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
become,"vt. 适合；相称
vi. 成为；变得；变成"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
painter,n. 画家；油漆匠
simplify,vt. 简化；使单纯；使简易
percentage,n. 百分比；百分率，百分数
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
memorize,vt. 记住，背熟；记忆
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
entire,adj. 全部的，整个的；全体的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
basic,"n. 基础；要素
adj. 基本的；基础的"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
equip,vt. 装备，配备
software,n. 软件
consultant,n. 顾问；咨询者；会诊医生
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
degree,n. 程度，等级；度；学位；阶层
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
optional,"adj. 可选择的，随意的
n. 选修科目"
temptation,n. 引诱；诱惑物
heaven,n. 天堂；天空；极乐
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
wildlife,"n. 野生动植物
adj. 野生动植物的"
urgent,adj. 紧急的；急迫的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
product,n. 产品；结果； 乘积；作品
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
playground,n. 运动场，操场；游乐场
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
effort,n. 努力；成就
fluent,adj. 流畅的，流利的；液态的；畅流的
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
postcode,n. （英）邮政编码；邮区号
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
toothpaste,n. 牙膏
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
importance,n. 价值；重要；重大；傲慢
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
insect,n. 昆虫；卑鄙的人
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
vivid,adj. 生动的；鲜明的；鲜艳的
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
database,n. 数据库，资料库
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
pollute,vt. 污染；玷污；败坏
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
harmony,n. 协调；和睦；融洽；调和
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
golden,adj. 金色的，黄金般的；珍贵的；金制的
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
motorbike,n. 摩托车
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
microscope,n. 显微镜
electrical,adj. 有关电的；电气科学的
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
accomplish,vt. 完成；实现；达到
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
create,vt. 创造，创作；造成
thermos,n. 热水瓶
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
fierce,adj. 凶猛的；猛烈的；暴躁的
toothbrush,n. 牙刷
classify,vt. 分类；分等
disappointment,n. 失望；沮丧
qualification,n. 资格；条件；限制；赋予资格
unfold,"vi. 展开；显露
vt. 打开；呈现"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
poisonous,adj. 有毒的；恶毒的；讨厌的
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
glasshouse,n. 温室；暖房
instrument,n. 仪器；工具；乐器；手段；器械
topic,n. 主题（等于theme）；题目；一般规则；总论
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
secretary,n. 秘书；书记；部长；大臣
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
worthwhile,adj. 值得做的，值得花时间的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
garbage,n. 垃圾；废物
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
allergic,adj. 对…过敏的；对…极讨厌的
biscuit,n. 小点心，饼干
brochure,n. 手册，小册子
Internet,
preference,n. 偏爱，倾向；优先权
nowadays,"adv. 现今；时下
n. 当今"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
award,"n. 奖品；判决
vt. 授予；判定"
enthusiastic,adj. 热情的；热心的；狂热的
disobey,v. 违反；不服从
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
booth,n. 货摊；公用电话亭
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
dictionary,n. 字典；词典
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
conservative,
status,n. 地位；状态；情形；重要身份
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
assessment,n. 评定；估价
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
convey,vt. 传达；运输；让与
appear,vi. 出现；显得；似乎；出庭；登场
destroy,vt. 破坏；消灭；毁坏
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
labourer,n. 劳动者；劳工
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
circumstance,n. 环境，情况；事件；境遇
menu,"n. 菜单
饭菜"
flashlight,n. 手电筒；闪光灯
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
patience,n. 耐性，耐心；忍耐，容忍
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
category,n. 种类，分类； 范畴
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
reputation,n. 名声，名誉；声望
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
ridiculous,adj. 可笑的；荒谬的
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
encouragement,n. 鼓励
servant,n. 仆人，佣人；公务员；雇工
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
take over,"na. 接管；继承
 接收；接任；接替"
remove ... from ...,
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
be ashamed of,"na. 以为…是耻辱
 对…感到羞愧；惭愧；以…为羞耻"
pay back,"na. 偿还；报答；向…报复；付还
 回报；还钱；还钱给"
look out,"na. 挑选；注意；看外头；展望 (on；over)
 当心；小心；留神"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
leave out,"na. 遗漏；忽略；(告诉某人)停下来
 省去；省略；不考虑"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
tire out,"na. 使疲倦到极度
 筋疲力尽；使筋疲力尽；使……十分疲劳"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
 展望未来；向前看；前瞻"
in advance,"na. 预先；在先头
 事先；提前；事前"
believe in,"v. 相信
 信任；信仰；信奉"
react to,"v. 对…有反应
 对…作出反应；对……反应；对……做出反应"
put ... into ...,
on average, 平均；平均起来；通常
roll over,"na. 滚动；使滚；得分；同“roll”
 翻滚；翻身；翻转"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
long before,"na. 很久以前；老早以前
 在…以前很久；很早以前；早在…之前"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
lead to,"na. 通向
 导致；引起；通往"
push over,"na. 推倒
 刮倒；退推倒；静力非线性工况"
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
 坚持到底；显眼；凸出"
infer from,"v. 推断
 从…推断出；从…中推断；推论"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
persist in,"v. 坚持
 固执；坚持不懈；坚持不懈，执意"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
 扔掉；摆脱掉；扔开"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
learn of,"v. 得知；获悉
 听到；获悉…的事；听说"
belong to,"v. 属于；附属
 归于；归属；属於"
on condition that,"na. 在…的条件下
 在…条件下；条件是；如果"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
 撕毁；撕掉；拔出"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
make the best of,"v. 充分利用
 尽量利用；善用；尽力而为"
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
take the lead,"v. 率先
 独领风潮；带头；领先"
on the contrary,"na. 反之
 正相反；相反地；相反的"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
result from,"v. 由于
 由...产生；起因于；由…引起"
turn a blind eye to,"na. 对…熟视无睹；假装不见
 对…视而不见；睁一只眼闭一只眼；对…装作不见"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
divide ... into ...,
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
go against,"na. 违背；不利于
 反对；违反；不顺心"
pass through,"na. 穿过；经历；经验；遭受
 通过；经过；穿越"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
 累积；堆起来；积累"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
hunt for,"na. 追猎；搜寻
 寻找；搜索；探求"
tell a lie,"v. 说谎
 撒谎；说谎话；说慌"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
complain about,"v. 埋怨
 抱怨；抱怨某事；抱怨某人或事情"
complain of,"v. 抱怨；叫屈
 主诉；诉苦；埋怨"
look forward to,"na. 盼望
 期待；期望；期盼"
call at,"na. 访问(某家)；(车船)停靠(某地)
 拜访；拜访某地；拜访地点"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
stick to,"na. 忠于
 坚持；粘住；遵守"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
turn in,"v. 向里弯曲
 上交；上床睡觉；交出"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
waste ... on sth.,
object to,"na. 反对
 反对某事；不赞成；我反对"
change into,"na. 变成；改穿
 把……变成；变为；转换成"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
even if,"na. 即使…也
 纵然；就算；甚至"
even though,"na. “even if”的变体
 即使；尽管；虽然"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
recommend doing sth.,
live by,"na. 靠…为生；住在…附近
 以……为生；靠……为生；靠……生活"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
 拆毁；推翻；拉下，降低"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
depend on,"v. 依靠
 依赖；取决于；视……而定"
depend upon,"v. 依靠
 依赖；取决于；靠……决定"
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
in detail,"na. 详细
 详细地；详细的；详尽"
in demand,"un. 要求；抢手
 有需求；销路好；非常需要的"
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
end up with,"na. 以…而告终
 以…而结束；以…结束；以……告终"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
around the corner,"na. (=  round the corner)在拐角那里
 在拐角处；即将来临；即将到来"
think of ... as ...,
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
used to do sth.,
mean to do sth.,
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
pull through,"na. 恢复健康；痊愈；渡过难关
 度过难关；渡过危机；度过危机"
to one's delight,
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
insist upon,"v. 坚持；强调
 支持；坚决主张"
tell apart,"na. 辨别
 分辨；区别；区分"
attribute ... to ...,
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
aim at,"v. 目的在于
 瞄准；针对；旨在"
take one's time,"na. 从容
 慢慢来；从容不迫；不急"
result in,"na. 终于(失败)
 导致；结果是；造成"
at the beginning of,"un. 前奏；处于…的开端；起初
 的起初；的开始；在……的开始"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
be able to do sth.,
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
consider ... as ...,
at least,"na. 至少
 最低限度；起码；最少"
in a moment,"na. 立刻；立即
 马上；一会儿；过一会儿"
see sb. off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
differ from,"na. 和…不一致；和…意见不同
 不同于；和……不同；区别于"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
at present,"na. 目前
 现在；当今；眼下"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
consist in,"v. 在于
 存在于；主要在于；存在于…中"
lose touch with,"v. 失去联系
 与……失去联系；和……失去联系；失去联络"
vote for,"na. 赞成；建议
 投票赞成；选举；投票选举"
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
in brief,"na. 简单地说
 简言之；简而言之；总之"
lay aside,"na. 保存；放在一边；丢弃；留着
 储蓄；搁置；把…放在一边"
read out,v. 读出器，读出( readout的过去式和过去分词 ); 大声朗诵，宣读; 读出
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
tell by,"v. 依据
 从…可以看出；根据……辨别；依据……而判断"
attempt to do sth.,
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
respond to,"v. 响应
 对…反应；回答；对…作出反应"
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
would rather,"na. 宁愿
 宁可；宁可…也不；宁肯"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
 开始干某事；启动；踢掉"
pay a visit to,"v. 访问；参观
 拜访；去参观；前往访问"
on the run,"na. 跑着
 我很忙；亡命鸳鸯；逃亡"
lack of,"v. 缺乏
 缺少；不足；不够"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
in total,"adv. 全部；完全
 总共；总计；一共"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
join up,"na. 入伍；联合起来；同“join”
 连接起来；参军；接入"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
click on, 点击；用鼠标点击；单击
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
put off,"na. 延期；辩解
 推迟；拖延；推延"
on show,"na. 成为展览物；被陈列着
 展出；在展出；在上演"
in response to,"na. 应…而
 响应；回答；对…做出反应"
let down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
on business,"na. 因公
 因事；出差办事；有事"
apologize for,"v. 为…道歉
 为……而道歉；因…而道歉；因……而表示道歉"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
keep to,"v. 坚持；固守
 保持；遵守；遵循"
be popular with,"na. 受…欢迎
 受…的欢迎；受…欢迎的；受到……的欢迎"
manage to do sth.,
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
once in a while,偶尔；有时（等于every once in a while）
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
all over,"adj. 满
n. 全花织物
 到处；遍及；结束"
without doubt,"na. 无疑
 毫无疑问；毫无疑问地；无疑地"
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
at ease,"na. 自由自在；=stand at ease.
 稍息；安逸；舒适"
look around,"na. 看起来好像；环视
 环顾四周；朝四周看；东张西望"
on offer,"na. 出卖
 在出售中；削价出售；降价出售"
take effect,"na. 有效验；生效
 起作用；见效；奏效"
by nature,"na. 生就；从本性上说
 生来；天生的；生性"
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
view ... as ...,
look into,"na. 窥视；调查；过问
 研究；检查；了解"
owe to ...,
be based on,"v. 以…为基础
 根据；基于；以……为根据"
the other day,"na. 上回
 前几天；几天前；几天以前"
recover from,"v. 恢复
 痊愈；从……中恢复；从…恢复"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
in some case, 在某种情况下；在某些方面
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
judge ... by ...,
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
recognize ... as ...,
devote ... to ...,
return to,"v. 回到；返回；还给；降到
 返回到；恢复；回来"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
 乱序执行；发生故障；坏了"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
under any circumstances,"un. 不管怎样；无论如何
 在任何情况下；在无论何种情况下；一个中文词语或英文单词"
feed on,"na. 同“feed off ”；“live on”的变体
 以……为食；以…为食物；以…为主食"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
