visitor,n. 访问者，参观者；视察者；候鸟
sun lotion, 修护防晒日霜；防晒霜；防晒油
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
fortnight,n. 两星期
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
worth,"n. 价值；财产
adj. 值…的"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
adapt,"vi. 适应
vt. 使适应；改编"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
in this way,"na. 用这个办法
 这样；用这种方法；以这种方式"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
get away from,"v. 逃脱
 逃离；离开；摆脱"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
connection,n. 连接；关系；人脉；连接件
as long as,"conj. 只要
 长达；如果；既然"
national park,"n. 国家公园
 安省国家公园；美国国家公园；国家级公园"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
considerable,adj. 相当大的；重要的，值得考虑的
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
in a state of,"prep. 处于…状态
 处于……的状态；处于……状态中；处在……状态中"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
seasonally,adv. 季节性地；周期性地
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
carrot,"n. 胡萝卜
诱饵"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
strawberry jam,"un. 草莓酱
 草莓果酱；士多啤梨果酱；粒粒士多啤梨酱"
kilogram,n. 公斤；千克
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
glove,"n. 手套
vt. 给…戴手套"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
postcard,n. 明信片
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
lorry,n. （英）卡车； 货车；运料车
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
vendor,n. 卖主；小贩；供应商； 自动售货机
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
tiger,n. 老虎；凶暴的人
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
eager,adj. 渴望的；热切的；热心的
possibility,n. 可能性；可能发生的事物
fussy,adj. 爱挑剔的，难取悦的；易烦恼的
coke,n. 可口可乐（等于Coca-Cola）
coca-cola,
ash,n. 灰；灰烬
ash tray,"un. 灰盘
 烟灰缸；烟灰盘；烟缸儿"
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
be sick of,"v. 讨厌
 厌恶；对…感到厌倦；对…厌倦"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
lobotomy,n. 叶切断术；前脑叶白质切除术
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
millennium bug,"na. (电脑)千年虫
 千禧虫；千年问题；千年电脑程序问题"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
solution,n. 解决方案；溶液；溶解；解答
life insurance,"n. 人寿保险
 寿险；人身保险；人寿险"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
trousers,n. 裤子，长裤
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
goods,n. 商品；动产；合意的人；真本领
March,
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
run short of,"na. 用完；缺乏
 快用完；缺少；几乎用完"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
for now,"na. 眼下
 目前；暂时；现在"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
be in touch, 保持联系；常联系；取得联系
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
printer,n.  打印机；印刷工；印花工
word processing,"n. （计算机）字处理
 文字处理；文书处理；数据处理"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
compatible,adj. 兼容的；能共处的；可并立的
be compatible with,"v. 与…兼容
 与……兼容的；相容；一致"
available,adj. 可获得的；可购得的；可找到的；有空的
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
teapot,"n. 茶壶
小题大做"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
anyhow,adv. 总之；无论如何；不管怎样
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
cigar,n. 雪茄
rip off,"v. 剥削；抢劫；强奸；剽窃
 宰客；宰人；撕掉"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
thief,n. 小偷，贼
be concerned about,"na. 关心；挂念
 担心；对…关心；关注"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
coat,"n. 外套
vt. 覆盖…的表面"
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
lately,adv. 近来，不久前
clinic,n. 临床；诊所
chest,n. 胸，胸部；衣柜；箱子；金库
injection,n. 注射；注射剂；充血；射入轨道
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
windscreen,n. 汽车挡风玻璃
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
safety belt,"n. 安全带；(汽车)安全带；保险带
 救生带；系好安全带；安全腰"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
badly,adv. 非常，很；严重地，厉害地；恶劣地
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emergency ward, 急诊病房；急症室；急诊病室
medical check-up, 医学检查
alternative medicine,"n. 替代疗法
 替代医学；另类医学；另类医疗"
cancer, 巨蟹座
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
cope,"n. 长袍
vi. 处理；对付；竞争"
treatment,n. 治疗，疗法；处理；对待
Austrian,"n. 奥地利人
adj. 奥地利的；奥地利人的"
willingness,n. 乐意；心甘情愿；自动自发
follow through,"v. 坚持到底
 自始至终完成工作；进行到底；随球动作"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
radiotherapy,n.  放射疗法
in all,"na. 总计
 总共；一共；总共，合计"
intake,n. 摄取量；通风口；引入口；引入的量
multivitamin,"adj. 多种维他命的
n. 多种维他命剂"
homoeopathy,n. 顺势疗法；同种疗法
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
passivity,n. 被动性；被动结构；无抵抗
sanitation,n.  环境卫生；卫生设备；下水道设施
set in,"na. 固定；停当；涨潮；进来
 开始；来临；插入"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
pole,
lawn mower,"na. 割草人
 割草机；剪草机；除草机"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
get by,"na. 走过；勉强混过去
 通过；过得去；勉强生存"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
defence,n. 防御；防卫；答辩；防卫设备
defend,"vi. 保卫；防守
vt. 辩护；防护"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
cynical,adj. 愤世嫉俗的；冷嘲的
athletic,adj. 运动的，运动员的；体格健壮的
studio,n. 工作室； 演播室；画室；电影制片厂
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
firmly,adv. 坚定地，坚决地；坚固地，稳固地
stick to,"na. 忠于
 坚持；粘住；遵守"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
cloth,"n. 布；织物；桌布
adj. 布制的"
concept,n. 观念，概念
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
chemical,"n. 化学制品，化学药品
adj. 化学的"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
behavior,n. 行为，举止；态度；反应
equip,vt. 装备，配备
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
loudly,adv. 大声地，响亮地
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
unwrap,vt. 打开
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
badly,adv. 非常，很；严重地，厉害地；恶劣地
illy,adv. 不善地; 坏地; 不完美地; 困难地
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
catch up with,"v. 赶上
 追上；赶上某人；跟上"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
cigarette,n. 香烟；纸烟
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
incidence,n. 发生率；影响； 入射；影响范围
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
weatherman,n. 气象员；天气预报员
headmaster,n. 校长
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
changeable,adj. 无常的；可改变的；易变的；不定的
typical,adj. 典型的；特有的；象征性的
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
botanical,"n. 植物性药材
adj. 植物学的"
the Botanical Garden,
soak up,"v. 吸取
 吸收；摄取；吸收摄取"
vitamin,n.  维生素； 维他命
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
humid,adj. 潮湿的；湿润的；多湿气的
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
importance,n. 价值；重要；重大；傲慢
sandstorm,n.  沙暴；大风沙
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
air conditioner,"n. 空调
 冷气机；空调器；空气调节器"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
variety,n. 多样；种类；杂耍；变化，多样化
September,n. 九月
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
humidity,n.  湿度；湿气
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
freezing,adj. 冰冻的；严寒的；冷冻用的
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
alive,adj. 活着的；活泼的；有生气的
go hiking, 去远足；去徒步旅行；去徒步远足
seldom,adv. 很少，不常
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
on the contrary,"na. 反之
 正相反；相反地；相反的"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
property,n. 性质，性能；财产；所有权
radio presenter, 电台主持人；广播主持人
the greenhouse effect,"n. 温室效应
 造成温室效应；快乐工人；植物生长剂"
decade,n. 十年，十年期；十
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
Holland,n. 荷兰
Russia,n. 俄罗斯
continuous,adj. 连续的，持续的；继续的；连绵不断的
the Mediterranean,
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
Singapore,n. 新加坡
abundant,adj. 丰富的；充裕的；盛产
the Equator,
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
monsoon,n. 季风；（印度等地的）雨季；季候风
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
millimeter,n.  毫米
thunderstorm,n.  雷暴；雷暴雨；大雷雨
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
historic,adj. 有历史意义的；历史上著名的
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
run over,"v. 轧过；碾过；演练；排练
 辗过；溢出；浏览"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
mermaid,n. 美人鱼（传说中的）；女子游泳健将
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
atmosphere,n. 气氛；大气；空气
terrific,adj. 极好的；极其的，非常的；可怕的
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
seafront,n. 滨海区；面向海的一面
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
tomb,"n. 坟墓；死亡
vt. 埋葬"
terracotta,n. 陶瓦；赤土陶器；赤土色
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
trolley bus,"n. 无轨电车
 无轨客车；无轨电动公车；公共汽车型的船轨电车"
Tanzania,n. 坦桑尼亚（东非国家）
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
tiny,adj. 微小的；很少的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
relationship,n. 关系；关联
historical,adj. 历史的；史学的；基于史实的
Oxford,n. 牛津大学；牛津（英国城市）
Cambridge,n. 剑桥（英国城市）；坎布里奇（美国马萨诸塞州城市）
Greenwich,n. 格林威治（英国伦敦东南一市镇， 从前皇家天文台的所在地； 通过该天文台的经线被定为本初子午线）
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
lesson,"n. 教训；课
vt. 教训；上课"
Edinburgh,n. 爱丁堡（英国城市名）
berth,"n. 卧铺；停泊处，锚位；差事
vt. 使……停泊；为……提供铺位
vi. 停泊；占铺位"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
passport,n. 护照，通行证；手段
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
freeway,n. 高速公路
suitcase,n.  手提箱；衣箱
briefcase,n. 公文包
tote bag,"na. (布制或草编的)大手提包
 托特包；大手提袋；购物包"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
plaza,n. 广场；市场，购物中心
possibly,adv. 可能地；也许；大概
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
florist,n. 花商，种花人；花卉研究者
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
relief,n. 救济；减轻，解除；安慰；浮雕
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
route,"n. 路线；航线；通道
vt. 按某路线发送"
lane,n. 小巷； 航线；车道；罚球区
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
medium-sized,adj. 中型的，中等大小的；普通型的
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
revolution,n. 革命；旋转；运行；循环
industrialize,"vt. 使工业化
vi. 实现工业化"
worthwhile,adj. 值得做的，值得花时间的
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
extensive,adj. 广泛的；大量的；广阔的
independence,n. 独立性，自立性；自主
interstate,"n. （美）州际公路
adj. 州际的；州与州之间的"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
respectively,adv. 分别地；各自地，独自地
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
