border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn to sb.,
turn towards her,
turn up,"v. 朝上翻；出现
 开大；找到；露面"
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
walk along a street,
walk alongside one's father,
walk right over us,
walk up to,"na. 走近
 走向；走到；走至"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
whirl around, 旋转四周
wise up,"na. 知道；告诉
 别傻了；放聪明点；使知道"
work one's way out of the snow,
work on sth.,
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
yell at, 对…吼叫；你给我小心一点；对别人大叫
accept the offer,
accuse each other,
achieve the invention,
affect the course of history,
announce an event,
appreciate the special genius,
approach somebody,
arrange work,
attend a meeting, 参加会议；出席会议；赴会
attend the meeting, 参加会议；出席会议；赴会
attract people,
bar the door,
begin life,"begin life (as)
(作为…)走进社会，踏上生活道路
以上来源于：《21世纪大英汉词典》"
bend one's shoulders,
bite one's lip,"na. (为压制感情)咬紧嘴唇
 保持沉默；而紧咬着嘴唇"
blanket the area,
border the place,
bring one's gifts,
build one's house,
bully people,
bury one's face,
carry a bomb,
catch crabs,
cause the trouble,
change one's mind,"na. 改变想法
 改变主意；变卦；改变心意"
cheat death, 逃脱死亡；诈死；欺骗死神
check the wind,
chill one's veins,
clear the land,"na. 驶离陆地；(船只)离岸出海；(船)离开陆地(以免触礁)
 负责清场；离开浅水地带；理清耕地"
climb the slope,
close the door, 关门；关上门；把门关上
clutch one's hand,
condemn a person,
conquer fear,
contain one's special gift,
control sth.,
cook a dish,
cost money, 费钱；花钱；花了多少钱
cover a place,
cover many miles,
cover the man,
cross a street,
cultivate the land,
cut one's hand,
deny the fact,
deposit money,"n. 银行活期存款
 存款货币；存钱；才是存钱"
destroy whole nations,
develop ways to,
dial the phone,
dig a well, 凿井；掘井；挖一口井
discuss issues,
do a thing,
do harm,"un. 闯荡；受伤；加害；不利
 有害处；伤害；为害"
dominate the whole Caribbean,
doubt their claim,
dry one's tears,擦干眼泪
eat delicious food,
eliminate the weeds,
employ workers,
encounter these learning moments,
entertain guests,
examine the blade of grass,
exchange a look,
exchange a grin,
experience those moments,
face life,
feed animals,
fell the tree,
fence the land,
fill one's pipe,
find no trace of,
find one's way ...,
fit the description,= answer(to) the description
fix the car,
fog one's mind,
follow the rules,
fondle the cloud,
fool me,
forget his folly,
freeze the world with fear,
fulfill our just aspirations,
gain strength,"na. 力量增加；(风力等)渐强
 充实力量；增加力量"
gather flowers,
get a telephone call,
get the same deal,
give a ball,举行舞会
give an example, 举例；举个例子；用于举例说明
grab his arm,
grasp one's hands,
grasp the significance,
grow peanut,
harvest the results,
haul leaves,
have a balance,
hit the creek again,
hitch many rides,
hold one's attention,
hold sth. in one's hand,
hold the boy,
hunt the grasshoppers,
inspect the car,
insult people,
invade a place,
invite sb.,
jerk one's head,
keep a pet, 养宠物；养一只宠物；饲养宠物
keep one's distance,"na. 避开
 保持疏远；不接近；保持一定距离"
lack care,
lift weights,"na. 举重
 练举重；提举重物；举哑铃"
light a cigar,
lighten the atmosphere,
litter the place,
locate the tall pine,
lose grip, 失去控制
lose one's way,"na. 迷路
 迷失方向；迷途；谁迷路"
lose the accent,
lower his rifle,
make a bed of boughs,
make a blanket of white darkness,
make a breakthrough, 突破；取得突破；取得重大突破
make a fire,"na. 生火
 生一堆火"
make a joke,"na. 说笑话
 开玩笑；开一个玩笑；讲笑话"
make an appointment,"n. 预约
 约会；预约挂号；约时间"
make an arrest,
make inventions,
make it,"na. 赶到；办成功；规定时间；性交
 做到；达到目的，获得成功"
make me a criminal,
make no answer,
make pies,
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
make the rules,
make threats,
make the center of the world,
master the whole Caribbean,
mat the tops,
meet my need,
mind one's own life,
need one's sleep,
nip the buds,
nourish the relationship,
obey the rules, 遵守规则；遵守规章；遵守规章制度
offer a reason,
open an account,"v. 开帐户
 开户；开账户；开户头"
open its petals,
order books,"na. 定货簿；(英国下院的)提议通告簿；命令簿
 订货本；订单簿；订货薄"
organize one's room,
outline the history,
paint lips or nails,
park one's car,
pay a price,"un. 付出…的代价；付出代价
 为所得付出代价；不守承诺的行为付出代价"
pay attention,"v. 注意
 专心；集中注意力；关注"
pierce one's heart,
pitch a tent,"na. 搭帐棚
 搭帐篷"
plan the journey,
plant rice,
play games, 做游戏；玩游戏；捣鬼
plough the field,
point a finger,
polish one's car,
prepare legal documents,
press the cut end,
produce fruit,
protect sb.,
prove the point,
pull the trigger,"na. 扳扳机
 扣扳机；扣动扳机；射击"
punish a person,
pursue hobbies,
quit walking,
raise one's muzzle,
raise one's head,"na. 抬一抬头(表示在座)
 仰起头；仰首；抬起头"
raise one's rifle,
raise the devil,"na. 起哄；引起麻烦；弄得非常热闹
 非常生气；兴风作浪；大声抱怨"
raise the gun,
raise the turkey,
reach the destination,
reach the house,
reap the rice,
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
refill the radiator,
release one's arm,
remember it,
remove the roots,
renew one's faith,
repeat warnings,
replace sth.,
represent one's interests,
require care,
ride a bike, 骑自行车；骑车；骑单车
risk their lives,
rob sb.,
rouse one's curiosity,
rub one's jaw,
rustle the leaves,
save some trouble,
save them,
say goodbye, 说再见；道别；告别
scatter the thread,
scold the child,
seal it,
see no end to the storm,
sew presents,
shake one's head,"na. 摇头
 表示异议；摇头是；摇摇头"
shake the air,
shelter people,
show ignorance,
show the various continents,
silence one's breathing,
sing a song, 唱歌；唱首歌；唱一首歌
smash a window,
smell the scent,
sow a cover crop,
spear fish,
spread one's wings, 展开翅膀
start a fire, 点火；生火；引起火灾
start a garden,
sting one's eyes,
stop the leaks,
store nuts for the winter,
strike a match,"na. 擦火柴
 划火柴；划一根火柴；擦根火柴"
strike oneself like a silver dagger,
study techniques,
sweep a hallway,
tackle a man,
take a nap,"na. 睡午觉；打一个瞌睡
 小睡一下；打盹；打个盹"
take a walk,"na. 散步
 散散步；去散步；音乐漫步"
take cheer,
take one's turn,"na. 轮流接替
 依次；轮到；轮班"
take sb. for life,
take one's chances, 冒险；抓住…的机会一试
take one's toll,
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
take responsibility, 承担责任；负责任；担负责任
take satisfaction in,"对…感到满足,乐于…."
take steps,"na. 采取措施
 采取步骤；设法；采取行动"
take the path,
take the trouble, 费力；不谦麻烦；不辞辛劳
tease sb.,
tell a story, 讲故事；说故事；讲述故事
tend the garden,
test the theory,
thin corn,
think the same thing,
throw a rock,
tie sth. on the tree,
till the soil,
touch one's heart,
trim the tree,
turn one's head,"un. 滔滔不绝；使冲昏头脑
 回头；使某人满意；回首"
uncork the bottle,
unfold the paper,
unlock the door,
upset the basket,
use fertilizers,
visit one's cousins,
waken love,
warn sb.,
waste time,"un. 损失时间
 浪费时间；蹉跎；耽误时间"
watch one's progress,
watch the effect,
water the lawn,
wave the gun,
wear a sweater,
wear an expression of,带有…的表情
wet one's lips,
would rather do sth.,
would rather do sth.,
'd rather do sth.,
wipe the sweat,
withdraw money, 取钱；提款；取款
wrap one's hand,
