abnormal,adj. 反常的，不规则的；变态的
prosperous,adj. 繁荣的；兴旺的
prosperity,n. 繁荣，成功
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
prominent,adj. 突出的，显著的；杰出的；卓越的
remarkable,adj. 卓越的；非凡的；值得注意的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
distinct,adj. 明显的；独特的；清楚的；有区别的
noteworthy,adj. 值得注意的；显著的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
conspicuous,adj. 显著的；显而易见的
pointed,"v. 指出；瞄准（point的过去式）
adj. 尖的；突出的；锐利的；率直的"
apparent,adj. 显然的；表面上的
obvious,adj. 明显的；显著的；平淡无奇的
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
glaring,adj. 耀眼的；瞪视的；炯炯的
overt,adj. 明显的；公然的；蓄意的
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
puzzled,adj. 困惑的；茫然的；搞糊涂的
perplexed,adj. 困惑的；不知所措的
bewildered,"v. 使困惑（bewilder的过去分词）
adj. 困惑的；眩"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
suspicious,adj. 可疑的；怀疑的；多疑的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
incredulous,adj. 怀疑的；不轻信的
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
meditation,n. 冥想；沉思，深思
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
chew over,"na. “chew upon”的变体
 仔细考虑；仔细商量；深思，细想"
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
grievance,n. 不满，不平；委屈；冤情
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
discontented,"adj. 不满的；不满意的
v. 不满意（discontent的过去式及过去分词）"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
latent,adj. 潜在的；潜伏的；隐藏的
implicit,adj. 含蓄的；暗示的；盲从的
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
indicate,vt. 表明；指出；预示；象征
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
imply,vt. 意味；暗示；隐含
denote,vt. 表示，指示
disclose,vt. 公开；揭露
unfold,"vi. 展开；显露
vt. 打开；呈现"
expose,vt. 揭露，揭发；使曝光；显示
stem from,"v. 出于；基于
 起源于；来自；源自"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
come from,"v. 来自；出身；归因于
 来自于；来源于；出生"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
element,n. 元素；要素；原理；成分；自然环境
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
induce,vt. 诱导；引起；引诱；感应
invite,"n. 邀请
vt. 邀请，招待；招致"
incur,vt. 招致，引发；蒙受
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
result in,"na. 终于(失败)
 导致；结果是；造成"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
generate,vt. 使形成；发生；生殖；产生物理反应
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
lead to,"na. 通向
 导致；引起；通往"
give rise to,"na. 惹起
 引起；导致；使发生"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
evoke,vt. 引起，唤起；博得
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
practical,adj. 实际的；实用性的
functional,adj. 功能的
pragmatic,adj. 实际的；实用主义的；国事的
economic,adj. 经济的，经济上的；经济学的
indignation,n. 愤慨；愤怒；义愤
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
townsfolk,n. 市民；镇民
citizen,n. 公民；市民；老百姓
resident,"n. 居民；住院医生
adj. 居住的；定居的"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
endorse,vt. 背书；认可；签署；赞同；在背面签名
back up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 倒退；后退；援助"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
approval,n. 批准；认可；赞成
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
undergo,vt. 经历，经受；忍受
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
be subjected to,"na. 受到；被…折磨
 遭受；服从；经受"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
sue,"vt. 控告；请求
vi. 控告；提出请求"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
indict,vt. 控告，起诉； 揭发
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
implead,v. 控告，起诉
complaint,n. 抱怨；诉苦；疾病；委屈
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
facilitate,vt. 促进；帮助；使容易
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
cultivate,vt. 培养；陶冶；耕作
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
motivate,vt. 刺激；使有动机；激发…的积极性
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
impetus,n. 动力；促进；冲力
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
confirm,vt. 确认；确定；证实；批准；使巩固
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
testify,"vi. 作证；证明
vt. 证明，证实；作证"
verify,vt. 核实；查证
certify,v. 证明；保证
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
point out,"na. 指出
 指明；说明；指示"
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
speculate,"vi. 推测；投机；思索
vt. 推断"
infer,"vi. 推断；作出推论
vt. 推断；推论"
constrain,vt. 驱使；强迫；束缚
restrain,vt. 抑制，控制；约束；制止
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
restrict,vt. 限制；约束；限定
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
distinctive,adj. 有特色的，与众不同的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
distinct,adj. 明显的；独特的；清楚的；有区别的
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
peculiar to, 特有的；独具的；独有的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
deride,vt. 嘲笑；嘲弄
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
make fun of ...,
inclination,n. 倾向，爱好；斜坡
tendency,n. 倾向，趋势；癖好
preference,n. 偏爱，倾向；优先权
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
prone to,"v. 易于
 倾向于；易于…的；倾于"
be apt to,"v. 易于；善于
 倾向于；有……倾向的；易于……的"
squint towards, 倾向于
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
coerce,vt. 强制，迫使
compel,vt. 强迫，迫使；强使发生
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
obligatory,adj. 义务的；必须的；义不容辞的
coercive,adj. 强制的；胁迫的；高压的
envisage,vt. 正视，面对；想像
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
assure,vt. 保证；担保；使确信；弄清楚
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
ensure,vt. 保证，确保；使安全
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
affirm,"vt. 肯定；断言
vi. 确认；断言"
allege,vt. 宣称，断言；提出…作为理由
pronouncement,n. 声明；宣告；公告；判决
assert,vt. 维护，坚持；断言；主张；声称
assertion,n. 断言，声明；主张，要求；坚持；认定
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
authorize,vt. 批准，认可；授权给；委托代替
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
confirm,vt. 确认；确定；证实；批准；使巩固
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
well-informed,adj. 消息灵通的；见多识广的；熟悉的；博学的
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
broad-minded,adj. 心胸开阔的；气量大的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
conceal,vt. 隐藏；隐瞒
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploration,n. 探测；探究；踏勘
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
entitled,"v. 给…权利；给…定书名；授…以荣誉（entitle的过去分词）
adj. 有资格的；给与名称的"
zeal,n. 热情；热心；热诚
passion,n. 激情；热情；酷爱；盛怒
warmth,n. 温暖；热情；激动
enthusiasm,n. 热心，热忱，热情
disputation,n. 争论；辩论；驳斥
argument,n. 论证；论据；争吵；内容提要
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
controversy,n. 争论；论战；辩论
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
opposition,n. 反对；反对派；在野党；敌对
disapproval,n. 不赞成；不喜欢
push back,"na. 推回
 后推；向后推；推迟"
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
disconcerting,adj. 令人不安的；打扰人的
worrisome,adj. 令人烦恼的，令人不安的；麻烦的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
execute,vt. 实行；执行；处死
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
enact,vt. 颁布；制定法律；扮演；发生
enforce,vt. 实施，执行；强迫，强制
enforcement,n. 执行，实施；强制
put into effect,"na. 实行
 生效；实施；使生效"
put into practice,"na. 实行
 实施；付诸实施；落实"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
punishment,n. 惩罚；严厉对待，虐待
penalty,n. 罚款，罚金；处罚
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
discontinue,"vt. 停止；使中止
vi. 停止，中断"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
depend on,"v. 依靠
 依赖；取决于；视……而定"
bank on,"na. 信赖
 指望；依赖；依靠"
rest on,"na. 被支持在…上；(目光等)停留在…上
 依靠；依赖；被搁在"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
motivation,n. 动机；积极性；推动
stimulus,n. 刺激；激励；刺激物
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
rounded,adj. 圆形的；全面的；丰满的
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
thoroughly,adv. 彻底地，完全地
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
norm,n. 标准，规范
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
criteria,n. 标准，条件（criterion的复数）
criterion,n. （批评判断的）标准；准则；规范；准据
touchstone,n. 试金石；（检验）标准
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
ethics,n. 伦理学；伦理观；道德标准
incite,vt. 煽动；激励；刺激
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
evoke,vt. 引起，唤起；博得
instigate,vt. 唆使；煽动；教唆；怂恿
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
emphasize,vt. 强调，着重
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
lay stress on,"na. 强调
 重视；着重于；注重"
leakage,n. 泄漏；渗漏物；漏出量
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
divulge,vt. 泄露；暴露
verdict,n. 结论；裁定
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgement,n. 意见；判断力； 审判；评价
adjudication,n. 裁定；判决；破产之宣告
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
decision,n. 决定，决心；决议
vague,adj. 模糊的；含糊的；不明确的；暧昧的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
ambiguous,adj. 模糊不清的；引起歧义的
non-committal,adj. 态度不明朗的；不承担义务的；无明确意义的
blurred,"v. 玷污；使…模糊不清；使感觉迟钝（blur的过去式和过去分词）
adj. 模糊不清的；被弄污的"
blurry,adj. 模糊的；污脏的；不清楚的
blurring,"n. 模糊
adj. 模糊的
vi. 模糊（blur的现在分词）"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
put off,"na. 延期；辩解
 推迟；拖延；推延"
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
obsessed,"adj. 着迷的；无法摆脱的
v. 着迷（obsess的过去式）；纠缠"
rapt,adj. 全神贯注的；入迷的
enchanted,"adj. 被施魔法的
v. 使着魔（enchant的过去式）"
captivate,vt. 迷住，迷惑
overrule,vt. 否决；统治；对…施加影响
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
trait,n. 特性，特点；品质；少许
peculiarity,n. 特性；特质；怪癖；奇特
speciality,n. 专业，专长；特性
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
convention,n. 大会； 惯例； 约定； 协定；习俗
tradition,n. 惯例，传统；传说
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
tolerate,vt. 忍受；默许；宽恕
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
undertake,vt. 承担，保证；从事；同意；试图
put up with,"na. 忍住
 忍受；容忍；忍耐"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
undergo,vt. 经历，经受；忍受
intervene,vi. 干涉；调停；插入
meddle,vi. 管闲事，干预他人之事
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
wade into,"na. 猛烈攻击；精神抖擞地开始
 精神饱满地开始；猛烈抨击；狼吞虎咽地吃"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
acknowledge,vt. 承认；答谢；报偿；告知已收到
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
reasonable,adj. 合理的，公道的；通情达理的
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
logical,adj. 合逻辑的，合理的；逻辑学的
rational,"n. 有理数
adj. 合理的；理性的"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
enhance,vt. 提高；加强；增加
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
impartial,adj. 公平的，公正的；不偏不倚的
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
righteous,adj. 正义的；正直的；公正的
unbiased,adj. 公正的；无偏见的
fair-minded,adj. 公正的；公平的
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
category,n. 种类，分类； 范畴
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
variety,n. 多样；种类；杂耍；变化，多样化
species,"n.  物种；种类
adj. 物种上的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
clause,n. 条款； 子句
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
treaty,n. 条约，协议；谈判
downturn,n. 衰退（经济方面）；低迷时期
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
recession,n. 衰退；不景气；后退；凹处
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
nose dive,"na. 俯冲；(价格等的)猛跌；(事业等的)骤衰
 暴跌；或一落千丈；暴泻"
steep fall,"un. 暴跌
 急跌；下降"
prohibit,vt. 阻止，禁止
forbid,vt. 禁止；不准；不允许；严禁
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
rectify,vt. 改正；精馏；整流
modify,"vt. 修改，修饰；更改
vi. 修改"
modification,n. 修改，修正；改变
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
alter,"vt. 改变，更改
vi. 改变；修改"
