plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
it is a shame to do sth.,
appeal to sb. to do sth.,
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
motto,n. 座右铭，格言；箴言
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
innumerable,adj. 无数的，数不清的
precious,adj. 宝贵的；珍贵的；矫揉造作的
scientific experiment,"un. 科学实验；科学仪器设备；科学试验
 科学实验一本通；科学实验法；科学班"
innovation,n. 创新，革新；新方法
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
conservatism,n. 保守主义；守旧性
business model, 商业模式；经营模式；营运模式
regression,n. 回归；退化；逆行；复原
entrepreneur,n. 企业家；承包人；主办者
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
chairman,n. 主席，会长；董事长
creativity,n. 创造力；创造性
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
watchword,n. 口号；标语；口令；暗号
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
be attached to,"na. 爱上；隶属于
 附属于；依恋；爱慕"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
put great emphasis on,
Sino-American,
thankful,adj. 感谢的；欣慰的
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
selfless,adj. 无私的；不考虑自己的
arrange accommodation for sb.,
show sb. around,"v. 带…参观
 带……参观；四处参观；领…参观"
at sb.'s convenience,
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
standards of living, 生活水平
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
subscription,n. 捐献；订阅；订金；签署
population growth,"un. 人口增长；种群增长
 人口成长；族群成长；族群增长"
developing country,"n. 发展中国家
 开发中国家；发展的国家；发展中的国家"
densely-populated,"na. 人口稠密的
 人口密集的"
developed country,"n. 发达国家
 已开发国家；已发展国家；经济发达国家"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
affordable,adj. 负担得起的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
zero growth,"na. 零增长
 零成长；零点增长；毫无增长"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
suggestion,n. 建议；示意；微量，细微的迹象
free time,"n. 余暇
 空闲时间；自由时间；业余时间"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
library,n. 图书馆，藏书室；文库
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
intense,adj. 强烈的；紧张的；非常的；热情的
curriculum,"n. 课程
总课程"
relaxation,n. 放松；缓和；消遣
hard work,"na. 难苦的工作
 努力工作；艰苦的工作；勤奋"
advisable,adj. 明智的，可取的，适当的
communication,n. 通讯， 通信；交流；信函
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
it is advisable that ...,
be engaged in,"na. 正做着
 从事于；忙于；从事……职业"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
market share,"n. 市场份额；市场占有率
 市占率；市场占用率；市场分额"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
undermine,vt. 破坏，渐渐破坏；挖掘地基
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
technical,adj. 工艺的，科技的；技术上的；专门的
reputation,n. 名声，名誉；声望
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
foundation,n. 基础；地基；基金会；根据；创立
intangible,adj. 无形的，触摸不到的；难以理解的
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
automobile,"n. 汽车
vt. 驾驶汽车
"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
homemade,adj. 自制的；国产的；像家里做的
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
continuous,adj. 连续的，持续的；继续的；连绵不断的
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
dishonest,adj. 不诚实的；欺诈的
credible,adj. 可靠的，可信的
significantly,adv. 显著地；相当数量地
behavior,n. 行为，举止；态度；反应
provide the foundation for ...,
provide the foundations for ...,
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
make a profit, 获利；赚钱；赚取利润
electronic dictionary,"un. 电子字典
 电子词典；电子辞典；快译通"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
text,"n.  文本；课文；主题
vt. 发短信"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
online store, 网上商店；在线商店；网店
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
appear,vi. 出现；显得；似乎；出庭；登场
every now and then,"na. 间或
 偶尔；有时；不时地"
job satisfaction,"n. 工作满足感
 工作满意度；工作的满意感；工作满意感"
worldly,"adj. 世俗的；世间的；尘世的
adv. 世俗地；世故地"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
unsatisfied,adj. 不满意的；未得到满足的
aim in life,
unsatisfaction, 不满意
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
frantically,adv. 疯狂似地；狂暴地
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
be under pressure from ...,
go to extremes,"na. 走极端
 走向极端；无所不用其极；采取极端措施"
be inclined to do sth.,
derive from,"v. 来自；起源于
 衍生；由来；来源于"
charity sale,"un. 义卖
 慈善义卖；义卖活动；义卖会"
good-quality,优质
footwear,n. 鞋类
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
sports ground,"un. 操场；运动场
 运动场地；体育馆或体育场；系运动场地"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
in need of help,
take part-time jobs,
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
work part-time,
accumulate,"vt. 积攒
vi. 累积；积聚"
be attributed to,"na. 被认为是…所为
 归于；归因于；被归因于"
hands-on experience, 实践经验；手动的经验；实际动手经验
keep a balance between ... and ...,
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
living habit,"un. 生活方式
 生活习惯；生活习性"
chaotic,adj. 混沌的；混乱的，无秩序的
ask for advice, 寻求建议；求教；征求建议
proposal,n. 提议，建议；求婚
instead,adv. 代替；反而；相反
hopefully,adv. 有希望地，有前途地
be harmful to ...,
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
the privilege of doing sth.,
stay up late,"un. 整晚不睡；守着；迟睡
 熬夜；熬夜到很晚；熬夜到很迟"
burn the midnight oil,"na. 干到深夜；开夜车
 挑灯夜战；熬夜；熬夜读书"
it is obvious that ...,
in regard to,"na. “in regard of”的变体
 关于；至于；对于"
get along,"na. 过日子；生活；团结；进步
 相处；进展；过活"
urban dweller,
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
noticeable,adj. 显而易见的，显著的；值得注意的
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
attractive,adj. 吸引人的；有魅力的；引人注目的
standard of living,"n. 生活水平
 生活标准；生活水准；生活水帄"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
no different,
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
what is more,"na. 加之
 而且；更重要的是；更有甚者"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
speech,n. 演讲；讲话； 语音；演说
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
ability,n. 能力，能耐；才能
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
participation,n. 参与；分享；参股
enrich,vt. 使充实；使肥沃；使富足
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
sense of responsibility, 责任感；责任心；责任意识
summer camp,"n. 夏令营
 夏天露营；暑期夏令营；夏令营活动"
campus,n. （大学）校园；大学，大学生活；校园内的草地
first of all,"na. 第一
 首先；首要；是首先的意思"
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
summer vacation,"n. 暑假
 暑期；夏日假期；放暑假"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
sign up with,
various,adj. 各种各样的；多方面的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
including,prep. 包含，包括
practical skill,实际技能
after-class lives,
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
develop interpersonal relationship,
pie chart,"n. 饼形图；饼分图
 饼图；饼状图；圆形图"
categories,n. 类别（category的复数）；分类
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
clearly,adv. 清晰地；明显地；无疑地；明净地
approximately,adv. 大约，近似地；近于
to start with,"na. 首先
 第一；作为开始；一开始"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
whereas,conj. 然而；鉴于；反之
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
percentage,n. 百分比；百分率，百分数
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
social event, 社会活动；社交活动；社交文化活动
special occasion, 特殊场合；适用于特殊场合穿着的鞋子；特别的场合
spending,"n. 花费；开销
v. 花费；度过（spend的现在分词形式）"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
gratitude,n. 感谢（的心情）；感激
Spring Festival Vacation,
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
absence,n. 没有；缺乏；缺席；不注意
respectively,adv. 分别地；各自地，独自地
in addition,"na. 加之
 另外；此外；又"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
memorable,adj. 显著的，难忘的；值得纪念的
statistics,n. 统计；统计学； 统计资料
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
for instance,"na. 例如
 比如；举例说；举例来说"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
aforementioned,adj. 上述的；前面提及的
in summary,"adv. 扼要
 总之；总结；总的来说"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
tendency,n. 倾向，趋势；癖好
a large number of,"adj. 极多；许多
 大量的；很多；表示大量的"
highest,adj. 最高的
summarize,"vt. 总结；概述
vi. 作总结；作概括"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
congratulation,n. 祝贺；贺辞
be forced to,"v. 被迫
 被迫做某事；不得不；迫不得已"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
translation,n. 翻译；译文；转化；调任
merely,adv. 仅仅，只不过；只是
literature,n. 文学；文献；文艺；著作
would like to,"v. 将乐意
 想要；愿意；想做"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
examination,n. 考试；检查；查问
translator,n. 译者；翻译器
first of all,"na. 第一
 首先；首要；是首先的意思"
what is more,"na. 加之
 而且；更重要的是；更有甚者"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
quite a number of,"adj. 不少
 相当多的；相当数目的"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
offer several conducive proposals,
it is vital to ...,
arouse interest, 引起兴趣；激发兴趣；唤起兴趣
in a bid to, 为了；试图；力求
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
social calendar,
respectively,adv. 分别地；各自地，独自地
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
incredible,adj. 难以置信的，惊人的
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
be susceptible to,"na. 对…敏感
 易受影响的；容易受到；易患"
Niagara Falls,
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
academic studies, 学术研究；学科；学术协会
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
admire the view,
relieve pressure, 减轻压力；缓解压力；舒缓压力
reduce stress, 减压；减少压力；减轻压力
quickening pace,
keep growing,
take into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
ever-increasing,adj. 不断增长的
in the forthcoming decade,
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
romantic relationship, 浪漫关系；浪漫的关系；罗曼蒂克的关系
presentation,n. 展示；描述，陈述；介绍；赠送
moral cultivation, 道德修养；自我道德修养；思想品德
compared with,"na. 和…比起来
 与……相比；比较；与……相比较"
temper refinement,
Westerner,
rather than,"na. 而不
 而不是；宁愿；与其"
pay more attention to, 更加注意；注重；更注重
logic reasoning, 逻辑推理；逻辑堆理；罗辑推理部分
harmonious relation,
lay much emphasis upon,
Nature and Man are one,
traditional Chinese ideology,
spiritual enlightenment,
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
fascination,n. 魅力；魔力；入迷
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
museum,n. 博物馆
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
activity,n. 活动；行动；活跃
visitor,n. 访问者，参观者；视察者；候鸟
fundamental reason,
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
markedly,adv. 明显地；显著地；引人注目地
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
regional,adj. 地区的；局部的；整个地区的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
veritable,adj. 真正的，名副其实的
meanwhile,"adv. 同时，其间
n. 其间，其时"
statistics,n. 统计；统计学； 统计资料
paradise,"n. 天堂
至福境地"
educational,adj. 教育的；有教育意义的
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
dozens of,"adj. 许多
 几十；几十个；很多"
cultural,adj. 文化的；教养的
attraction,n. 吸引，吸引力；引力；吸引人的事物
adult,"n. 成年人
adj. 成年的；成熟的"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
at a reasonable cost,
in summary,"adv. 扼要
 总之；总结；总的来说"
look forward to,"na. 盼望
 期待；期望；期盼"
travel plan, 旅行计划；旅游计划；旅游计画
unfortunately,adv. 不幸地
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
infection,n. 感染；传染；影响；传染病
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
require,vt. 需要；要求；命令
would like to,"v. 将乐意
 想要；愿意；想做"
surgery,n. 外科；外科手术；手术室；诊疗室
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
departure,n. 离开；出发；违背
arrangement,n. 布置；整理；准备
stick with, 坚持；继续支持；坚持做
apology,n. 道歉；谢罪；辩护；勉强的替代物
the United States,"na. 美利坚合众国
 美国；联合国；是美利坚合众国的简称"
Harvard University,"n. 哈佛大学
 美国哈佛大学；毕业于哈佛大学；哈弗大学"
be diagnosed with, 被诊断为；被诊断出；被诊断为什么病
pie chart,"n. 饼形图；饼分图
 饼图；饼状图；圆形图"
respectively,adv. 分别地；各自地，独自地
pay attention to,"na. 注意
 重视；对……注意；关心"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
menu,"n. 菜单
饭菜"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
percentage,n. 百分比；百分率，百分数
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
consumer,n. 消费者；用户，顾客
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
in a bid to, 为了；试图；力求
merely,adv. 仅仅，只不过；只是
an increasing number of,越来越多的…
restaurant,n. 餐馆； 饭店
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
category,n. 种类，分类； 范畴
summarize,"vt. 总结；概述
vi. 作总结；作概括"
care about,"v. 在意
 关心；在乎；担心"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
economic growth,"un. 经济增长
 经济成长；经济发展；经济增长率"
speedy development,
environment,n. 环境，外界
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
keep growing,
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
decade,n. 十年，十年期；十
the above-mentioned phenomenon,
develop interpersonal relationships,
enjoy a comfortable life,
take account of sth.,
attach great importance to sth.,
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
city traffic, 城市交通；城市交通图片
mobility,n. 移动性；机动性； 迁移率
specific topic,
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
private car,"un. 私人汽车；服务车
 私家车；私人轿车；企业自备车"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
maintain,vt. 维持；继续；维修；主张；供养
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
traffic congestion,"na. 交通拥塞
 交通拥挤；交通堵塞；交通挤塞"
hot topic, 热门话题；热点；热点话题
frustration,n. 挫折
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
controversy,n. 争论；论战；辩论
arrangements,n. 安排；准备；整理（arrangement的复数）
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
a blessing or a curse,
object to,"na. 反对
 反对某事；不赞成；我反对"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
cancel out,"v. 相约；相消；抵消
 取消；抵偿；抵销"
Students' Recreational Center,
statistics,n. 统计；统计学； 统计资料
competition,n. 竞争；比赛，竞赛
bar chart,"n. 条形统计图
 条形图；柱状图；棒形图"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
percentage,n. 百分比；百分率，百分数
job market,"un. 工作市场
 就业市场；人才市场；劳务市场"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
increasingly grim,
a certain university,
in addition,"na. 加之
 另外；此外；又"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
undergo an enormous change,
further studies,
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
during this period,
compete for a rewarding job,
obtain employment,"na. 就业
 从业；就业工作；找到工作"
decline sharply,
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
whereas,conj. 然而；鉴于；反之
time management ability,
further one's education,
pioneering spirit,"un. 开拓精神
 首创精神；创业精神；闯的精神"
benefit sth. greatly,
increase markedly,
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
respectively,adv. 分别地；各自地，独自地
career goal, 职业目标；事业目标；工作目标篇
tendency,n. 倾向，趋势；癖好
financial status,"un. 财务状况；财政状况
 财务状况调查；公司财务情况；财务状态"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
personal preference, 个人取向；个人喜好；个人偏好
major contributor,
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
start one's own business,
from my perspective,
trace sth. back to sth.,
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
when it comes time for sb. to do sth.,
make the optimal choice,
