fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
rearmament,n.  重整军备；改良装备
reassure,vt. 使…安心，使消除疑虑
rebate,"n. 折扣
vt. 减少；打折扣
vi. 退还部分付款，打折扣"
recapture,"vt. 夺回；拿回；再体验；政府征收再经历
n. 夺回；取回；政府对公司超额收益或利润的征收"
reciprocity,n. 相互作用（复数reciprocities）；相互性；互惠主义
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
recompense,"n. 赔偿；报酬
vt. 赔偿；酬谢
vi. 赔偿"
reconciliation,n. 和解；调和；和谐；甘愿
recourse,n. 求援，求助； 追索权；依赖；救生索
rectification,n. 改正，矫正； 精馏； 整流； 求长
rectify,vt. 改正；精馏；整流
rectitude,n. 公正；诚实；清廉
redbrick,"n. 新大学；十九世纪在伦敦之外成立的大学
adj. 新大学的"
redemption,n. 赎回；拯救；偿还；实践
redolent,adj. 芬芳的；有…香味的；令人想起…的
redraw,vt. 重画
redress,"n. 救济；赔偿；矫正
vt. 救济；赔偿；纠正；重新调整"
reductio ad absurdum,n. <拉>归谬法，间接证明法，反证法（说明某一命题的反面为不可能或荒谬，以证明该命题为正确）
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
reedy,adj. 芦苇丛生的；芦苇做的；芦苇状的；似笛声的
re-examine,vt. 再检验
refurbish,vt. 刷新；再磨光
refutation,n. 反驳；驳斥；辩驳
regal,adj. 帝王的；王室的；豪华的；庄严的
regarding,prep. 关于，至于
regatta,n. 赛舟会；平底船比赛
regeneration,n.  再生，重生；重建
registrar,n. 登记员；注册主任；专科住院医师
registry,n. 注册；登记处；挂号处；船舶的国籍
regress,"n. 回归；退回
vi. 逆行，倒退；复归
vt. 使…倒退"
regressive,adj. 回归的；后退的；退化的
regularity,n. 规则性；整齐；正规；匀称
relent,"v. 再借给（relend的过去分词）
vt. 使变温和；减轻
vi. 变温和，变宽厚；减弱；缓和"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
remedial,adj. 治疗的；补救的；矫正的
remembrance,n. 回想，回忆；纪念品；记忆力
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
remittance,n. 汇款；汇寄之款；汇款额
remnant,"n. 剩余
adj. 剩余的"
remorse,n. 懊悔；同情
remorseful,adj. 懊悔的；悔恨的
remorseless,adj. 冷酷的；不知过错的；坚持不懈的；不屈不挠的
remunerate,vt. 酬劳；给与报酬；赔偿
remuneration,n. 报酬；酬劳，赔偿
rend,"vt. 撕碎；分裂；强夺
vi. 将……撕开；使……分离"
rendezvous,"n. 约会；约会地点；集结地
vi. 会合；约会
vt. 在指定地点与…相会"
renegade,"n. 叛徒；变节者；脱党者
vi. 背叛；脱离
adj. 叛徒的；背弃的；脱离的"
renunciation,n. 放弃；脱离关系；拒绝承认；抛弃；弃权
reorient,vt. 使适应；再调整
repairable,adj. 可修理的；可挽回的；可补偿的
reparation,n. 赔偿；修理；赔款
repentance,n. 悔改；后悔
repercussion,n. 反响；弹回；反射；浮动诊胎法；令人不满意的后果
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
repine,vi. 抱怨；不满
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
repression,n. 抑制， 压抑；镇压
reprove,"vt. 责骂；谴责；非难
vi. 责备；指责；非难"
repudiate,vt. 拒绝；否定；批判；与…断绝关系；拒付
repulsion,n. 排斥；反驳；反感；厌恶
repulsive,adj. 排斥的；令人厌恶的；击退的；冷淡的
reputable,adj. 声誉好的；受尊敬的；卓越的
requiem,n. 安魂曲；追思弥撒
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
requisition,"n. 征用；要求；申请书；引渡要求
vt. 征用；申请领取"
reservist,n. 在乡军人；后备军人
resigned,"v. 辞职；顺从（resign的过去分词）
adj. 顺从的；已辞职的；己放弃的"
resilience,n. 恢复力；弹力；顺应力
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
resinous,adj. 树脂的；树脂质的
respectability,n. 体面；可尊敬；有社会地位
resplendent,adj. 光辉的；华丽的
restful,adj. 宁静的；安静的；给人休息的
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
resurgent,"n. 复活者
adj. 复活的；复苏的"
resurrect,"vt. 使复活；复兴；挖出
vi. 复活"
resurrection,n. 复活；恢复；复兴
resuscitation,n. 复苏；复兴；复活
retainer,n. 保持器；家臣；保持者； 护圈；预付费用
retention,n. 保留；扣留，滞留；记忆力；闭尿
retrievable,adj. 可取回的；可补偿的；可检索的
retrieval,n. 检索；恢复；取回；拯救
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
revamp,"n. 改进；换新鞋面
vt. 修补；翻新；修改"
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
revere,vt. 敬畏；尊敬；崇敬
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
reverent,adj. 虔诚的；恭敬的；尊敬的
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
revoke,"n. 有牌不跟
vt. 撤回，取消；废除
vi. 有牌不跟"
revulsion,n. 剧变；厌恶；强烈反感；抽回
rhinoceros,n.  犀牛
ribald,"n. 言谈粗俗的人；说下流话的人
adj. 下流的；言谈粗俗的"
rickets,n.  佝偻病
rickety,adj. 摇晃的；虚弱的；患佝偻病的
rickshaw,n. （等于ricksha）人力车；黄包车
righteous,adj. 正义的；正直的；公正的
rigmarole,"n. 冗长的废话
adj. 冗长的"
rind,"n. 壳；外皮
vt. 剥壳；削皮"
rink,"n. 溜冰场，室内溜冰场；冰球场
vi. 溜冰"
rip-roaring,adj. 吵闹的；喧嚣的
roach,n. （美）蟑螂； 斜齿鳊
robust,adj. 强健的；健康的；粗野的；粗鲁的
rocker,n. 摇杆；摇的人；镰刀弯；套钩；摇轴
rodeo,"n. 竞技表演；竞技者
vi. 竞技"
roger,"n. 罗杰（男子名）
int. 好；知道了"
rolling-stock,n. 全部车辆
rookie,"n. 新手
新人"
roost,"n. 栖木；鸟窝；群栖的禽鸟
vi. 栖息；安歇
vt. 使…栖息；为…提供歇息处"
rosette,n. 莲座丛；玫瑰形饰物； 圆花饰
rostrum,n. 讲坛；演讲者；嘴；喙
rota,n. 值班名册；轮值表
rotor,n.  转子；水平旋翼；旋转体
roughen,"vt. 使粗糙
vi. 变粗糙"
roulette,"n. 轮盘赌；刻骑缝孔的点线机；（邮票的）骑缝孔；旋轮线
vt. 给…滚压骑线孔"
rounders,n. 一种类似棒球的儿童游戏
roundup,n. 综述；集拢；围捕；摘要
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
rowdy,"n. 粗暴的人；好吵闹的人
adj. 吵闹的；粗暴的"
royalist,"n. 保皇主义者；保皇党人
adj. 保皇主义的；保皇党人的"
rubble,n. 碎石，碎砖；粗石堆
rubdown,n. 按摩，摩擦身体；磨平
ruddy,"adj. 红的；红润的
vt. 使变红
adv. 极度；非常
vi. 变红"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
rue,"n. 芸香；后悔
vt. 后悔；懊悔
vi. 后悔；悲伤"
ruffian,"n. 恶棍；流氓；无赖
adj. 残暴的；凶恶的；无法无天的"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
rugger,n. 英式橄榄球
ruinous,adj. 破坏性的，毁灭性的；零落的
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
russet,"n. 赤褐色，黄褐色；冬季粗皮苹果（黄色苹果之一种）
adj. 黄褐色的，赤褐色的"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
Sabbath,n. 安息日
sabbatical,"n. 休假（美国某些大学给大学教师每七年一次的）
adj. 安息日的"
saboteur,n. 怠工者，破坏者；从事破坏活动者
sabre,"n. 军刀；马刀；击剑或决斗用的长剑
vt. 用马刀砍（等于saber）"
sacrament,"n. 圣礼；圣餐；神秘的事物
vt. 立誓"
sacrilegious,adj. 该受天谴的，亵渎神明的
sadism,n. 虐待狂；性虐待狂；病态的残忍
sagacious,adj. 睿智的，聪慧的；有远见的，聪慧的
sagacity,n. 睿智；聪敏；有远见
sailcloth,"n. 帆布
篷布"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
salivary,adj. 唾液的；分泌唾液的
salivate,"vt. 使流涎；使过量分泌唾液
vi. 分泌唾液；流口水"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
salvo,"n. 齐射；齐鸣；齐声欢呼喝彩；保留条款；遁辞
vt. 齐鸣
vi. 齐鸣"
samba,"n. 桑巴舞（巴西交谊舞）
vi. 跳桑巴舞"
sanctification,n. 神圣化，神灵化
sanctify,vt. 使圣洁；使神圣化；把…奉献给神；认可
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
sarong,n. 围裙；马来群岛土人所穿的围裙
satiation,n. 饱满；饱食；满足；厌腻
satyr,n. 好色之徒；萨梯（希腊神话中森林之神）；眼蝶科
savagery,n. 野性；野蛮人；原始状态
savant,n. 学者；专家
savour,"n. 滋味；风味
vt. 具有…的特点；加调味品于；使有风味"
savor,"n. 滋味；气味；食欲
vt. 尽情享受；使有风味；加调味品于；品尝，欣赏
vi. 有…的滋味；带有…的性质"
saxophone,n. 萨克斯管
scab,"n. 痂；疤；疥癣；恶棍
vi. 结痂；生疙瘩；破坏罢工
vt. 把…称为工贼"
scaffold,"n. 脚手架；鹰架；绞刑台
vt. 给…搭脚手架；用支架支撑"
scallop,"n. 扇贝，干贝
vt. 使成扇形
vi. 拾扇贝"
scalpel,n. 解剖刀；外科手术刀
scaremonger,n. 散布谣言的人
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
scatterbrain,n. 注意力不集中的人
scavenge,"vt. 打扫；排除废气；以…为食
vi. 清除污物；打扫"
scavenger,n. 食腐动物；清道夫； 清除剂；拾荒者
schema,n.  模式；计划；图解；概要
schematize,vt. 系统化；计划；扼要表示
scholarly,adj. 博学的；学者风度的；学者派头的
scholastic,"adj. 学校的；学者的；学术的（等于scholastical）
n. 学者；学生；墨守成规者；经院哲学家"
scintillation,n. 闪烁；发出火花；才华横溢
scoring,"n. 得分；刻痕；总谱
adj. 得分的
v. 得分（score的ing形式）；刻痕；记下"
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
scrawny,adj. 骨瘦如柴的
screech,"n. 尖叫声，尖利刺耳的声音；尖声喊叫
vt. 尖着声音讲或喊
vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声"
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
scrounge,"n. 讨要；索要
vt. 搜寻；乞讨；骗取
vi. 搜寻；乞讨"
scrum,"n. 扭打，混乱；并列争球
vt. 抛（球）开始并列争球
vi. 参加并列争球"
scruple,"n. 微量；顾虑；踌躇
vi. 有顾忌；踌躇
vt. 对…有顾虑"
scrutinise,"vt. 详细检查，细看(scrutinize)
vi. 作详细检查，细阅"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
scuba,n. 水肺；水中呼吸器
scuffle,"n. 混战；扭打
vi. 扭打；乱斗；拖着脚走路"
scum,"n. 浮渣；泡沫；糟粕
vi. 产生泡沫；被浮渣覆盖
vt. 将浮渣去除掉"
scupper,"n. 排水口；水性杨花的女人
vt. 使船沉没；突袭"
scurf,n. 头皮屑
scurry,"vi. 急赶；急跑
n. 急跑；短距离赛跑（或赛马）
vt. 急赶"
seaward,"n. 临海位置；朝海方向
adv. 向海；往海那边
adj. 向海的；朝海的"
secession,n. 脱离；分离
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
secrete,vt. 藏匿；私下侵吞；分泌
sectarian,"n. 属于宗派的人；宗派心强的人；宗派主义者
adj. 宗派的；偏狭的；党派心强的"
sedative,"n.  镇静剂；能使安静的东西；止痛药
adj. 使镇静的；使安静的"
seduce,vt. 引诱；诱惑；诱奸；怂恿
seduction,n. 诱惑；魅力；（复数）诱惑物
seductive,adj. 有魅力的；性感的；引人注意的
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
selenium,n.  硒
self-annihilation,"自我消失(与神合为一体)
自毁，自杀"
self-effacing,adj. 谦让的；谦逊的；不出风头的
self-fulfilling,adj. 实现自己抱负的，自我实现的
self-made,adj. 自制的；自力更生的；自造的
self-opinionated,adj. 固执己见的；自负的
self-possessed,adj. 镇静的；冷静的；有自制力的
self-preservation,n. 自卫本能，自我保护；自我保存
self-styled,adj. 自称的，自封的
self-willed,adj. 任性的；顽固的
semantic,adj. 语义的；语义学的（等于semantical）
semantics,n.  语义学；语义论
semblance,n. 外貌；假装；类似
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
senatorial,adj. 参议院的；参议员的
senility,n.  衰老；高龄；老态龙钟
sensor,n. 传感器
sensory,adj. 感觉的；知觉的；传递感觉的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sensuous,adj. 感觉上的，依感观的；诉诸美感的
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
separatist,"n. 分离主义者；独立派
adj. 分离主义者的"
sepulcher,"n. 坟墓；圣物置放处
vt. 埋葬"
sequel,n. 续集；结局；继续；后果
serrated,"adj.  锯齿状的，有锯齿的
v. 使有锯齿（serrate的过去分词）"
serum,n. 血清；浆液；免疫血清；乳清；树液
serviceable,adj. 有用的，可供使用的；耐用的
servility,n. 奴性；奴态；卑屈
set-piece,"n. 定位进攻
a. 事先精心安排的"
setter,n.  调节器；作曲者；排字工人；安装员，从事安装的人
sexism,n. （针对女性的）性别歧视；男性至上主义
sexist,"n. 性别歧视者；男性至上主义者
adj. 性别主义者的；性别歧视者的"
shack,"n. 棚屋；小室
vi. 居住"
shag,"n. 粗毛；粗烟丝；蓬乱一团
adj. 有粗毛的；蓬乱的
vt. 使杂乱；使蓬松
vi. 蓬松"
shaggy,adj. 蓬松的；表面粗糙的；毛发粗浓杂乱的
shanghai,
shapely,adj. 定形的；形状美观的；样子好的；有条理的
sheaf,"n. 捆；束；扎
vt. 捆；束；扎"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
sheen,"n. 光辉，光泽，光彩
adj. 光辉的；有光泽的；华丽的
vi. 闪耀；发光"
sheepish,adj. 羞怯的；懦弱的
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
shoal,"n. 浅滩，沙洲；鱼群；潜在危险
vi. 变浅
vt. 使变浅；驶入
adj. 浅的"
shoddy,"n. 赝品；冒牌货；假装粗俗
adj. 假冒的；劣质的；卑劣的"
shortchange,vt. （找钱时故意）少找零头，欺骗
shortfall,n. 差额；缺少
showy,adj. 艳丽的；炫耀的；显眼的
shrew,n. 泼妇，悍妇
shrinkage,n. 收缩；减低
shrivel,"vt. 使枯萎；使皱缩；使束手无策
vi. 枯萎；皱缩"
shrubbery,n. 灌木； 灌木林
shrubby,adj. 灌木的；灌木繁茂的；灌木一般的
sic,adv. （拉）原文如此（通常放在括号内）
sickbay,n. 船上的医务室
sickening,adj. 令人厌恶的；患病的
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
sidestep,"n. 台阶；横跨的一步
vt. 回避；横跨一步躲避
vi. 回避问题；侧向跨步"
sidle,"n. 侧走；挨近
vt. 侧身而行；悄悄贴近
vi. 侧身而行；悄悄贴近"
sierra,n.  锯齿山脊；呈齿状起伏的山脉
signet,"n. 印；图章
vt. 盖章于"
silage,"n. 青贮饲料
vt. 青贮；把...放入青贮窖"
silhouette,"n. 轮廓，剪影
vt. 使…照出影子来；使…仅仅显出轮廓"
silica,n. 二氧化硅； 硅土
simmer,"vt. 炖
vi. 炖；内心充满；即将爆发
n. 炖；即将沸腾的状态；即将发作"
simpleton,n. 傻子；笨蛋
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
sinuous,adj. 蜿蜒的；弯曲的；迂回的
siphon,"n. 虹吸管
vt. 用虹吸管吸出；抽取
vi. 通过虹吸管"
sirloin,n. 牛的上部腰肉；牛里脊肉
sizeable,adj. 大的，相当大的
skid,"n. 打滑； 刹车；滑轨，滑动垫木
vt. 刹住，使减速；滚滑
vi. 打滑"
skimmer,n. 漏杓；燕鸥类；大略阅读的人；撇去浮沫的器具
skin-diving,"n. 赤身潜水
v. 裸潜（skin-dive的ing形式）"
skinny,"n. 机密情报；内部消息；小道消息
adj. 皮的；皮包骨的；紧身的；小气的"
slag,"n. 炉渣；矿渣；熔渣
vt. 使成渣；使变成熔渣
vi. 变熔渣"
slanderous,adj. 诽谤的；诽谤性的；中伤的
slangy,adj. 俚语的；俗话多的；好用俚语的
slat,"n. 板条；狭板
vt. 用板条做或装备；用条板制造"
sleeper,n. 卧车；卧铺；枕木；睡眠者
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
slime,"n. 黏液；烂泥
vt. 涂泥
vi. 变粘滑"
slink,"n. 早产的动物；鬼鬼祟祟的人
vt. 早产；潜逃
vi. 潜逃；溜走
adj. 早产的"
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
sliver,"n. 梳毛，梳棉；裂片
vt. 使成薄片；使裂成小片
vi. 成为薄片；裂成小片"
slouch,"n. 下垂；笨拙的人，懒散的人；懒散的样子
vt. 使下垂
vi. 没精打采地站；耷拉"
slug,"n. 鼻涕虫；动作缓慢的人；金属小块
vt. 重击
vi. 偷懒；动作迟缓"
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
smoulder,"n. 闷烧
vi. 闷烧；郁积"
smolder,"n. 阴燃；闷烧
vi. 闷烧；郁积"
snag,"n. 障碍；意外障碍；突出物
vt. 抓住机会；造成阻碍；清除障碍物
vi. 被绊住；形成障碍"
sniffle,"n. 鼻塞声；不断的吸鼻子（等于snuffle）
vi. 抽鼻涕；抽噎（等于snuffle）"
snipe,"n. 狙击； 鹬；香烟屁股；被开玩笑的人物
vi. 狙击； 伏击；抨击；猎鸟；诽谤
vt. 狙击"
sniper,n. 狙击兵
snivel,"n. 流鼻涕；啜泣
vi. 流鼻涕；哭泣"
snooty,adj. 傲慢的，自大的；目中无人的
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
snout,n. 鼻子；猪嘴；烟草；鼻口部；口吻状物
snub,"n. 冷落；斥责；突然的停止
vt. 冷落；严厉斥责；掐灭
adj. 制动用的；短扁上翘的"
snuff,"n. 鼻烟；烛花；灯花
vt. 剪烛花；掐灭；消灭；嗅出
vi. 扑灭；断气；嗅"
sobriety,n. 清醒，冷静；节制；严肃
soggy,adj. 浸水的；透湿的；沉闷的
sol,
solemnity,n. 严肃；庄严；一本正经
soliloquy,n. 独白；自言自语
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solvency,n. 偿付能力；溶解力
somber,adj. 忧郁的；昏暗的；严峻的；阴天的
sonata,n. 奏鸣曲
sophist,n. 诡辩家；学者，哲学家
sortie,n. 出击；突围
spaniel,"n. 西班牙猎犬；恭顺的人
vt. 向…摇尾乞怜
vi. 嬉戏"
spar,"n.  晶石；圆材（如桅、桁等）；争论；拳斗
vt. 装圆材于
vi. 争论；拳击"
sparingly,adv. 节俭地；保守地；爱惜地
spasm,n.  痉挛；抽搐；一阵发作
spasmodic,adj. 痉挛的，痉挛性的；间歇性的
spate,n. 洪水；一阵；大雨；突然迸发
spatial,adj. 空间的；存在于空间的；受空间条件限制的
spatter,"n. 溅；洒；泼溅的污迹；少量
vt. 溅；洒；污蔑
vi. 洒落；溅出水滴"
speckle,"n. 斑点
vt. 弄上斑点；点缀"
spectre,n. 幽灵；妖怪；鬼性（等于specter）
spectrum,n. 光谱；频谱；范围；余象
spindle,"n. 轴；纺锤，锭子；细长的人或物
adj. 锭子的，锭子似的；细长的
vt. 装锭子于
vi. 长得细长，变细长"
spinner,n. 纺纱机；纺纱工人；旋床工人；旋式诱饵
spirituality,n. 灵性；精神性
splutter,"n. 劈啪声；急忙说出的话；杂乱的声音
vt. 喷溅；气急败坏地说
vi. 喷溅唾沫；语无伦次地说"
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
spore,"n. 孢子
vi. 长孢子"
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
squalid,adj. 肮脏的；污秽的；卑劣的
squall,"n. 暴风；麻烦；高声哭喊；尖叫
vt. 尖声叫着；大声哭喊；起风暴
vi. 嚎啕；尖叫"
squalor,n. 肮脏；悲惨；卑劣；道德败坏
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
squawk,"n. 抗议；叫声；诉苦；故障
vt. 粗声叫出；诉苦
vi. 抗议；发出响而粗的叫声；大声抱怨"
squeal,"n. 尖叫声
vt. 告密；长声尖叫
vi. 告密；尖声地说"
squeamish,adj. 易呕吐的；易生气的；神经质的；过于拘谨的；洁癖的
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
staccato,"n. 断奏，断音
adj. 断奏的，断音的
adv. 不连贯地"
stag,"n. 牡鹿；不带女伴的舞客；阉割过的雄鹿
adj. 全是男人的
vi. 不带女伴参加晚会"
staid,adj. 固定的；沉着的；沉静的；古板的，保守的
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
stallion,n. 种马；成年公马
stalwart,"n. 坚定分子
adj. 坚定的；健壮的"
stamina,n. 毅力；精力；活力；持久力
stance,n. 立场；姿态；位置；准备击球姿势
stanza,n. 演出期；局；场；诗的一节
starboard,"n. 右舷
adj. 右舷的
vt. 向右转舵
vi. 向右转舵"
stardom,n. 演员们；明星界；明星身份
stately,adj. 庄严的；堂皇的，宏伟的
stealth,n. 秘密；秘密行动；鬼祟
stealthily,adv. 暗地里
steely,adj. 似钢的，钢铁般的；钢制的；严格的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
stereotypically,adv. 带有成见地
stethoscope,"n.  听诊器
vt. 用听诊器诊断"
stile,n. 阶梯
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
stint,"n. 节约；定额，定量
vt. 节省；限制
vi. 紧缩，节省"
stipend,n. 奖学金；固定薪金；定期津贴；养老金
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
stirrup,n.  箍筋；马镫；镫形物
stoic,
stoical,adj. 坚忍的；禁欲的；斯多葛学派的
stoke,"vt. 拨旺火；使饱吃一顿
vi. 烧火；做司炉工；大吃大喝"
stoppage,n. 停止；故障；罢工；堵塞；扣留
stow,vt. 装载；收藏；使暂留；堆装
straggle,"n. 散乱
vi. 迷路；落伍，掉队；四散，蔓延"
straitlaced,"adj. 严格的；固执的；刻板的
v. 用系带缚紧（straitlace的过去式）"
stratify,"vt. 分层；成层；使形成阶层
vi. 分层；成层；阶层化"
stratum,n. （组织的）层； 地层；社会阶层
stressful,adj. 紧张的；有压力的
strew,vt. 散播；撒满
stricture,n. 狭窄；苛评；非难
strident,adj. 刺耳的；尖锐的；吱吱尖叫的；轧轧作响的
stringent,adj. 严格的；严厉的；紧缩的；短缺的
strontium,n.  锶
strut,"n. 支柱；高视阔步
vt. 炫耀；在…上趾高气扬地走；给…加支撑
vi. 高视阔步；趾高气扬地走"
stubble,n. 残株；发茬，须茬
studious,adj. 用功的；热心的；专心的；故意的；适于学习的
stuffy,adj. 闷热的；古板的；不通气的
stupefaction,n. 麻醉；昏迷；麻木状态
stupendous,adj. 惊人的；巨大的
subjection,n. 隶属；服从；征服
subjectivity,n. 主观性，主观
substantiate,vt. 证实；使实体化
substantive,"n. 名词性实词；独立存在的实体
adj. 有实质的；大量的；真实的；独立存在的"
suburbanite,n. 郊区居民
subversion,n. 颠覆；破坏
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
sufferable,adj. 可忍耐的；可容忍的；可忍受得了的
sufferance,n. 容许；忍耐；默许
suitor,n. 求婚者；请愿者； 起诉人
sulk,"n. 生气；愠怒；生气的人
vi. 生气；愠怒"
sully,"vt. 玷污；使丢脸
n. 污点，损伤"
sulphurous,adj. 含硫磺的；地狱般的
sultry,adj. 闷热的；狂暴的；淫荡的
sumptuous,adj. 华丽的，豪华的；奢侈的
sundry,"n. 杂货；杂项
adj. 杂的；各式各样的"
sunken,"adj. 沉没的；凹陷的；比周围低的
v. 沉没（sink的过去分词）；下沉"
superimpose,vt. 添加；重叠；附加；安装
superintend,"vt. 监督；管理；主管；指挥
vi. 监督；主管；指挥"
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
supplant,vt. 代替；排挤掉
supple,"adj. 柔软的；灵活的；顺从的；易弯曲的；逢迎的
vt. 使柔软；使顺从
vi. 变柔顺；变柔软"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
supposition,n. 假定；推测；想像；见解
supremacy,n. 霸权；至高无上；主权；最高地位
surreal,adj. 超现实主义的；离奇的；不真实的
surrealist,"n. 超现实主义者
adj. 超现实主义的"
surreptitious,adj. 秘密的；鬼鬼祟祟的；暗中的
surrogate,"n. 代理；代用品；遗嘱检验法官
adj. 代理的；替代的
vt. 代理；指定某人为自己的代理人"
susceptibility,n. 敏感性；感情；磁化系数
swagger,"n. 大摇大摆；吹牛；威吓；下摆散开状的女式短大衣
vi. 大摇大摆；吹牛；虚张声势吓人
vt. 吓唬；趾高气扬地行走或行事
adj. 炫耀的；时髦的"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
swathe,"n. 带子，绷带；包装品
vt. 包围；紧绑；裹"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
swine,n. 猪；卑贱的人
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
swivel,"n. 转环；转椅座架
vt. 使旋转
vi. 旋转"
synoptic,adj. 天气的；概要的；对观福音书的
