intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
specifically,adv. 特别地；明确地
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
underuse,vt. 未充分利用；使用...不当
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
within,"prep. 在…之内
n. 里面
adv. 在内部"
bun,"n. 小圆面包
屁股
圆髻"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
unexplored,adj.  未勘查过的
attune,vt. 使协调；使合拍；为…调音；调合波长
adult,"n. 成年人
adj. 成年的；成熟的"
asocial,adj. 自私的；不合群的；缺乏社交性的
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
horticultural,adj. 园艺的
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
ample,adj. 丰富的；足够的；宽敞的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
republic,n. 共和国；共和政体
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
burse,n. 钱包；（大学 ）奖学金
cliff,n. 悬崖；绝壁
depress,vt. 压抑；使沮丧；使萧条
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
formula,n.  公式，准则；配方；婴儿食品
instead,adv. 代替；反而；相反
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
climate,n. 气候；风气；思潮；风土
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
procreation,n. 生殖；生产
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
request,"n. 请求；需要
vt. 要求，请求"
sit,"vi. 坐；位于
vt. 使就座"
tribe,n. 部落；族；宗族；一伙
anatomy,n. 解剖；解剖学；剖析；骨骼
deprive,vt. 使丧失，剥夺
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
require,vt. 需要；要求；命令
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
cling,vi. 坚持，墨守；紧贴；附着
disappoint,vt. 使失望
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
disapproval,n. 不赞成；不喜欢
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
insurance,n. 保险；保险费；保险契约；赔偿金
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
by-product,n. 副产品；附带产生的结果；意外收获
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
disaster,n. 灾难，灾祸；不幸
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
myth,n. 神话；虚构的人，虚构的事
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
anecdote,n. 轶事；奇闻；秘史
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
reshape,vt. 改造；再成形
skull,n. 头盖骨，脑壳
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
fraction,n. 分数；部分；小部分；稍微
resident,"n. 居民；住院医生
adj. 居住的；定居的"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
trivial,adj. 不重要的，琐碎的；琐细的
Asia,n. 亚洲
benefactor,n. 恩人；捐助者；施主
Britain,n. 英国；不列颠
civilization,n. 文明；文化
conclusion,n. 结论；结局；推论
corruption,n. 贪污，腐败；堕落
disconcert,vt. 使仓皇失措；使困惑；破坏
finally,adv. 最后；终于；决定性地
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
hacking,"v. 砍；出租（hack的ing形式）
adj. 骑马的"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
idealized,"adj. 理想化的
v. 把…理想化；以理想的形式表现事物（idealize的过去分词）"
interesting,adj. 有趣的；引起兴趣的，令人关注的
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
liberalize,"vt. 使自由化；宽大
vi. 自由化"
mealtime,n. 进餐时间，吃饭时间
monetary,adj. 货币的；财政的
obesity,n. 肥大，肥胖
overdue,adj. 过期的；迟到的；未兑的
percentage,n. 百分比；百分率，百分数
proportionality,n. 相称；均衡；比例性
refined,adj.  精炼的；精确的；微妙的；有教养的
retiring,"v. 退休（retire的ing形式）
adj. 退休的；不善社交的；过隐居生活的"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
suburb,n. 郊区；边缘
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
undoubted,adj. 无疑的；确实的
uplifting,adj. 令人振奋的；使人开心的
weakness,n. 弱点；软弱；嗜好
wordy,adj. 冗长的；口头的；唠叨的；文字的
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
physiology,n. 生理学；生理机能
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
resource,n. 资源，财力；办法；智谋
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
discover,"vi. 发现
vt. 发现；发觉"
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
exert,vt. 运用，发挥；施以影响
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
colorful,adj. 华美的；有趣的；富有色彩的
colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
befriend,vt. 帮助；待人如友；扶助
cue,"n. 提示，暗示；线索
vt. 给…暗示"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
slipup,n. 错误，失败，不幸
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
homeowner,n. 私房屋主；自己拥有住房者
shortcut,n. 捷径；被切短的东西
scenario,n. 方案；情节；剧本；设想
software,n. 软件
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
cognitive,adj. 认知的，认识的
intermarriage,n. 联姻，异族结婚；近亲结婚
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
exist,vi. 存在；生存；生活；继续存在
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
Internet,
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
anti-smoking,"n. 反对吸烟；禁止吸烟
adj. 反对吸烟的
v. 反对吸烟（antismoke的现在分词）"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
exorable,adj. 可说服的，可用恳求打动的
Internet-based,
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
describe,vt. 描述，形容；描绘
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
interpersonal,adj. 人际的；人与人之间的
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
interpret,"vi. 解释；翻译
vt. 说明；口译"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
apparent,adj. 显然的；表面上的
expend,vt. 花费；消耗；用光；耗尽
fright,"n. 惊吓；惊骇
vt. 使惊恐"
planet,n. 行星
retain,vt. 保持；雇；记住
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
aftermath,n. 后果；余波
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
claimant,n. 原告； 索赔人；提出要求者
cortisol,n.  皮质醇；考的索； 氢化可的松
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
disconnect,"vt. 拆开，使分离
vi. 断开"
dual,"n. 双数；双数词
adj. 双的；双重的"
genius,n. 天才，天赋；精神
handful,n. 少数；一把；棘手事
illness,n. 病；疾病
infuriating,"v. 使发怒（infuriate的ing形式）
adj. 令人大怒的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
meanwhile,"adv. 同时，其间
n. 其间，其时"
observation,n. 观察；监视；观察报告
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
performer,n. 演出者；执行者；演奏者
Portugal,n. 葡萄牙（欧洲西南部国家）
retrospection,n. 回顾；反省；追忆
scarcity,n. 不足；缺乏
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
successful,adj. 成功的；一帆风顺的
tournament,n. 锦标赛，联赛；比赛
uneasy,adj. 不舒服的；心神不安的；不稳定的
chronic,adj. 慢性的；长期的；习惯性的
upper,adj. 上面的，上部的；较高的
wealth,n. 财富；大量；富有
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
colony,n. 殖民地；移民队；种群；动物栖息地
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
sociology,n. 社会学；群体生态学
two-paycheck,adj. 有双份收入的；双职工的
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
intricate,adj. 复杂的；错综的，缠结的
column,n. 纵队，列；专栏；圆柱，柱形物
explain,v. 说明；解释
introduce,vt. 介绍；引进；提出；采用
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
playgoing,n. 看戏
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
dissatisfaction,n. 不满；令人不满的事物
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
solve,"vt. 解决；解答；溶解
vi. 作解答"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
invent,vt. 发明；创造；虚构
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
sonar,n. 声纳；声波定位仪（等于asdic）
arbiter,n.  仲裁者；裁决人
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
expose,vt. 揭露，揭发；使曝光；显示
fund,"n. 基金；资金；存款
vt. 投资；资助"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
soothing,"v. 安慰；减轻痛苦（soothe的现在分词）
adj. 抚慰的；使人宽心的"
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
revitalize,vt. 使…复活；使…复兴；使…恢复生气
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
futurologist,n. 未来学家
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
extent,n. 程度；范围；长度
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
argument,n. 论证；论据；争吵；内容提要
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
Briton,n. 英国人；大不列颠人
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
delusion,n. 迷惑，欺骗；错觉；幻想
discontinue,"vt. 停止；使中止
vi. 停止，中断"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
genuinely,adv. 真诚地；诚实地
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
centrepiece,n. 中心装饰品
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
motorist,n. 驾车旅行的人，开汽车的人
definition,n. 定义； 清晰度；解说
cubicle,n. 小卧室；小隔间
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
accumulate,"vt. 积攒
vi. 累积；积聚"
algorithm,n.  算法，运算法则
advent,n. 到来；出现；基督降临；基督降临节
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
basin,n. 水池；流域；盆地；盆
geological,adj. 地质的，地质学的
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
jury,"n.  陪审团；评判委员会
adj. 应急的"
line-up,"vt. 排成直线；排成行
n. 一排人（等于lineup）"
medicaid,n. （美）医疗补助计划
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
occasionally,adv. 偶尔；间或
overly,adv. 过度地；极度地
persuasion,n. 说服；说服力；信念；派别
refocus,"vt. 重调…的焦距
vi. 重调焦距"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
inherent,adj. 固有的；内在的；与生俱来的，遗传的
scattered,adj. 分散的；散乱的
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
successive,adj. 连续的；继承的；依次的；接替的
tragedy,n. 悲剧；灾难；惨案
unemployed,adj. 失业的；未被利用的
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
workday,"n. 工作日
adj. 日常的，工作日的；平凡的"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
involve,vt. 包含；牵涉；使陷于；潜心于
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
source,n. 来源；水源；原始资料
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
poet,n. 诗人
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
domain,n. 领域；域名；产业；地产
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
irrelevant,adj. 不相干的；不切题的
pointless,adj. 无意义的；钝的；不尖的；不得要领的
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
community,n. 社区； 群落；共同体；团体
irresponsibility,n. 无责任，无责任感
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
arrival,n. 到来；到达；到达者
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
pole,
righteous,adj. 正义的；正直的；公正的
spear,"n. 矛，枪
vt. 用矛刺"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
policy,n. 政策，方针；保险单
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
policymaker,n. 政策制定者；决策人
species,"n.  物种；种类
adj. 物种上的"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
arthritis,n.  关节炎
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
population,n. 人口； 种群， 群体；全体居民
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
compete,vi. 竞争；比赛；对抗
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
