discrepancy,n. 不符；矛盾；相差
skateboard,"n. 溜冰板
vi. 用滑板滑行"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
skirmish,"n. 小冲突，小规模战斗；小争论
vi. 进行小规模战斗；发生小争论"
skull,n. 头盖骨，脑壳
skylight,n. 天窗
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
skyrocket,"n. 流星烟火；冲天火箭
vi. 飞涨，突然高升
vt. 使…猛然上涨"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂"
slat,"n. 板条；狭板
vt. 用板条做或装备；用条板制造"
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slay,"vt. 杀害，杀死；使禁不住大笑
vi. 杀死，杀害；残杀"
sledge,"n. 雪橇；大锤
vt. 用雪橇搬运；乘雪橇；用大锤打
vi. 用大锤打；猛击；乘雪橇"
sleet,"n. 雨夹雪；雨淞
vt. 冻雨拍打；使下霰般落下
vi. 下雨夹雪；下冰雹"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
sleigh,"n. 雪橇
vt. 乘雪橇；用雪橇运输
vi. 乘雪橇；驾雪橇"
slender,adj. 细长的；苗条的；微薄的
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
slogan,n. 标语；呐喊声
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
slumber,"n. 睡眠；麻木状态；静止状态
vi. 睡眠；蛰伏；麻木
vt. 睡眠；睡着度过"
sly,adj. 狡猾的；淘气的；诡密的
smack,"n. 滋味；少量；海洛因；风味
vt. 掴；用掌击
vi. 用掌击；带有…风味
adv. 猛然；直接地"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
smog,n. 烟雾
smokestack,"n. 烟囱，烟窗
adj. 低技术制造业的；大工厂的"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
sneeze,"n. 喷嚏
vi. 打喷嚏"
snob,n. 势利小人，势利眼；假内行
snooker,"n. 斯诺克台球
vt. 阻挠"
snore,"n. 鼾声
vt. 打鼾
vi. 打呼噜；打着鼾声渡过"
snug,"adj. 舒适的；温暖的；紧身的；隐藏的
vt. 使变得温暖舒适；隐藏
vi. 偎依；舒适地蜷伏
n. 舒适温暖的地方；雅室"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
society,n. 社会；交往；社团；社交界
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
soda,n. 苏打；碳酸水
sodium,n.  钠（11号元素，符号 Na）
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solitude,n. 孤独；隐居；荒僻的地方
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sonnet,n. 十四行诗；商籁诗
soot,"n. 煤烟，烟灰
vt. 用煤烟熏黑；以煤烟弄脏"
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
sorghum,n. 高粱； 蜀黍；甜得发腻的东西
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
SOS,"n. 紧急求救信号
vi. 发出遇难信号"
so-so,"adj. 平常的；不好也不坏的
adv. 一般地；马马虎虎地"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
source,n. 来源；水源；原始资料
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
soybean,n. 大豆；黄豆
spa,n. 矿泉；温泉浴场；矿泉治疗地
spacecraft,n.  宇宙飞船，航天器
spaceship,n.  宇宙飞船
spacious,adj. 宽敞的，广阔的；无边无际的
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
sparrow,n. 麻雀；矮小的人
sparse,adj. 稀疏的；稀少的
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
spear,"n. 矛，枪
vt. 用矛刺"
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
species,"n.  物种；种类
adj. 物种上的"
specimen,n. 样品，样本；标本
speck,"n. 灰尘；污点；小颗粒
vt. 使有斑点"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectator,n. 观众；旁观者
speedometer,n. 速度计；里程计
speedway,n. 高速公路；（摩托车或汽车的）赛车跑道；机器脚踏车的竞赛场
sperm,n. 精子；精液；鲸蜡油
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
spicy,adj. 辛辣的；香的，多香料的；下流的
spider,n. 蜘蛛；设圈套者；三脚架
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
spinach,n. 菠菜
spine,n. 脊柱，脊椎；刺；书脊
spinster,n. 老姑娘；未婚女人
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
spouse,"n. 配偶
vt. 和…结婚"
springboard,"n. 跳板；出发点
vi. 利用跳板跃进"
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
squadron,"n. 空军中队；一群；骑兵中队；分遣队；小舰队
vt. 把…编成中队"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
stadium,n. 体育场；露天大型运动场
stag,"n. 牡鹿；不带女伴的舞客；阉割过的雄鹿
adj. 全是男人的
vi. 不带女伴参加晚会"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
stagnation,n. 停滞；滞止
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
standstill,n. 停顿；停止
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
starter,n. 起动机；发令员；第一道菜；发射装置；发起者；参加比赛者，上场队员
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
stateroom,n. 政府公寓；特等舱；包房
statesman,n. 政治家；国务活动家
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statistical,adj. 统计的；统计学的
statistician,n. 统计学家，统计员
statistic,"n. 统计数值
adj. 统计的，统计学的"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
statutory,adj. 法定的；法令的；可依法惩处的
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
steadfast,adj. 坚定的；不变的
steak,n. 牛排；肉排；鱼排
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
steeple,"n. 尖塔；尖顶
vt. 把…建成尖塔"
stench,"n. 恶臭；臭气
vt. 使…散发恶臭
vi. 发恶臭"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardess,n. 女管家；女干事；女服务员
stigma,n.  柱头；耻辱；污名；烙印；特征
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
stink,"n. 臭味；讨厌的人
vt. 使发出臭气；用臭味驱赶
vi. 发出臭味；招人讨厌"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
stockbroker,n.  股票经纪人
stockholder,n. 股东；股票持有人
stocking,n. 长袜
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
stoneware,n. 瓷器；石器
stony,adj. 无情的；多石的；石头的
stopper,"n. 塞子；阻塞物；制止者；妨碍物
vt. 用塞子塞住"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
strategic,adj. 战略上的，战略的
strategist,n. 战略家；军事家
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
strawberry,n. 草莓；草莓色
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
stricken,adj. 患病的；受挫折的；受…侵袭的；遭殃的
strife,n. 冲突；争吵；不和
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
stronghold,n. 要塞；大本营；中心地
stubborn,adj. 顽固的；顽强的；难处理的
stud,"n. 种马；大头钉；饰纽；壁骨
vt. 散布；用许多饰钮等装饰
adj. 种马的；为配种而饲养的"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
stutter,"n. 口吃，结巴
vi. 结结巴巴地说话
vt. 结结巴巴地说出"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
stylish,adj. 时髦的；现代风格的；潇洒的
stylistic,adj. 体裁上的；格式上的；文体论的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
subjective,adj. 主观的；个人的；自觉的
subjunctive,"n. 虚拟语气
adj. 虚拟的；虚拟语气的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
substance,n. 物质；实质；资产；主旨
substandard,adj. 不合规格的；标准以下的
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
suburb,n. 郊区；边缘
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
successive,adj. 连续的；继承的；依次的；接替的
successor,n. 继承者；后续的事物
suckle,"vt. 给…哺乳；吮吸；养育
vi. 吃奶"
suffix,"n. 后缀；下标
vt. 添后缀"
suggestive,adj. 暗示的；提示的；影射的
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitable,adj. 适当的；相配的
suitcase,n.  手提箱；衣箱
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
sulky,adj. 生气的；阴沉的
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
sulphate,"n. 硫酸盐
vt. 使与硫酸化合
vi. 硫酸盐化"
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
sumo,n. （日）相扑
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
sunburn,"n. 晒黑； 晒斑
vt. 晒伤；晒黑；晒红
vi. 晒伤皮肤；晒红皮肤；晒黑皮肤"
sundial,n. 日晷，日规；羽扇豆（产于美国东部）
sunstroke,n. 中暑
suntan,n. 晒黑；土黄色军服；棕色
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
superhuman,"n. 超人
adj. 超人的；人类能力所不能及的；属于神仙的"
superintendent,n. 监督人；负责人；主管；指挥者
superlative,"n. 最高级；最好的人；最高程度；夸大话
adj. 最高的；最高级的；过度的"
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
surfboard,"n. 冲浪板
vi. 以冲浪板滑水"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
surveillance,n. 监督；监视
suspender,n. 袜吊；吊裤带；悬挂物
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
sweatshop,n. 血汗工厂；剥削劳力的工厂
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
sword,n. 刀，剑；武力，战争
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
syllabus,n. 教学大纲，摘要；课程表
symmetry,n. 对称（性）；整齐，匀称
symphonic,adj. 交响乐的；交响性的；和声的
symphony,n. 交响乐；谐声，和声
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
syndrome,n.  综合症状；并发症状；校验子；并发位
synonym,n. 同义词；同义字
syntax,n. 语法；句法；有秩序的排列
syringe,"n. 注射器；洗涤器
vt. 注射，冲洗"
syrup,n. 糖浆，果汁；含药糖浆
tablecloth,n. 桌布；台布
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
tact,n. 机智；老练；圆滑；鉴赏力
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
tally,"n. 计数器；标签；记账
vi. 一致；记分
vt. 使符合；计算；记录"
tangerine,n. 橘子
tanker,n. 油轮；运油飞机；油槽车；坦克手
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
tapestry,"n. 织锦；挂毯；绣帷
vt. 用挂毯装饰"
tar,"n. 焦油；柏油；水手
vt. 涂以焦油；玷污"
tarmac,n. 柏油碎石路面；铺有柏油碎石的飞机跑道
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
tavern,n. 酒馆；客栈
teak,n. 柚木
teaspoon,n. 茶匙；一茶匙的量
teddy,n. 连衫衬裤；泰迪玩具熊
tedious,adj. 沉闷的；冗长乏味的
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
telex,"n. 电传；电传机；用户直通电报
vt. 用电传拍发；用直通电报拍发
vi. 发电传；拍发直通电报"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tenancy,n. 租期；租用
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
terminology,n. 术语，术语学；用辞
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
territory,n. 领土，领域；范围；地域；版图
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
textile,"n. 纺织品，织物
adj. 纺织的"
texture,n. 质地；纹理；结构；本质，实质
theatrical,adj. 戏剧性的；剧场的，戏剧的；夸张的；做作的
theft,n. 盗窃；偷；赃物
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
theology,n. 神学；宗教体系
theoretical,adj. 理论的；理论上的；假设的；推理的
therapist,n. 临床医学家；治疗学家
therapy,n. 治疗，疗法
thereabouts,adv. 大约；在那附近（等于thereabout）
thereafter,adv. 其后；从那时以后
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
thesaurus,n. 宝库；辞典；知识宝库；分类词汇汇编
thick-skinned,adj. 厚脸皮的，不知羞耻的；麻木不仁的
thief,n. 小偷，贼
thigh,n. 大腿，股
thorn,n. 刺； 荆棘
thorough,adj. 彻底的；十分的；周密的
thoroughbred,"n. 受过严格训练的人；良种动物
adj. 良种的；受过严格训练的；优秀的"
thoroughfare,n. 大道，通路
thoughtful,adj. 深思的；体贴的；关切的
thoughtless,adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
threshold,n. 入口；门槛；开始；极限；临界值
thrift,n. 节俭；节约； 海石竹
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
thrush,n. 画眉； 鹅口疮；蹄叉腐疽
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
thumbtack,"n. 图钉
vt. 用图钉钉住"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
tier,"n. 层，排；行，列；等级
vt. 使层叠
vi. 成递升排列"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
timber,n. 木材；木料
tinkle,"n. 叮当声
vt. 使发清脆的声响
vi. 发叮当声"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
tipper,n. 给小费的人；翻斗卡车；倾卸车之搬运夫
tiptoe,"n. 脚尖；趾尖
vi. 用脚尖走
adv. 用脚尖
adj. 踮着脚走的；偷偷摸摸的"
tiresome,adj. 烦人的，无聊的；令人讨厌的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
toad,n. 蟾蜍；癞蛤蟆；讨厌的家伙
tobacco,n. 烟草，烟叶；烟草制品；抽烟
toddle,"n. 东倒西歪的走路；刚学走步的小孩
vi. 蹒跚学步；东倒西歪地走；散步"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
toenail,n. 脚趾甲； 斜钉
toffee,n. 乳脂糖，太妃糖
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
tonnage,n. 吨位，载重量；船舶总吨数，排水量
toothbrush,n. 牙刷
toothpaste,n. 牙膏
topsoil,n. 表层土；上层土
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
tornado,n.  龙卷风；旋风；暴风；大雷雨
torpedo,"n. 鱼雷；水雷；油井爆破筒；电鳐；职业杀手
vt. 破坏；用鱼雷袭击"
torrent,n. 奔流；倾注；迸发；连续不断
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
touchdown,n. 着陆，降落；触地；触地得分
touching,"prep. 至于，关于
v. 接触；感动（touch的ing形式）
adj. 动人的，令人同情的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
tournament,n. 锦标赛，联赛；比赛
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
townsfolk,n. 市民；镇民
trademark,"n. 商标
标志"
tradesman,n. 商人；（英）店主；零售商；手艺人
trafficker,n. 贩子；商人；从事违法勾当者
tragedy,n. 悲剧；灾难；惨案
tragic,adj. 悲剧的；悲痛的，不幸的
trailer,"n. 拖车； 预告片；追踪者
vt. 用拖车载运
vi. 乘拖车式活动房屋旅行"
traitor,n. 叛徒；卖国贼；背信弃义的人
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
tranquil,adj. 安静的，平静的；安宁的；稳定的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transistor,n. 晶体管（收音机）
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
trawl,"n. 拖网；排钩
vi. 用拖网捕鱼
vt. 用拖网捕鱼"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
treason,n.  叛国罪；不忠
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
treble,"n. 三倍；最高声部
adj. 三倍的；最高声部的；三层的；三重的
vt. 使成三倍
vi. 变成三倍"
tremendous,adj. 极大的，巨大的；惊人的；极好的
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
tribe,n. 部落；族；宗族；一伙
tribunal,n. 法庭；裁决；法官席
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
tricky,adj. 狡猾的；机警的
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
trio,n. 三重唱；三件一套；三个一组
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
triumphant,adj. 成功的；得意洋洋的；狂欢的
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
trombone,n. 长号，伸缩喇叭
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
tropic,"n. 热带；回归线
adj. 热带的"
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
troubleshooter,n. 故障检修工；解决纠纷者；解决麻烦问题的能手
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
trough,n. 水槽，水槽；低谷期；饲料槽；低气压
